,CAS,灭火注意事项及措施
830,110-91-8,容器突然发出异常声音或出现异常现象，应立即撤离
831,110-96-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
832,110-96-3,尽可能将容器从火场移至空旷处
833,110-96-3,喷水保持火场容器冷却，直至灭火结束
834,110-96-3,容器突然发出异常声音或出现异常现象，应立即撤离
835,110-97-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
836,110-97-4,尽可能将容器从火场移至空旷处
837,110-97-4,喷水保持火场容器冷却，直至灭火结束
838,111-15-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
839,111-15-9,尽可能将容器从火场移至空旷处
840,111-15-9,喷水保持火场容器冷却，直至灭火结束
841,111-15-9,容器突然发出异常声音或出现异常现象，应立即撤离
842,111-25-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
843,111-25-1,喷水冷却容器，可能的话将容器从火场移至空旷处
844,111-25-1,容器突然发出异常声音或出现异常现象，应立即撤离
845,111-26-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
846,111-26-2,尽可能将容器从火场移至空旷处
847,111-26-2,喷水保持火场容器冷却，直至灭火结束
848,111-26-2,容器突然发出异常声音或出现异常现象，应立即撤离
849,111-42-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
850,111-42-2,尽可能将容器从火场移至空旷处
851,111-42-2,喷水保持火场容器冷却，直至灭火结束
852,111-42-2,容器突然发出异常声音或出现异常现象，应立即撤离
853,111-43-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
854,111-43-3,尽可能将容器从火场移至空旷处
855,111-43-3,喷水保持火场容器冷却，直至灭火结束
856,111-43-3,容器突然发出异常声音或出现异常现象，应立即撤离
857,111-43-3,用水灭火无效
858,111-44-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
859,111-44-4,尽可能将容器从火场移至空旷处
860,111-44-4,喷水保持火场容器冷却，直至灭火结束
861,111-44-4,容器突然发出异常声音或出现异常现象，应立即撤离
862,111-44-4,不宜用水
863,111-47-7,消防人员需佩戴防毒面具、穿全身消防服，在上风向灭火
864,111-47-7,喷水冷却容器，可能的话将容器从火场移至空旷处
865,111-47-7,容器突然发出异常声音或出现异常现象，应立即撤离
866,111-49-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
867,111-49-9,喷水冷却容器，可能的话将容器从火场移至空旷处
868,111-49-9,容器突然发出异常声音或出现异常现象，应立即撤离
869,111-65-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
870,111-65-9,喷水冷却容器，可能的话将容器从火场移至空旷处
871,111-65-9,容器突然发出异常声音或出现异常现象，应立即撤离
872,111-66-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
873,111-66-0,喷水冷却容器，可能的话将容器从火场移至空旷处
874,111-66-0,容器突然发出异常声音或出现异常现象，应立即撤离
875,111-67-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
876,111-67-1,喷水冷却容器，可能的话将容器从火场移至空旷处
877,111-67-1,容器突然发出异常声音或出现异常现象，应立即撤离
878,111-68-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
879,111-68-2,尽可能将容器从火场移至空旷处
880,111-68-2,喷水保持火场容器冷却，直至灭火结束
881,111-68-2,容器突然发出异常声音或出现异常现象，应立即撤离
882,111-69-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
883,111-69-3,尽可能将容器从火场移至空旷处
884,111-69-3,喷水保持火场容器冷却，直至灭火结束
885,111-69-3,容器突然发出异常声音或出现异常现象，应立即撤离
886,111-71-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
887,111-71-7,喷水冷却容器，可能的话将容器从火场移至空旷处
888,111-71-7,容器突然发出异常声音或出现异常现象，应立即撤离
889,111-92-2,消防人员需佩戴防毒面具、穿全身消防服，在上风向灭火
890,111-92-2,尽可能将容器从火场移至空旷处
891,111-92-2,喷水保持火场容器冷却，直至灭火结束
892,111-92-2,容器突然发出异常声音或出现异常现象，应立即撤离
893,112-24-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
894,112-24-3,尽可能将容器从火场移至空旷处
895,112-24-3,喷水保持火场容器冷却，直至灭火结束
896,112-24-3,容器突然发出异常声音或出现异常现象，应立即撤离
897,112-55-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
898,112-55-0,尽可能将容器从火场移至空旷处
899,112-55-0,喷水保持火场容器冷却，直至灭火结束
900,115-07-1,切断气源
901,115-07-1,若不能切断气源，则不允许熄灭泄漏处的火焰
902,115-07-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
903,115-07-1,尽可能将容器从火场移至空旷处
904,115-07-1,喷水保持火场容器冷却，直至灭火结束
905,115-10-6,切断气源
906,115-10-6,若不能切断气源，则不允许熄灭泄漏处的火焰
907,115-10-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
908,115-10-6,尽可能将容器从火场移至空旷处
909,115-10-6,喷水保持火场容器冷却，直至灭火结束
910,115-11-7,切断气源
911,115-11-7,若不能切断气源，则不允许熄灭泄漏处的火焰
912,115-11-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
913,115-11-7,尽可能将容器从火场移至空旷处
914,115-11-7,喷水保持火场容器冷却，直至灭火结束
915,115-21-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
916,115-21-9,喷水冷却容器，可能的话将容器从火场移至空旷处
917,115-21-9,容器突然发出异常声音或出现异常现象，应立即撤离
918,115-21-9,禁止用水、泡沫和酸碱灭火剂灭火
919,116-14-3,切断气源
920,116-14-3,若不能切断气源，则不允许熄灭泄漏处的火焰
921,116-14-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
922,116-14-3,尽可能将容器从火场移至空旷处
923,116-14-3,喷水保持火场容器冷却，直至灭火结束
924,116-15-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
925,116-15-4,尽可能将容器从火场移至空旷处
926,116-15-4,喷水保持火场容器冷却，直至灭火结束
927,116-54-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
928,116-54-1,喷水冷却容器，可能的话将容器从火场移至空旷处
929,116-54-1,容器突然发出异常声音或出现异常现象，应立即撤离
930,116-54-1,不宜用水
931,1165-48-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
932,1165-48-6,尽可能将容器从火场移至空旷处
933,1165-48-6,喷水保持火场容器冷却，直至灭火结束
934,118-02-5,火灾时可用雾状水、沙土、二氧化碳灭火，火场须防止受热可能发生爆炸，人员须远离着火点
935,118-69-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
936,118-69-4,尽可能将容器从火场移至空旷处
937,118-69-4,喷水保持火场容器冷却，直至灭火结束
938,118-69-4,容器突然发出异常声音或出现异常现象，应立即撤离
939,118-74-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
940,118-74-1,尽可能将容器从火场移至空旷处
941,118-74-1,喷水保持火场容器冷却，直至灭火结束
942,118-96-7,消防人员须在有防爆掩蔽处操作
943,118-96-7,遇大火切勿轻易接近
944,118-96-7,在物料附近失火，须用水保持容器冷却
945,118-96-7,禁止用砂土压盖
946,119-26-6,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
947,119-26-6,尽可能将容器从火场移至空旷处
948,119-26-6,喷水保持火场容器冷却，直至灭火结束
949,119-26-6,禁止用砂土压盖
950,119-27-7,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
951,119-27-7,尽可能将容器从火场移至空旷处
952,119-27-7,喷水保持火场容器冷却，直至灭火结束
953,119-27-7,禁止用砂土压盖
954,119-90-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
955,119-90-4,尽可能将容器从火场移至空旷处
956,119-90-4,喷水保持火场容器冷却，直至灭火结束
957,119-93-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
958,119-93-7,尽可能将容器从火场移至空旷处
959,119-93-7,喷水保持火场容器冷却，直至灭火结束
960,120-12-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
961,120-12-7,尽可能将容器从火场移至空旷处
962,120-12-7,喷水保持火场容器冷却，直至灭火结束
963,120-80-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
964,120-80-9,尽可能将容器从火场移至空旷处
965,120-80-9,喷水保持火场容器冷却，直至灭火结束
966,120-82-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
967,120-82-1,尽可能将容器从火场移至空旷处
968,120-82-1,喷水保持火场容器冷却，直至灭火结束
969,120-82-1,容器突然发出异常声音或出现异常现象，应立即撤离
970,120-92-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
971,120-92-3,喷水冷却容器，可能的话将容器从火场移至空旷处
972,120-92-3,容器突然发出异常声音或出现异常现象，应立即撤离
973,121-14-2,小火用雾状水、二氧化碳、泡沫灭火
974,121-14-2,在火场的受热情况下，可能发生爆炸，因此不可轻易接近
975,121-14-2,遇大火只好任其燃烧，或由远方装设的灭火设施用自动水龙头喷水，周围不可有人
976,121-14-2,禁止用砂土压盖
977,121-44-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
978,121-44-8,喷水冷却容器，可能的话将容器从火场移至空旷处
979,121-44-8,容器突然发出异常声音或出现异常现象，应立即撤离
980,121-69-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
981,121-69-7,尽可能将容器从火场移至空旷处
982,121-69-7,喷水保持火场容器冷却，直至灭火结束
983,121-73-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
984,121-73-3,尽可能将容器从火场移至空旷处
985,121-73-3,喷水保持火场容器冷却，直至灭火结束
986,121-75-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
987,121-75-5,尽可能将容器从火场移至空旷处
988,121-75-5,喷水保持火场容器冷却，直至灭火结束
989,121-75-5,容器突然发出异常声音或出现异常现象，应立即撤离
990,121-82-4,用雾状水灭火
991,121-82-4,禁用沙土盖压
992,12136-45-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
993,12136-45-7,尽可能将容器从火场移至空旷处
994,12136-45-7,喷水保持火场容器冷却，直至灭火结束
995,12136-45-7,不可用水、泡沫、二氧化碳、卤代烃(如1211灭火剂)等灭火
996,12185-10-3,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
997,12185-10-3,尽可能将容器从火场移至空旷处
998,12185-10-3,喷水保持火场容器冷却，直至灭火结束
999,122-51-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1000,122-51-0,喷水冷却容器，可能的话将容器从火场移至空旷处
1001,122-51-0,容器突然发出异常声音或出现异常现象，应立即撤离
1002,122-56-5,可用干沙、干粉灭火
1003,122-56-5,禁止用水、泡沫灭火
1004,122-66-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1005,122-66-7,尽可能将容器从火场移至空旷处
1006,122-66-7,喷水保持火场容器冷却，直至灭火结束
1007,123-23-9,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1008,123-23-9,在物料附近失火，需用水保持容器冷却
1009,123-23-9,消防人员须在有防爆掩蔽处操作
1010,123-23-9,禁止用砂土压盖
1011,123-30-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1012,123-30-8,尽可能将容器从火场移至空旷处
1013,123-30-8,喷水保持火场容器冷却，直至灭火结束
1014,123-30-8,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
1015,123-31-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1016,123-31-9,尽可能将容器从火场移至空旷处
1017,123-31-9,喷水保持火场容器冷却，直至灭火结束
1018,123-38-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1019,123-38-6,尽可能将容器从火场移至空旷处
1020,123-38-6,喷水保持火场容器冷却，直至灭火结束
1021,123-38-6,容器突然发出异常声音或出现异常现象，应立即撤离
1022,123-51-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1023,123-51-3,喷水冷却容器，可能的话将容器从火场移至空旷处
1024,123-51-3,容器突然发出异常声音或出现异常现象，应立即撤离
1025,123-62-6,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1026,123-62-6,尽可能将容器从火场移至空旷处
1027,123-62-6,喷水保持火场容器冷却，直至灭火结束
1028,123-62-6,容器突然发出异常声音或出现异常现象，应立即撤离
1029,123-63-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1030,123-63-7,尽可能将容器从火场移至空旷处
1031,123-63-7,喷水保持火场容器冷却，直至灭火结束
1032,123-66-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1033,123-66-0,喷水冷却容器，可能的话将容器从火场移至空旷处
1034,123-66-0,容器突然发出异常声音或出现异常现象，应立即撤离
1035,123-72-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1036,123-72-8,尽可能将容器从火场移至空旷处
1037,123-72-8,喷水保持火场容器冷却，直至灭火结束
1038,123-72-8,容器突然发出异常声音或出现异常现象，应立即撤离
1039,123-72-8,用水灭火无效
1040,123-86-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1041,123-86-4,尽可能将容器从火场移至空旷处
1042,123-86-4,喷水保持火场容器冷却，直至灭火结束
1043,123-86-4,容器突然发出异常声音或出现异常现象，应立即撤离
1044,123-91-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1045,123-91-1,尽可能将容器从火场移至空旷处
1046,123-91-1,容器突然发出异常声音或出现异常现象，应立即撤离
1047,123-92-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1048,123-92-2,喷水冷却容器，可能的话将容器从火场移至空旷处
1049,124-09-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1050,124-09-4,尽可能将容器从火场移至空旷处
1051,124-09-4,喷水保持火场容器冷却，直至灭火结束
1052,124-11-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1053,124-11-8,喷水冷却容器，可能的话将容器从火场移至空旷处
1054,124-11-8,容器突然发出异常声音或出现异常现象，应立即撤离
1055,124-18-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1056,124-18-5,尽可能将容器从火场移至空旷处
1057,124-18-5,喷水保持火场容器冷却，直至灭火结束
1058,124-18-5,容器突然发出异常声音或出现异常现象，应立即撤离
1059,124-38-9,喷水冷却容器，可能的话将容器从火场移至空旷处
1060,124-40-3,切断气源
1061,124-40-3,若不能切断气源，则不允许熄灭泄漏处的火焰
1062,124-40-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1063,124-40-3,尽可能将容器从火场移至空旷处
1064,124-40-3,喷水保持火场容器冷却，直至灭火结束
1065,124-47-0,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1066,124-47-0,遇大火切勿轻易接近
1067,124-47-0,禁止用砂土压盖
1068,124-63-0,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1069,124-63-0,尽可能将容器从火场移至空旷处
1070,124-63-0,喷水保持火场容器冷却，直至灭火结束
1071,124-63-0,容器突然发出异常声音或出现异常现象，应立即撤离
1072,124-63-0,禁止用水、泡沫和酸碱灭火剂灭火
1073,124-87-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1074,124-87-8,尽可能将容器从火场移至空旷处
1075,124-87-8,喷水保持火场容器冷却，直至灭火结束
1076,126-99-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1077,126-99-8,尽可能将容器从火场移至空旷处
1078,126-99-8,喷水保持火场容器冷却，直至灭火结束
1079,126-99-8,容器突然发出异常声音或出现异常现象，应立即撤离
1080,126-99-8,用水灭火无效
1081,127-18-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1082,127-18-4,尽可能将容器从火场移至空旷处
1083,127-18-4,喷水保持火场容器冷却，直至灭火结束
1084,127-85-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1085,127-85-5,尽可能将容器从火场移至空旷处
1086,127-85-5,喷水保持火场容器冷却，直至灭火结束
1087,127-91-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1088,127-91-3,喷水冷却容器，可能的话将容器从火场移至空旷处
1089,127-91-3,容器突然发出异常声音或出现异常现象，应立即撤离
1090,129-79-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1091,129-79-3,遇大火切勿轻易接近
1092,129-79-3,禁止用砂土压盖
1093,1299-86-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1094,1299-86-1,尽可能将容器从火场移至空旷处
1095,1299-86-1,喷水保持火场容器冷却，直至灭火结束
1096,1299-86-1,禁止用水、泡沫和酸碱灭火剂灭火
1097,1303-28-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1098,1303-28-2,尽可能将容器从火场移至空旷处
1099,1303-28-2,喷水保持火场容器冷却，直至灭火结束
1100,1304-29-6,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1101,1304-29-6,尽可能将容器从火场移至空旷处
1102,1304-29-6,喷水保持火场容器冷却，直至灭火结束
1103,1304-29-6,严禁用水、泡沫、二氧化碳扑救
1104,1304-29-6,禁止用砂土压盖
1105,1305-79-9,消防人员需戴好防毒面具，在安全距离以外，在上风向灭火
1106,1305-79-9,尽可能将容器从火场移至空旷处
1107,1305-79-9,喷水保持火场容器冷却，直至灭火结束
1108,1305-79-9,严禁用水、泡沫、二氧化碳扑救
1109,1305-79-9,禁止用砂土压盖
1110,1306-24-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1111,1306-24-7,尽可能将容器从火场移至空旷处
1112,1306-24-7,喷水保持火场容器冷却，直至灭火结束
1113,131-73-7,消防人员须在有防爆掩蔽处操作
1114,131-73-7,遇大火须远离以防炸伤
1115,131-73-7,在物料附近失火，须用水保持容器冷却
1116,131-73-7,禁止用砂土压盖
1117,131-74-8,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1118,131-74-8,遇大火切勿轻易接近
1119,131-74-8,禁止用砂土压盖
1120,1310-58-3,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1121,1310-58-3,尽可能将容器从火场移至空旷处
1122,1310-58-3,喷水保持火场容器冷却，直至灭火结束
1123,1310-73-2,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1124,1310-73-2,尽可能将容器从火场移至空旷处
1125,1310-73-2,喷水保持火场容器冷却，直至灭火结束
1126,1312-73-8,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1127,1312-73-8,尽可能将容器从火场移至空旷处
1128,1312-73-8,喷水保持火场容器冷却，直至灭火结束
1129,1312-73-8,禁止使用酸碱灭火剂
1130,1313-59-3,可用干沙土、干粉、二氧化碳灭火
1131,1313-59-3,禁止用水
1132,1313-60-6,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1133,1313-60-6,尽可能将容器从火场移至空旷处
1134,1313-60-6,喷水保持火场容器冷却，直至灭火结束
1135,1313-60-6,严禁用水、泡沫、二氧化碳扑救
1136,1313-60-6,禁止用砂土压盖
1137,1313-82-2,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1138,1313-82-2,尽可能将容器从火场移至空旷处
1139,1313-82-2,喷水保持火场容器冷却，直至灭火结束
1140,1313-82-2,禁止使用酸碱灭火剂
1141,13138-45-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1142,13138-45-9,尽可能将容器从火场移至空旷处
1143,13138-45-9,喷水保持火场容器冷却，直至灭火结束
1144,1314-18-7,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1145,1314-18-7,尽可能将容器从火场移至空旷处
1146,1314-18-7,喷水保持火场容器冷却，直至灭火结束
1147,1314-18-7,严禁用水、泡沫、二氧化碳扑救
1148,1314-18-7,禁止用砂土压盖
1149,1314-22-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1150,1314-22-3,尽可能将容器从火场移至空旷处
1151,1314-22-3,喷水保持火场容器冷却，直至灭火结束
1152,1314-22-3,严禁用水、泡沫、二氧化碳扑救
1153,1314-22-3,禁止用砂土压盖
1154,1314-41-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1155,1314-41-6,尽可能将容器从火场移至空旷处
1156,1314-41-6,喷水保持火场容器冷却，直至灭火结束
1157,1314-56-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1158,1314-56-3,尽可能将容器从火场移至空旷处
1159,1314-56-3,喷水保持火场容器冷却，直至灭火结束
1160,1314-60-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1161,1314-60-9,尽可能将容器从火场移至空旷处
1162,1314-60-9,喷水保持火场容器冷却，直至灭火结束
1163,1314-80-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1164,1314-80-3,尽可能将容器从火场移至空旷处
1165,1314-80-3,喷水保持火场容器冷却，直至灭火结束
1166,1314-80-3,禁止用水和泡沫灭火
1167,1314-84-7,"带上 齐 全 的 呼 吸 保 护 装 置.
穿上 全 面 保 护 的 衣 物."
1168,1314-85-8,可用干粉、干沙灭火
1169,1314-85-8,禁用水和泡沫
1170,1314-85-8,灭火人员应佩戴防毒面具
1171,1317-36-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1172,1317-36-8,尽可能将容器从火场移至空旷处
1173,1317-36-8,喷水保持火场容器冷却，直至灭火结束
1174,1327-53-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1175,1327-53-3,尽可能将容器从火场移至空旷处
1176,1327-53-3,喷水保持火场容器冷却，直至灭火结束
1177,1327-53-3,禁止使用酸碱灭火剂
1178,1330-78-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1179,1330-78-5,尽可能将容器从火场移至空旷处
1180,1330-78-5,喷水保持火场容器冷却，直至灭火结束
1181,1330-78-5,容器突然发出异常声音或出现异常现象，应立即撤离
1182,13327-32-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1183,13327-32-7,尽可能将容器从火场移至空旷处
1184,13327-32-7,喷水保持火场容器冷却，直至灭火结束
1185,1333-82-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1186,1333-82-0,尽可能将容器从火场移至空旷处
1187,1333-82-0,喷水保持火场容器冷却，直至灭火结束
1188,1333-82-0,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
1189,1336-21-6,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1190,1336-21-6,尽可能将容器从火场移至空旷处
1191,1336-21-6,喷水保持火场容器冷却，直至灭火结束
1192,134-32-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1193,134-32-7,尽可能将容器从火场移至空旷处
1194,134-32-7,喷水保持火场容器冷却，直至灭火结束
1195,13400-13-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1196,13400-13-0,尽可能将容器从火场移至空旷处
1197,13400-13-0,喷水保持火场容器冷却，直至灭火结束
1198,1344-40-7,可用二氧化碳、干粉、干沙灭火
1199,1344-40-7,禁用水和泡沫
1200,1344-40-7,灭火人员应佩戴防毒面具
1201,13446-09-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1202,13446-09-8,喷水冷却容器，可能的话将容器从火场移至空旷处
1203,13446-09-8,在火场中与可燃物混合会爆炸，消防人员须在有防爆掩蔽处操作
1204,13446-74-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1205,13446-74-7,尽可能将容器从火场移至空旷处
1206,13446-74-7,喷水保持火场容器冷却，直至灭火结束
1207,1345-04-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1208,1345-04-6,尽可能将容器从火场移至空旷处
1209,1345-04-6,喷水保持火场容器冷却，直至灭火结束
1210,13455-24-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1211,13455-24-8,喷水冷却容器，可能的话将容器从火场移至空旷处
1212,13455-24-8,在火场中与可燃物混合会爆炸，消防人员须在有防爆掩蔽处操作
1213,13465-95-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1214,13465-95-7,尽可能将容器从火场移至空旷处
1215,13465-95-7,喷水保持火场容器冷却，直至灭火结束
1216,13465-95-7,在火场中与可燃物混合会爆炸，消防人员须在有防爆掩蔽处操作
1217,13465-95-7,禁止用砂土压盖
1218,13470-01-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1219,13470-01-4,喷水冷却容器，可能的话将容器从火场移至空旷处
1220,13470-01-4,在火场中与可燃物混合会爆炸，消防人员须在有防爆掩蔽处操作
1221,13477-00-4,穿全身消防服，在有防护掩蔽处灭火
1222,13477-00-4,尽可能将容器从火场移至空旷处
1223,13477-00-4,喷水保持火场容器冷却，直至灭火结束
1224,13477-00-4,禁止用砂土压盖
1225,13477-09-3,可用干沙、干粉灭火
1226,13477-09-3,禁止用水和泡沫灭火
1227,13477-36-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1228,13477-36-6,尽可能将容器从火场移至空旷处
1229,13477-36-6,喷水保持火场容器冷却，直至灭火结束
1230,13477-36-6,在火场中与可燃物混合会爆炸，消防人员须在有防爆掩蔽处操作
1231,13477-36-6,禁止用砂土压盖
1232,135-01-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1233,135-01-3,喷水冷却容器，可能的话将容器从火场移至空旷处
1234,135-01-3,容器突然发出异常声音或出现异常现象，应立即撤离
1235,135-88-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1236,135-88-6,尽可能将容器从火场移至空旷处
1237,135-88-6,喷水保持火场容器冷却，直至灭火结束
1238,135-98-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1239,135-98-8,喷水冷却容器，可能的话将容器从火场移至空旷处
1240,135-98-8,容器突然发出异常声音或出现异常现象，应立即撤离
1241,13597-99-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1242,13597-99-4,尽可能将容器从火场移至空旷处
1243,13597-99-4,喷水保持火场容器冷却，直至灭火结束
1244,13598-36-2,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
1245,13598-36-2,尽可能将容器从火场移至空旷处
1246,13598-36-2,喷水保持火场容器冷却，直至灭火结束
1247,136-35-6,可用沙土、泡沫、二氧化碳、雾状水灭火
1248,136-35-6,本品有毒，灭火人员应注意防毒
1249,13637-76-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1250,13637-76-8,尽可能将容器从火场移至空旷处
1251,13637-76-8,喷水保持火场容器冷却，直至灭火结束
1252,13637-76-8,在火场中与可燃物混合会发生爆炸，消防人员须在有防爆掩蔽处操作
1253,13637-76-8,禁止用砂土压盖
1254,13762-51-1,可用干沙、干粉灭火
1255,13762-51-1,禁止用水和泡沫灭火
