,CAS,操作注意事项
6657,142-29-0,工作场所严禁吸烟
6658,142-29-0,使用防爆型的通风系统和设备
6659,142-29-0,防止蒸气泄漏到工作场所空气中
6660,142-29-0,避免与氧化剂接触
6661,142-29-0,灌装时应控制流速，且有接地装置，防止静电积聚
6662,142-29-0,搬运时要轻装轻卸，防止包装及容器损坏
6663,142-29-0,配备相应品种和数量的消防器材及泄漏应急处理设备
6664,142-29-0,倒空的容器可能残留有害物
6665,142-59-6,密闭操作，加强通风
6666,142-59-6,操作人员必须经过专门培训，严格遵守操作规程
6667,142-59-6,建议操作人员佩戴自吸过滤式防尘口罩，戴安全防护眼镜，穿连衣式防毒衣，戴氯丁橡胶手套
6668,142-59-6,远离火种、热源
6669,142-59-6,工作场所严禁吸烟
6670,142-59-6,使用防爆型的通风系统和设备
6671,142-59-6,避免与氧化剂、酸类、碱类接触
6672,142-59-6,搬运时要轻装轻卸，防止包装及容器损坏
6673,142-59-6,配备相应品种和数量的消防器材及泄漏应急处理设备
6674,142-59-6,倒空的容器可能残留有害物
6675,142-61-0,密闭操作，局部排风
6676,142-61-0,操作人员必须经过专门培训，严格遵守操作规程
6677,142-61-0,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿橡胶耐酸碱服，戴橡胶耐酸碱手套
6678,142-61-0,远离火种、热源，工作场所严禁吸烟
6679,142-61-0,使用防爆型的通风系统和设备
6680,142-61-0,防止蒸气泄漏到工作场所空气中
6681,142-61-0,避免与氧化剂、碱类、醇类接触
6682,142-61-0,搬运时要轻装轻卸，防止包装及容器损坏
6683,142-61-0,配备相应品种和数量的消防器材及泄漏应急处理设备
6684,142-61-0,倒空的容器可能残留有害物
6685,142-62-1,密闭操作，全面通风
6686,142-62-1,操作人员必须经过专门培训，严格遵守操作规程
6687,142-62-1,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿橡胶耐酸碱服，戴橡胶耐酸碱手套
6688,142-62-1,远离火种、热源，工作场所严禁吸烟
6689,142-62-1,使用防爆型的通风系统和设备
6690,142-62-1,防止蒸气泄漏到工作场所空气中
6691,142-62-1,避免与氧化剂、还原剂、碱类接触
6692,142-62-1,搬运时要轻装轻卸，防止包装及容器损坏
6693,142-62-1,配备相应品种和数量的消防器材及泄漏应急处理设备
6694,142-62-1,倒空的容器可能残留有害物
6695,142-68-7,密闭操作，局部排风
6696,142-68-7,防止蒸气泄漏到工作场所空气中
6697,142-68-7,操作人员必须经过专门培训，严格遵守操作规程
6698,142-68-7,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶手套
6699,142-68-7,远离火种、热源，工作场所严禁吸烟
6700,142-68-7,使用防爆型的通风系统和设备
6701,142-68-7,在清除液体和蒸气前不能进行焊接、切割等作业
6702,142-68-7,避免产生烟雾
6703,142-68-7,避免与氧化剂、酸类接触
6704,142-68-7,容器与传送设备要接地，防止产生静电
6705,142-68-7,灌装时应控制流速，且有接地装置，防止静电积聚
6706,142-68-7,配备相应品种和数量的消防器材及泄漏应急处理设备
6707,142-68-7,倒空的容器可能残留有害物
6708,142-82-5,密闭操作，全面通风
6709,142-82-5,操作人员必须经过专门培训，严格遵守操作规程
6710,142-82-5,建议操作人员佩戴过滤式防毒面具(半面罩)，戴安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
6711,142-82-5,远离火种、热源
6712,142-82-5,工作场所严禁吸烟
6713,142-82-5,使用防爆型的通风系统和设备
6714,142-82-5,防止蒸气泄漏到工作场所空气中
6715,142-82-5,避免与氧化剂接触
6716,142-82-5,灌装时应控制流速，且有接地装置，防止静电积聚
6717,142-82-5,配备相应品种和数量的消防器材及泄漏应急处理设备
6718,142-82-5,倒空的容器可能残留有害物
6719,142-84-7,密闭操作，加强通风
6720,142-84-7,操作人员必须经过专门培训，严格遵守操作规程
6721,142-84-7,建议操作人员佩戴导管式防毒面具，穿胶布防毒衣，戴橡胶耐油手套
6722,142-84-7,远离火种、热源，工作场所严禁吸烟
6723,142-84-7,使用防爆型的通风系统和设备
6724,142-84-7,防止蒸气泄漏到工作场所空气中
6725,142-84-7,避免与氧化剂、酸类接触
6726,142-84-7,充装要控制流速，防止静电积聚
6727,142-84-7,搬运时要轻装轻卸，防止包装及容器损坏
6728,142-84-7,配备相应品种和数量的消防器材及泄漏应急处理设备
6729,142-84-7,倒空的容器可能残留有害物
6730,142-92-7,密闭操作，全面通风
6731,142-92-7,操作人员必须经过专门培训，严格遵守操作规程
6732,142-92-7,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
6733,142-92-7,远离火种、热源，工作场所严禁吸烟
6734,142-92-7,使用防爆型的通风系统和设备
6735,142-92-7,防止蒸气泄漏到工作场所空气中
6736,142-92-7,避免与氧化剂、还原剂、酸类接触
6737,142-92-7,充装要控制流速，防止静电积聚
6738,142-92-7,搬运时要轻装轻卸，防止包装及容器损坏
6739,142-92-7,配备相应品种和数量的消防器材及泄漏应急处理设备
6740,142-92-7,倒空的容器可能残留有害物
6741,142-96-1,密闭操作，全面通风
6742,142-96-1,操作人员必须经过专门培训，严格遵守操作规程
6743,142-96-1,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
6744,142-96-1,远离火种、热源
6745,142-96-1,工作场所严禁吸烟
6746,142-96-1,使用防爆型的通风系统和设备
6747,142-96-1,防止蒸气泄漏到工作场所空气中
6748,142-96-1,避免与氧化剂、酸类、卤素接触
6749,142-96-1,充装要控制流速，防止静电积聚
6750,142-96-1,搬运时要轻装轻卸，防止包装及容器损坏
6751,142-96-1,配备相应品种和数量的消防器材及泄漏应急处理设备
6752,142-96-1,倒空的容器可能残留有害物
6753,1420-07-1,密闭操作，局部排风
6754,1420-07-1,防止粉尘释放到车间空气中
6755,1420-07-1,操作人员必须经过专门培训，严格遵守操作规程
6756,1420-07-1,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴乳胶手套
6757,1420-07-1,远离火种、热源，工作场所严禁吸烟
6758,1420-07-1,使用防爆型的通风系统和设备
6759,1420-07-1,避免产生粉尘
6760,1420-07-1,避免与氧化剂接触
6761,1420-07-1,配备相应品种和数量的消防器材及泄漏应急处理设备
6762,1420-07-1,倒空的容器可能残留有害物
6763,1421-68-7,严加密闭，提供充分的局部排风和全面通风
6764,1421-68-7,避免接触皮肤和眼睛
6765,1421-68-7, 防止粉尘和气溶胶生成
6766,1421-68-7, 操作人员必须经过专门培训，严格遵守操作规程
6767,1421-68-7,建议操作人员佩戴导管式防毒面具，戴化学安全防护眼镜，穿戴面罩式防毒衣，戴橡胶手套
6768,1421-68-7,远离火种、热源
6769,1421-68-7,工作场所严禁吸烟
6770,1421-68-7,使用防爆型的通风系统和设备
6771,1421-68-7,防止气体泄漏到工作场所空气中
6772,1421-68-7,避免与氧化剂接触
6773,1421-68-7,搬运时轻装轻卸，防止钢瓶及附件破损
6774,1421-68-7,配备相应品种和数量的消防器材及泄漏应急处理设备
6775,14235-86-0,密闭操作，提供充分的局部排风
6776,14235-86-0,防止粉尘释放到车间空气中
6777,14235-86-0,操作人员必须经过专门培训，严格遵守操作规程
6778,14235-86-0,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
6779,14235-86-0,远离火种、热源，工作场所严禁吸烟
6780,14235-86-0,使用防爆型的通风系统和设备
6781,14235-86-0,避免产生粉尘
6782,14235-86-0,避免与氧化剂接触
6783,14235-86-0,配备相应品种和数量的消防器材及泄漏应急处理设备
6784,14235-86-0,倒空的容器可能残留有害物
6785,14264-31-4,密闭操作，提供充分的局部排风
6786,14264-31-4,防止粉尘释放到车间空气中
6787,14264-31-4,操作人员必须经过专门培训，严格遵守操作规程
6788,14264-31-4,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
6789,14264-31-4,避免产生粉尘
6790,14264-31-4,避免与酸类接触
6791,14264-31-4,配备泄漏应急处理设备
6792,14264-31-4,倒空的容器可能残留有害物
6793,143-33-9,严加密闭，提供充分的局部排风和全面通风
6794,143-33-9,操作尽可能机械化、自动化
6795,143-33-9,操作人员必须经过专门培训，严格遵守操作规程
6796,143-33-9,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿连衣式防毒衣，戴橡胶手套
6797,143-33-9,避免产生粉尘
6798,143-33-9,避免与氧化剂、酸类接触
6799,143-33-9,搬运时要轻装轻卸，防止包装及容器损坏
6800,143-33-9,配备泄漏应急处理设备
6801,143-33-9,倒空的容器可能残留有害物
6802,144-49-0,密闭操作，提供充分的局部排风
6803,144-49-0,操作人员必须经过专门培训，严格遵守操作规程
6804,144-49-0,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿连衣式防毒衣，戴橡胶耐酸碱手套
6805,144-49-0,远离火种、热源
6806,144-49-0,工作场所严禁吸烟
6807,144-49-0,使用防爆型的通风系统和设备
6808,144-49-0,避免产生粉尘
6809,144-49-0,避免与氧化剂、碱类接触
6810,144-49-0,搬运时要轻装轻卸，防止包装及容器损坏
6811,144-49-0,配备相应品种和数量的消防器材及泄漏应急处理设备
6812,144-49-0,倒空的容器可能残留有害物
6813,1445-45-0,密闭操作，局部排风
6814,1445-45-0,防止蒸气泄漏到工作场所空气中
6815,1445-45-0,操作人员必须经过专门培训，严格遵守操作规程
6816,1445-45-0,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶手套
6817,1445-45-0,远离火种、热源，工作场所严禁吸烟
6818,1445-45-0,使用防爆型的通风系统和设备
6819,1445-45-0,在清除液体和蒸气前不能进行焊接、切割等作业
6820,1445-45-0,避免产生烟雾
6821,1445-45-0,避免与氧化剂、酸类接触
6822,1445-45-0,容器与传送设备要接地，防止产生静电
6823,1445-45-0,灌装时应控制流速，且有接地装置，防止静电积聚
6824,1445-45-0,配备相应品种和数量的消防器材及泄漏应急处理设备
6825,1445-45-0,倒空的容器可能残留有害物
6826,14486-19-2,密闭操作，提供充分的局部排风
6827,14486-19-2,防止粉尘释放到车间空气中
6828,14486-19-2,操作人员必须经过专门培训，严格遵守操作规程
6829,14486-19-2,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
6830,14486-19-2,避免产生粉尘
6831,14486-19-2,避免与酸类接触
6832,14486-19-2,配备泄漏应急处理设备
6833,14486-19-2,倒空的容器可能残留有害物
6834,1450-14-2,密闭操作，局部排风
6835,1450-14-2,防止蒸气泄漏到工作场所空气中
6836,1450-14-2,操作人员必须经过专门培训，严格遵守操作规程
6837,1450-14-2,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶手套
6838,1450-14-2,远离火种、热源，工作场所严禁吸烟
6839,1450-14-2,使用防爆型的通风系统和设备
6840,1450-14-2,在清除液体和蒸气前不能进行焊接、切割等作业
6841,1450-14-2,避免产生烟雾
6842,1450-14-2,避免与氧化剂、酸类、碱类接触
6843,1450-14-2,容器与传送设备要接地，防止产生静电
6844,1450-14-2,灌装时应控制流速，且有接地装置，防止静电积聚
6845,1450-14-2,配备相应品种和数量的消防器材及泄漏应急处理设备
6846,1450-14-2,倒空的容器可能残留有害物
6847,14518-94-6,密闭操作，全面通风
6848,14518-94-6,操作人员必须经过专门培训，严格遵守操作规程
6849,14518-94-6,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿聚乙烯防毒服，戴橡胶手套
6850,14518-94-6,远离火种、热源
6851,14518-94-6,工作场所严禁吸烟
6852,14518-94-6,远离易燃、可燃物
6853,14518-94-6,避免产生粉尘
6854,14518-94-6,避免与还原剂接触
6855,14518-94-6,搬运时要轻装轻卸，防止包装及容器损坏
6856,14518-94-6,配备相应品种和数量的消防器材及泄漏应急处理设备
6857,14518-94-6,倒空的容器可能残留有害物
6858,14519-07-4,密闭操作，局部排风
6859,14519-07-4,操作人员必须经过专门培训，严格遵守操作规程
6860,14519-07-4,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿聚乙烯防毒服，戴橡胶手套
6861,14519-07-4,远离火种、热源
6862,14519-07-4,工作场所严禁吸烟
6863,14519-07-4,远离易燃、可燃物
6864,14519-07-4,避免产生粉尘
6865,14519-07-4,避免与还原剂接触
6866,14519-07-4,搬运时要轻装轻卸，防止包装及容器损坏
6867,14519-07-4,配备相应品种和数量的消防器材及泄漏应急处理设备
6868,14519-07-4,倒空的容器可能残留有害物
6869,14519-18-7,密闭操作，加强通风
6870,14519-18-7,操作人员必须经过专门培训，严格遵守操作规程
6871,14519-18-7,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿聚乙烯防毒服，戴橡胶手套
6872,14519-18-7,远离火种、热源
6873,14519-18-7,工作场所严禁吸烟
6874,14519-18-7,远离易燃、可燃物
6875,14519-18-7,避免产生粉尘
6876,14519-18-7,避免与还原剂接触
6877,14519-18-7,搬运时要轻装轻卸，防止包装及容器损坏
6878,14519-18-7,配备相应品种和数量的消防器材及泄漏应急处理设备
6879,14519-18-7,倒空的容器可能残留有害物
6880,1461-22-9,Wash hands before eating. Use only in a well ventilated area. Avoid contact with skin and eyes. Keep container tightly closed. Avoid ingestion and inhalation. Wash clothing before reuse.
6881,1461-25-2,密闭操作，局部排风
6882,1461-25-2,防止蒸气泄漏到工作场所空气中
6883,1461-25-2,操作人员必须经过专门培训，严格遵守操作规程
6884,1461-25-2,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
6885,1461-25-2,远离火种、热源，工作场所严禁吸烟
6886,1461-25-2,使用防爆型的通风系统和设备
6887,1461-25-2,在清除液体和蒸气前不能进行焊接、切割等作业
6888,1461-25-2,避免产生烟雾
6889,1461-25-2,避免与氧化剂接触
6890,1461-25-2,配备相应品种和数量的消防器材及泄漏应急处理设备
6891,1461-25-2,倒空的容器可能残留有害物
6892,14666-78-5,密闭操作，提供充分的局部排风
6893,14666-78-5,防止蒸气泄漏到工作场所空气中
6894,14666-78-5,操作人员必须经过专门培训，严格遵守操作规程
6895,14666-78-5,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿连衣式胶布防毒衣，戴橡胶手套
6896,14666-78-5,远离火种、热源，工作场所严禁吸烟
6897,14666-78-5,使用防爆型的通风系统和设备
6898,14666-78-5,在清除液体和蒸气前不能进行焊接、切割等作业
6899,14666-78-5,远离易燃、可燃物
6900,14666-78-5,避免产生烟雾
6901,14666-78-5,避免与还原剂、酸类接触
6902,14666-78-5,配备相应品种和数量的消防器材及泄漏应急处理设备
6903,14666-78-5,倒空的容器可能残留有害物
6904,147-82-0,密闭操作，提供充分的局部排风
6905,147-82-0,操作人员必须经过专门培训，严格遵守操作规程
6906,147-82-0,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
6907,147-82-0,远离火种、热源，工作场所严禁吸烟
6908,147-82-0,使用防爆型的通风系统和设备
6909,147-82-0,避免产生粉尘
6910,147-82-0,避免与氧化剂、酸类接触
6911,147-82-0,搬运时要轻装轻卸，防止包装及容器损坏
6912,147-82-0,配备相应品种和数量的消防器材及泄漏应急处理设备
6913,147-82-0,倒空的容器可能残留有害物
6914,14763-77-0,密闭操作，提供充分的局部排风
6915,14763-77-0,防止粉尘释放到车间空气中
6916,14763-77-0,操作人员必须经过专门培训，严格遵守操作规程
6917,14763-77-0,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
6918,14763-77-0,避免产生粉尘
6919,14763-77-0,避免与酸类、镁氯甲酸盐、亚硝酸钠、亚硝酸钾接触
6920,14763-77-0,配备泄漏应急处理设备
6921,14763-77-0,倒空的容器可能残留有害物
6922,148-82-3,严加密闭，提供充分的局部排风和全面通风
6923,148-82-3,操作人员必须经过专门培训，严格遵守操作规程
6924,148-82-3,建议操作人员佩戴导管式防毒面具，戴化学安全防护眼镜，穿戴面罩式防毒衣，戴橡胶手套
6925,148-82-3,远离火种、热源
6926,148-82-3,工作场所严禁吸烟
6927,148-82-3,使用防爆型的通风系统和设备
6928,148-82-3,防止气体泄漏到工作场所空气中
6929,148-82-3,避免与氧化剂接触
6930,148-82-3,搬运时轻装轻卸，防止钢瓶及附件破损
6931,148-82-3,配备相应品种和数量的消防器材及泄漏应急处理设备
6932,149-73-5,密闭操作，局部排风
6933,149-73-5,防止蒸气泄漏到工作场所空气中
6934,149-73-5,操作人员必须经过专门培训，严格遵守操作规程
6935,149-73-5,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶手套
6936,149-73-5,远离火种、热源，工作场所严禁吸烟
6937,149-73-5,使用防爆型的通风系统和设备
6938,149-73-5,在清除液体和蒸气前不能进行焊接、切割等作业
6939,149-73-5,避免产生烟雾
6940,149-73-5,避免与氧化剂、酸类接触
6941,149-73-5,容器与传送设备要接地，防止产生静电
6942,149-73-5,灌装时应控制流速，且有接地装置，防止静电积聚
6943,149-73-5,配备相应品种和数量的消防器材及泄漏应急处理设备
6944,149-73-5,倒空的容器可能残留有害物
6945,149-74-6,严加密闭，提供充分的局部排风和全面通风
6946,149-74-6,操作人员必须经过专门培训，严格遵守操作规程
6947,149-74-6,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿橡胶耐酸碱服，戴橡胶耐酸碱手套
6948,149-74-6,远离火种、热源
6949,149-74-6,工作场所严禁吸烟
6950,149-74-6,使用防爆型的通风系统和设备
6951,149-74-6,防止蒸气泄漏到工作场所空气中
6952,149-74-6,避免与氧化剂、酸类、碱类、醇类接触
6953,149-74-6,搬运时要轻装轻卸，防止包装及容器损坏
6954,149-74-6,配备相应品种和数量的消防器材及泄漏应急处理设备
6955,149-74-6,倒空的容器可能残留有害物
6956,14977-61-8,密闭操作，注意通风
6957,14977-61-8,操作尽可能机械化、自动化
6958,14977-61-8,操作人员必须经过专门培训，严格遵守操作规程
6959,14977-61-8,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿橡胶耐酸碱服，戴橡胶耐酸碱手套
6960,14977-61-8,远离火种、热源
6961,14977-61-8,工作场所严禁吸烟
6962,14977-61-8,远离易燃、可燃物
6963,14977-61-8,避免产生烟雾
6964,14977-61-8,防止烟雾和蒸气释放到工作场所空气中
6965,14977-61-8,避免与还原剂、醇类接触
6966,14977-61-8,尤其要注意避免与水接触
6967,14977-61-8,搬运时要轻装轻卸，防止包装及容器损坏
6968,14977-61-8,配备相应品种和数量的消防器材及泄漏应急处理设备
6969,14977-61-8,倒空的容器可能残留有害物
6970,150-46-9,密闭操作，全面通风
6971,150-46-9,操作人员必须经过专门培训，严格遵守操作规程
6972,150-46-9,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
6973,150-46-9,远离火种、热源，工作场所严禁吸烟
6974,150-46-9,使用防爆型的通风系统和设备
6975,150-46-9,防止蒸气泄漏到工作场所空气中
6976,150-46-9,避免与氧化剂、酸类接触
6977,150-46-9,尤其要注意避免与水接触
6978,150-46-9,搬运时要轻装轻卸，防止包装及容器损坏
6979,150-46-9,配备相应品种和数量的消防器材及泄漏应急处理设备
6980,150-46-9,倒空的容器可能残留有害物
6981,151-38-2,密闭操作，提供充分的局部排风
6982,151-38-2,防止粉尘释放到车间空气中
6983,151-38-2,操作人员必须经过专门培训，严格遵守操作规程
6984,151-38-2,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
6985,151-38-2,远离火种、热源，工作场所严禁吸烟
6986,151-38-2,使用防爆型的通风系统和设备
6987,151-38-2,避免产生粉尘
6988,151-38-2,避免与氧化剂、酸类接触
6989,151-38-2,配备相应品种和数量的消防器材及泄漏应急处理设备
6990,151-38-2,倒空的容器可能残留有害物
6991,151-50-8,严加密闭，提供充分的局部排风和全面通风
6992,151-50-8,操作尽可能机械化、自动化
6993,151-50-8,操作人员必须经过专门培训，严格遵守操作规程
6994,151-50-8,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿连衣式防毒衣，戴橡胶手套
6995,151-50-8,避免产生粉尘
6996,151-50-8,避免与氧化剂、酸类接触
6997,151-50-8,搬运时要轻装轻卸，防止包装及容器损坏
6998,151-50-8,配备泄漏应急处理设备
6999,151-50-8,倒空的容器可能残留有害物
7000,151-56-4,严加密闭，提供充分的局部排风和全面通风
7001,151-56-4,操作人员必须经过专门培训，严格遵守操作规程
7002,151-56-4,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶耐油手套
7003,151-56-4,远离火种、热源，工作场所严禁吸烟
7004,151-56-4,使用防爆型的通风系统和设备
7005,151-56-4,防止蒸气泄漏到工作场所空气中
7006,151-56-4,避免与氧化剂、酸类接触
7007,151-56-4,搬运时要轻装轻卸，防止包装及容器损坏
7008,151-56-4,配备相应品种和数量的消防器材及泄漏应急处理设备
7009,151-56-4,倒空的容器可能残留有害物
7010,15120-17-9,密闭操作，提供充分的局部排风
7011,15120-17-9,操作尽可能机械化、自动化
7012,15120-17-9,操作人员必须经过专门培训，严格遵守操作规程
7013,15120-17-9,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿连衣式胶布防毒衣，戴橡胶手套
7014,15120-17-9,避免产生粉尘
7015,15120-17-9,避免与氧化剂、酸类接触
7016,15120-17-9,搬运时要轻装轻卸，防止包装及容器损坏
7017,15120-17-9,配备泄漏应急处理设备
7018,15120-17-9,倒空的容器可能残留有害物
7019,15120-21-5,密闭操作，局部排风
7020,15120-21-5,防止粉尘释放到车间空气中
7021,15120-21-5,操作人员必须经过专门培训，严格遵守操作规程
7022,15120-21-5,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿胶布防毒衣，戴橡胶手套
7023,15120-21-5,远离火种、热源，工作场所严禁吸烟
7024,15120-21-5,远离易燃、可燃物
7025,15120-21-5,避免产生粉尘
7026,15120-21-5,避免与还原剂、酸类接触
7027,15120-21-5,配备相应品种和数量的消防器材及泄漏应急处理设备
7028,15120-21-5,倒空的容器可能残留有害物
7029,15168-20-4,密闭操作，提供充分的局部排风
7030,15168-20-4,防止粉尘释放到车间空气中
7031,15168-20-4,操作人员必须经过专门培训，严格遵守操作规程
7032,15168-20-4,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
7033,15168-20-4,避免产生粉尘
7034,15168-20-4,避免与酸类接触
7035,15168-20-4,配备泄漏应急处理设备
7036,15168-20-4,倒空的容器可能残留有害物
7037,15180-03-7,严加密闭，提供充分的局部排风和全面通风
7038,15180-03-7,操作人员必须经过专门培训，严格遵守操作规程
7039,15180-03-7,建议操作人员佩戴导管式防毒面具，戴化学安全防护眼镜，穿戴面罩式防毒衣，戴橡胶手套
7040,15180-03-7,远离火种、热源
7041,15180-03-7,工作场所严禁吸烟
7042,15180-03-7,使用防爆型的通风系统和设备
7043,15180-03-7,防止气体泄漏到工作场所空气中
7044,15180-03-7,避免与氧化剂接触
7045,15180-03-7,搬运时轻装轻卸，防止钢瓶及附件破损
7046,15180-03-7,配备相应品种和数量的消防器材及泄漏应急处理设备
7047,152-16-9,密闭操作，提供充分的局部排风
7048,152-16-9,操作尽可能机械化、自动化
7049,152-16-9,操作人员必须经过专门培训，严格遵守操作规程
7050,152-16-9,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶手套
7051,152-16-9,远离火种、热源，工作场所严禁吸烟
7052,152-16-9,使用防爆型的通风系统和设备
7053,152-16-9,防止蒸气泄漏到工作场所空气中
7054,152-16-9,避免与氧化剂、酸类接触
7055,152-16-9,搬运时要轻装轻卸，防止包装及容器损坏
7056,152-16-9,配备相应品种和数量的消防器材及泄漏应急处理设备
7057,152-16-9,倒空的容器可能残留有害物
7058,15232-76-5,密闭操作，全面通风
7059,15232-76-5,操作人员必须经过专门培训，严格遵守操作规程
7060,15232-76-5,建议操作人员佩戴过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
7061,15232-76-5,远离火种、热源
7062,15232-76-5,工作场所严禁吸烟
7063,15232-76-5,使用防爆型的通风系统和设备
7064,15232-76-5,防止蒸气泄漏到工作场所空气中
7065,15232-76-5,避免与氧化剂、酸类、金属粉末接触
7066,15232-76-5,充装要控制流速，防止静电积聚
7067,15232-76-5,搬运时要轻装轻卸，防止包装及容器损坏
7068,15232-76-5,配备相应品种和数量的消防器材及泄漏应急处理设备
7069,15232-76-5,倒空的容器可能残留有害物
7070,15271-41-7,严加密闭，提供充分的局部排风和全面通风
7071,15271-41-7,操作人员必须经过专门培训，严格遵守操作规程
7072,15271-41-7,建议操作人员佩戴导管式防毒面具，戴化学安全防护眼镜，穿戴面罩式防毒衣，戴橡胶手套
7073,15271-41-7,远离火种、热源
7074,15271-41-7,工作场所严禁吸烟
7075,15271-41-7,使用防爆型的通风系统和设备
7076,15271-41-7,防止气体泄漏到工作场所空气中
7077,15271-41-7,避免与氧化剂接触
7078,15271-41-7,搬运时轻装轻卸，防止钢瓶及附件破损
7079,15271-41-7,配备相应品种和数量的消防器材及泄漏应急处理设备
7080,15520-11-3,"All chemicals should be considered hazardous. Avoid direct physical contact. Use appropriate, approved safety equipment. Untrained individuals should not handle this chemical or its container. Handling should occur in a chemical fume hood."
7081,15593-61-0,储存于阴凉、通风仓间内；远离火种、热源；应严格执行极毒物品“五双”管理制度；操作现场不得吸烟、饮水、进食；应与氧化剂、酸类、食用化工原料分开存放；不能与粮食、食物、种子、饲料、各种日用品混装、混运；搬运时要轻装、轻卸，防止包装及容器损坏；分装和搬运作业要注意个人防护
7082,156-43-4,密闭操作，局部排风
7083,156-43-4,防止蒸气泄漏到工作场所空气中
7084,156-43-4,操作人员必须经过专门培训，严格遵守操作规程
7085,156-43-4,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
7086,156-43-4,远离火种、热源，工作场所严禁吸烟
7087,156-43-4,使用防爆型的通风系统和设备
7088,156-43-4,在清除液体和蒸气前不能进行焊接、切割等作业
7089,156-43-4,避免产生烟雾
7090,156-43-4,避免与氧化剂接触
7091,156-43-4,配备相应品种和数量的消防器材及泄漏应急处理设备
7092,156-43-4,倒空的容器可能残留有害物
7093,156-62-7,入库验收：检查包装是否完整，封口是否严密，是否受雨淋、水湿或沾染其他异物
7094,156-62-7,堆码苫垫：垛底应垫高15～30cm，堆垛高度不超过2．5m
7095,156-62-7,垛距80～90cm，墙距、柱距30cm
7096,156-62-7,在库检查：每日上班后下班前对货垛及库房内环境进行一次检查，每3个月定期对库存物品检查一次
7097,156-62-7,温湿度管理：库房要密封，根据库内外温湿度变化进行通风和吸潮，以控制库内温度不超过30℃，相对湿度在75％以下
7098,156-62-7,安全作业：搬运装卸要注意保护包装完整，不得摔损、撞击和在地面上滚动
7099,156-62-7,工作时要穿全套工作服，戴防护眼镜
7100,156-62-7,保管期限：1年
7101,1563-66-2,密闭操作，局部排风
7102,1563-66-2,操作人员必须经过专门培训，严格遵守操作规程
7103,1563-66-2,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
7104,1563-66-2,远离火种、热源，工作场所严禁吸烟
7105,1563-66-2,使用防爆型的通风系统和设备
7106,1563-66-2,避免产生粉尘
7107,1563-66-2,避免与氧化剂、碱类接触
7108,1563-66-2,搬运时要轻装轻卸，防止包装及容器损坏
