,CAS,灭火方法
1284,1338-23-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1285,1338-23-4,尽可能将容器从火场移至空旷处
1286,1338-23-4,喷水保持火场容器冷却，直至灭火结束
1287,1338-23-4,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1288,1338-23-4,灭火剂：雾状水、泡沫、干粉、二氧化碳
1289,1338-23-4,禁止用砂土压盖
1290,134-32-7,用雾状水、泡沫、二氧化碳、砂土灭火
1291,13400-13-0,用大量水灭火
1292,13400-13-0,用雾状水驱散烟雾与刺激性气体
1293,1341-49-7,消防人员必须穿全身防火防毒服，在上风向灭火
1294,1341-49-7,灭火时尽可能将容器从火场移至空旷处
1295,13446-09-8,本品不燃
1296,13446-09-8,根据着火原因选择适当灭火剂灭火
1297,13446-11-2,消防人员必须穿全身防火防毒服，在上风向灭火
1298,13446-11-2,灭火时尽可能将容器从火场移至空旷处
1299,13446-11-2,然后根据着火原因选择适当灭火剂灭火
1300,13446-48-5,消防人员须在有防爆掩蔽处操作
1301,13446-48-5,遇大火切勿轻易接近
1302,13446-48-5,用大量水灭火
1303,13446-48-5,禁止用砂土压盖
1304,13446-74-7,用大量水灭火
1305,13446-74-7,用雾状水驱散烟雾与刺激性气体
1306,1345-04-6,用雾状水、泡沫、砂土灭火
1307,13451-08-6,本品不燃
1308,13451-08-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1309,13451-08-6,尽可能将容器从火场移至空旷处
1310,13451-08-6,喷水保持火场容器冷却，直至灭火结束
1311,13451-08-6,灭火时尽量切断泄漏源，然后根据着火原因选择适当灭火剂灭火
1312,13453-30-0,消防人员必须穿全身防火防毒服，在上风向灭火
1313,13453-30-0,灭火时尽可能将容器从火场移至空旷处
1314,13453-30-0,然后根据着火原因选择适当灭火剂灭火
1315,13455-24-8,本品不燃
1316,13455-24-8,根据着火原因选择适当灭火剂灭火
1317,13463-39-3,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1318,13463-39-3,尽可能将容器从火场移至空旷处
1319,13463-39-3,喷水保持火场容器冷却，直至灭火结束
1320,13463-39-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1321,13463-39-3,灭火剂：雾状水、泡沫、干粉、二氧化碳
1322,13463-40-6,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1323,13463-40-6,尽可能将容器从火场移至空旷处
1324,13463-40-6,喷水保持火场容器冷却，直至灭火结束
1325,13463-40-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1326,13463-40-6,用水灭火无效
1327,13463-40-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1328,13465-95-7,本品不燃
1329,13465-95-7,根据着火原因选择适当灭火剂灭火
1330,13470-01-4,本品不燃
1331,13470-01-4,根据着火原因选择适当灭火剂灭火
1332,13477-00-4,用大量水扑救，同时用干粉灭火剂闷熄
1333,13477-36-6,本品不燃
1334,13477-36-6,根据着火原因选择适当灭火剂灭火
1335,13494-98-9,消防人员必须穿全身防火防毒服，在上风向灭火
1336,13494-98-9,灭火时尽可能将容器从火场移至空旷处
1337,13494-98-9,然后根据着火原因选择适当灭火剂灭火
1338,135-01-3,用泡沫、二氧化碳、干粉、砂土灭火
1339,135-88-6,用雾状水、泡沫、二氧化碳、砂土灭火
1340,135-98-8,用泡沫、二氧化碳、干粉、砂土灭火
1341,13548-38-4,消防人员必须穿全身防火防毒服，在上风向灭火
1342,13548-38-4,灭火时尽可能将容器从火场移至空旷处
1343,13548-38-4,然后根据着火原因选择适当灭火剂灭火
1344,13597-99-4,本品不燃
1345,13597-99-4,根据着火原因选择适当灭火剂灭火
1346,13598-36-2,本品不燃
1347,13598-36-2,根据着火原因选择适当灭火剂灭火
1348,13637-63-3,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1349,13637-63-3,迅速切断气源，用水喷淋保护切断气源的人员，然后根据着火原因选择适当灭火剂灭火
1350,13637-63-3,尽可能将容器从火场移至空旷处
1351,13637-63-3,喷水保持火场容器冷却，直至灭火结束
1352,13637-76-8,本品不燃
1353,13637-76-8,根据着火原因选择适当灭火剂灭火
1354,13682-73-0,消防人员必须穿全身防火防毒服，在上风向灭火
1355,13682-73-0,灭火时尽可能将容器从火场移至空旷处
1356,13682-73-0,然后根据着火原因选择适当灭火剂灭火
1357,137-06-4,消防人员必须穿全身耐酸碱消防服
1358,137-06-4,尽可能将容器从火场移至空旷处
1359,137-06-4,喷水保持火场容器冷却，直至灭火结束
1360,137-06-4,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1361,137-06-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1362,137-07-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1363,137-07-5,尽可能将容器从火场移至空旷处
1364,137-07-5,喷水保持火场容器冷却，直至灭火结束
1365,137-07-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1366,137-07-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1367,137-26-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1368,137-26-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1369,137-30-4,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1370,137-30-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1371,137-43-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1372,137-43-9,尽可能将容器从火场移至空旷处
1373,137-43-9,喷水保持火场容器冷却，直至灭火结束
1374,137-43-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1375,137-43-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1376,13718-59-7,消防人员必须穿全身防火防毒服，在上风向灭火
1377,13718-59-7,灭火时尽可能将容器从火场移至空旷处
1378,13718-59-7,然后根据着火原因选择适当灭火剂灭火
1379,13746-89-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1380,13746-89-9,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
1381,13746-89-9,灭火剂：雾状水、砂土
1382,13765-03-2,本品不燃
1383,13765-03-2,根据着火原因选择适当灭火剂灭火
1384,13770-61-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1385,13770-61-1,尽可能将容器从火场移至空旷处
1386,13770-61-1,喷水保持火场容器冷却，直至灭火结束
1387,13779-41-4,本品不燃
1388,13779-41-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1389,13779-41-4,尽可能将容器从火场移至空旷处
1390,13779-41-4,喷水保持火场容器冷却，直至灭火结束
1391,13779-41-4,灭火时尽量切断泄漏源，然后根据着火原因选择适当灭火剂灭火
1392,13780-03-5,本品不燃
1393,13780-03-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1394,13780-03-5,尽可能将容器从火场移至空旷处
1395,13780-03-5,喷水保持火场容器冷却，直至灭火结束
1396,13780-03-5,灭火时尽量切断泄漏源，然后根据着火原因选择适当灭火剂灭火
1397,13780-06-8,本品不燃
1398,13780-06-8,根据着火原因选择适当灭火剂灭火
1399,138-86-3,用泡沫、干粉、二氧化碳、砂土灭火
1400,138-89-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1401,138-89-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1402,13814-96-5,本品不燃
1403,13814-96-5,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1404,13814-96-5,尽可能将容器从火场移至空旷处
1405,13814-96-5,喷水保持火场容器冷却，直至灭火结束
1406,13814-96-5,灭火时尽量切断泄漏源，然后根据着火原因选择适当灭火剂灭火
1407,13863-41-7,本品不燃
1408,13863-41-7,根据着火原因选择适当灭火剂灭火
1409,139-02-6,用雾状水、抗溶性泡沫、干粉、二氧化碳灭火
1410,13952-84-6,喷水冷却容器，可能的话将容器从火场移至空旷处
1411,13952-84-6,灭火剂：抗溶性泡沫、二氧化碳、干粉、砂土
1412,13952-84-6,用水灭火无效
1413,13967-90-3,本品不燃
1414,13967-90-3,根据着火原因选择适当灭火剂灭火
1415,1397-94-0,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
1416,140-29-4,用泡沫、干粉、二氧化碳、砂土灭火
1417,140-80-7,消防人员必须穿全身耐酸碱消防服
1418,140-80-7,尽可能将容器从火场移至空旷处
1419,140-80-7,喷水保持火场容器冷却，直至灭火结束
1420,140-80-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1421,140-80-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1422,140-88-5,用抗溶性泡沫、二氧化碳、干粉、砂土灭火
1423,1402-38-6,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
1424,141-32-2,用泡沫、干粉、二氧化碳、砂土灭火
1425,141-43-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1426,141-43-5,尽可能将容器从火场移至空旷处
1427,141-43-5,喷水保持火场容器冷却，直至灭火结束
1428,141-43-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1429,141-43-5,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
1430,141-43-5,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
1431,141-57-1,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1432,141-57-1,尽可能将容器从火场移至空旷处
1433,141-57-1,喷水保持火场容器冷却，直至灭火结束
1434,141-57-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1435,141-57-1,灭火剂：干粉、二氧化碳、砂土
1436,141-57-1,禁止用水和泡沫灭火
1437,141-66-2,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1438,141-66-2,尽可能将容器从火场移至空旷处
1439,141-66-2,喷水保持火场容器冷却，直至灭火结束
1440,141-66-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1441,141-66-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1442,141-75-3,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1443,141-75-3,尽可能将容器从火场移至空旷处
1444,141-75-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1445,141-75-3,灭火剂：干粉、二氧化碳、砂土
1446,141-75-3,禁止用水和泡沫灭火
1447,141-78-6,用泡沫、二氧化碳、干粉、砂土灭火
1448,141-79-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1449,141-79-7,尽可能将容器从火场移至空旷处
1450,141-79-7,喷水保持火场容器冷却，直至灭火结束
1451,141-79-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1452,141-79-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1453,141-91-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1454,141-91-3,尽可能将容器从火场移至空旷处
1455,141-91-3,喷水保持火场容器冷却，直至灭火结束
1456,141-91-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1457,141-91-3,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
1458,141-91-3,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
1459,141-93-5,用泡沫、二氧化碳、干粉、砂土灭火
1460,142-04-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1461,142-04-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1462,142-28-9,用泡沫、二氧化碳、干粉、砂土灭火
1463,142-29-0,用泡沫、二氧化碳、干粉、砂土灭火
1464,142-59-6,用抗溶性泡沫、干粉、砂土灭火
1465,142-61-0,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1466,142-61-0,尽可能将容器从火场移至空旷处
1467,142-61-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1468,142-61-0,灭火剂：泡沫、干粉、二氧化碳、砂土
1469,142-61-0,禁止用水
1470,142-62-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1471,142-62-1,尽可能将容器从火场移至空旷处
1472,142-62-1,喷水保持火场容器冷却，直至灭火结束
1473,142-62-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1474,142-62-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1475,142-68-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1476,142-68-7,尽可能将容器从火场移至空旷处
1477,142-68-7,喷水保持火场容器冷却，直至灭火结束
1478,142-68-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1479,142-68-7,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
1480,142-68-7,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
1481,142-82-5,用泡沫、二氧化碳、干粉、砂土灭火
1482,142-84-7,喷水冷却容器，可能的话将容器从火场移至空旷处
1483,142-84-7,灭火剂：抗溶性泡沫、二氧化碳、干粉、砂土
1484,142-84-7,用水灭火无效
1485,142-92-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1486,142-92-7,尽可能将容器从火场移至空旷处
1487,142-92-7,喷水保持火场容器冷却，直至灭火结束
1488,142-92-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1489,142-92-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1490,142-96-1,用泡沫、二氧化碳、干粉、砂土灭火
1491,1420-07-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1492,1420-07-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1493,1421-68-7,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
1494,14235-86-0,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1495,14235-86-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1496,14264-31-4,消防人员必须穿全身防火防毒服，在上风向灭火
1497,14264-31-4,灭火时尽可能将容器从火场移至空旷处
1498,14264-31-4,然后根据着火原因选择适当灭火剂灭火
1499,143-33-9,本品不燃
1500,143-33-9,根据着火原因选择适当灭火剂灭火
1501,144-49-0,用雾状水、抗溶性泡沫、二氧化碳、砂土灭火
1502,1445-45-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1503,1445-45-0,尽可能将容器从火场移至空旷处
1504,1445-45-0,喷水保持火场容器冷却，直至灭火结束
1505,1445-45-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1506,1445-45-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1507,14486-19-2,消防人员必须穿全身防火防毒服，在上风向灭火
1508,14486-19-2,灭火时尽可能将容器从火场移至空旷处
1509,14486-19-2,然后根据着火原因选择适当灭火剂灭火
1510,1450-14-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1511,1450-14-2,尽可能将容器从火场移至空旷处
1512,1450-14-2,喷水保持火场容器冷却，直至灭火结束
1513,1450-14-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1514,1450-14-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1515,1450-14-2,不宜用水
1516,14518-94-6,本品不燃
1517,14518-94-6,根据着火原因选择适当灭火剂灭火
1518,14519-07-4,本品不燃
1519,14519-07-4,根据着火原因选择适当灭火剂灭火
1520,14519-18-7,本品不燃
1521,14519-18-7,根据着火原因选择适当灭火剂灭火
1522,1461-22-9,"Wear a self-contained breathing apparatus in pressure-demand, MSHA/NIOSH (approved or equivalent), and full protective gear. Containers may explode when heated. Extinguishing media: Cool containers with flooding quantities of water until well after fire is out. In case of fire use water spray, dry chemical, carbon dioxide, or appropriate foam."
1523,1461-25-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1524,1461-25-2,尽可能将容器从火场移至空旷处
1525,1461-25-2,喷水保持火场容器冷却，直至灭火结束
1526,1461-25-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1527,1461-25-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1528,14666-78-5,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1529,14666-78-5,尽可能将容器从火场移至空旷处
1530,14666-78-5,喷水保持火场容器冷却，直至灭火结束
1531,14666-78-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1532,14666-78-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1533,147-82-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1534,147-82-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1535,14763-77-0,消防人员必须穿全身防火防毒服，在上风向灭火
1536,14763-77-0,灭火时尽可能将容器从火场移至空旷处
1537,14763-77-0,然后根据着火原因选择适当灭火剂灭火
1538,148-82-3,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
1539,149-73-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1540,149-73-5,尽可能将容器从火场移至空旷处
1541,149-73-5,喷水保持火场容器冷却，直至灭火结束
1542,149-73-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1543,149-73-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1544,149-74-6,用干粉、二氧化碳灭火
1545,14977-61-8,用干粉、砂土灭火
1546,150-46-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1547,150-46-9,尽可能将容器从火场移至空旷处
1548,150-46-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1549,150-46-9,灭火剂：干粉、二氧化碳、砂土
1550,150-46-9,禁止用水和泡沫灭火
1551,151-38-2,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1552,151-38-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1553,151-50-8,本品不燃
1554,151-50-8,根据着火原因选择适当灭火剂灭火
1555,151-56-4,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1556,151-56-4,尽可能将容器从火场移至空旷处
1557,151-56-4,喷水保持火场容器冷却，直至灭火结束
1558,151-56-4,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1559,151-56-4,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
1560,151-56-4,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
1561,15120-17-9,消防人员必须穿全身防火防毒服，在上风向灭火
1562,15120-17-9,灭火剂：干粉、水、砂土
1563,15120-21-5,消防人员必须穿全身防火防毒服，在上风向灭火
1564,15120-21-5,灭火时尽可能将容器从火场移至空旷处
1565,15120-21-5,然后根据着火原因选择适当灭火剂灭火
1566,15168-20-4,消防人员必须穿全身防火防毒服，在上风向灭火
1567,15168-20-4,灭火时尽可能将容器从火场移至空旷处
1568,15168-20-4,然后根据着火原因选择适当灭火剂灭火
1569,15180-03-7,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
1570,152-16-9,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1571,152-16-9,尽可能将容器从火场移至空旷处
1572,152-16-9,喷水保持火场容器冷却，直至灭火结束
1573,152-16-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1574,152-16-9,灭火剂：雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
1575,152-16-9,禁止使用酸碱灭火剂
1576,15232-76-5,用泡沫、干粉、二氧化碳、砂土灭火
1577,15271-41-7,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
1578,15520-11-3,"The temperature of the substance must be maintained at or below the Control Temperature at all times. SMALL FIRES: Water spray or fog is preferred; if water not available use dry chemical, carbon dioxide or regular foam. LARGE FIRES: Flood fire area with water from a distance. Use water spray or fog; do not use straight streams. Move containers from fire area if you can do it without risk. Do not move cargo or vehicle if cargo has been exposed to heat. Fight fire from maximum distance or use unmanned hose holders or monitor nozzles. Cool containers with flooding quantities of water until well after fire is out. BEWARE OF POSSIBLE CONTAINER EXPLOSION. ALWAYS stay away from tanks engulfed in fire. For massive fire, use unmanned hose holders or monitor nozzles; if this is impossible, withdraw from area and let fire burn."
1579,15593-61-0,用水灭火
1580,156-43-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1581,156-43-4,尽可能将容器从火场移至空旷处
1582,156-43-4,喷水保持火场容器冷却，直至灭火结束
1583,156-43-4,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1584,156-43-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1585,1563-66-2,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1586,1563-66-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1587,15630-89-4,Flood with water. Cool all affected containers with flooding quantities of water. Apply water from as far a distance as possible.
1588,1569-02-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1589,1569-02-4,尽可能将容器从火场移至空旷处
1590,1569-02-4,喷水保持火场容器冷却，直至灭火结束
1591,1569-02-4,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1592,1569-02-4,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
1593,1569-02-4,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
1594,1569-69-3,用泡沫、二氧化碳、干粉、砂土灭火
1595,15829-53-5,消防人员必须穿全身防火防毒服，在上风向灭火
1596,15829-53-5,灭火时尽可能将容器从火场移至空旷处
1597,15829-53-5,然后根据着火原因选择适当灭火剂灭火
1598,15879-93-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1599,15879-93-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1600,15972-60-8,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1601,15972-60-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1602,1600-27-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1603,1600-27-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1604,16066-38-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1605,16066-38-9,尽可能将容器从火场移至空旷处
1606,16066-38-9,喷水保持火场容器冷却，直至灭火结束
1607,16066-38-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1608,16066-38-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1609,1609-86-5,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1610,1609-86-5,尽可能将容器从火场移至空旷处
1611,1609-86-5,喷水保持火场容器冷却，直至灭火结束
1612,1609-86-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1613,1609-86-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1614,1609-86-5,不宜用水
1615,16111-62-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1616,16111-62-9,遇大火，消防人员须在有防护掩蔽处操作
1617,16111-62-9,尽可能将容器从火场移至空旷处
1618,16111-62-9,喷水保持火场容器冷却，直至灭火结束
1619,16111-62-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1620,16111-62-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1621,1615-80-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1622,1615-80-1,尽可能将容器从火场移至空旷处
1623,1615-80-1,喷水保持火场容器冷却，直至灭火结束
1624,1615-80-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1625,1615-80-1,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
1626,1615-80-1,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
1627,1629-58-9,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1628,1629-58-9,尽可能将容器从火场移至空旷处
1629,1629-58-9,喷水保持火场容器冷却，直至灭火结束
1630,1629-58-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1631,1629-58-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1632,1629-58-9,不宜用水
1633,1634-04-4,用泡沫、干粉、二氧化碳、砂土灭火
1634,1640-89-7,用泡沫、二氧化碳、干粉、砂土灭火
1635,16454-60-7,消防人员必须穿全身防火防毒服，在上风向灭火
1636,16454-60-7,灭火时尽可能将容器从火场移至空旷处
1637,16454-60-7,然后根据着火原因选择适当灭火剂灭火
1638,1656-44-6,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1639,1656-44-6,灭火剂：干粉、二氧化碳、砂土
1640,1656-44-6,禁止用水和泡沫灭火
1641,1656-48-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1642,1656-48-0,尽可能将容器从火场移至空旷处
1643,1656-48-0,喷水保持火场容器冷却，直至灭火结束
1644,1656-48-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1645,1656-48-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1646,1663-67-8,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1647,1663-67-8,尽可能将容器从火场移至空旷处
1648,1663-67-8,喷水保持火场容器冷却，直至灭火结束
1649,1663-67-8,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1650,1663-67-8,灭火剂：干粉、二氧化碳、砂土
1651,1663-67-8,禁止用水和泡沫灭火
1652,1666-13-3,消防人员穿全身消防服，戴防毒面具，在上风处灭火；灭火剂使用雾状水、泡沫、二氧化碳、沙土
1653,16721-80-5,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
1654,16721-80-5,尽可能将容器从火场移至空旷处
1655,16721-80-5,喷水保持火场容器冷却，直至灭火结束
1656,16721-80-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1657,16721-80-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1658,16752-77-5,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
1659,16752-77-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1660,16774-21-3,消防人员必须穿全身防火防毒服，在上风向灭火
1661,16774-21-3,灭火时尽可能将容器从火场移至空旷处
1662,16774-21-3,然后根据着火原因选择适当灭火剂灭火
1663,1678-91-7,用泡沫、二氧化碳、干粉、砂土灭火
1664,1678-93-9,用泡沫、二氧化碳、干粉、砂土灭火
1665,1679-09-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1666,1679-09-0,尽可能将容器从火场移至空旷处
1667,1679-09-0,喷水保持火场容器冷却，直至灭火结束
1668,1679-09-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
1669,1679-09-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1670,16853-85-3,用金属盖或干燥石墨粉、干燥白云石粉末将火焖熄
1671,16871-71-9,尽可能将容器从火场移至空旷处
1672,16871-71-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
1673,16871-90-2,尽可能将容器从火场移至空旷处
