,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
474,4-氨基苯酚,C6H7NO,109.12,123-30-8,4-氨基苯酚,白色至灰褐色结晶,无意义,186～189,150(0.4kPa),无资料(水=1),无资料(空气=1),0.4(150℃)(kPa),None,无资料,0.04,无意义,无资料,None,无资料,无资料,微溶于水、乙醇、乙醚,用于制造染料、药物及塑料固化剂等,稳定
475,对苯二酚,C6H6O2,110.11,123-31-9,对苯二酚,白色结晶,无意义,170.5,285,1.33(水=1),3.81(空气=1),0.13(132.4℃)(kPa),549.9,7.45,0.59,165(闭杯),516,-2849.8,1.6,15.3,溶于水，易溶于乙醇、乙醚,制取黑白显影剂、蒽醌染料、偶氮染料、橡胶防老剂、稳定剂和抗氧剂,稳定
476,丙醛,C3H6O,58.1,123-38-6,丙醛,无色透明液体，有刺激性臭味,无资料,-81,48～49,0.80(水=1),2.0(空气=1),31.3(20℃)(kPa),None,4.65,0.59～0.83,-30,207,-1822.7,2.6,17,溶于水，可混溶于乙醇、乙醚等多数有机溶剂,用于制合成树脂、橡胶促进剂和防老剂,稳定
477,双丙酮醇,C6H12O2,116.16,123-42-2,双丙酮醇,无色液体，有使人感觉愉快的气味。,None,-44,164.4,0.94(水=1),4.0(空气=1),0.13/20℃(kPa),None,None,None,<23,603,None,1.8,6.9,与水混溶，可混溶于乙醇、醚、芳烃。,用作溶剂，也用于制金属清洁剂、木材防腐剂、照相软片和药物的防腐剂、抗冻剂。,None
478,异戊醇,C5H12O,88.17,123-51-3,异戊醇,无色液体，有不愉快的气味,无资料,-117.2,132.5,0.81(15℃)(水=1),3.04(空气=1),0.27(20℃)(kPa),304,3.92,1.16,43(闭杯),347,-3323,1.2,9,微溶于水，可混溶于乙醇、乙醚、苯、氯仿、石油醚，易溶于丙酮，溶于多数有机溶剂,用作照相化学药品、香精、分析试剂，以及用于有机合成、制药等,稳定
479,"2,4-戊二酮",None,None,123-54-6,None,无色或微黄色液体，有酯的气味。,None,-23.2,140.5,0.98(水=1),3.45(空气=1),0.93/20℃(kPa),None,None,None,34,340,2574.5,1.7,11.4,微溶于水，溶于醇、氯仿、醚、苯、丙酮等多数有机溶剂。,用作醋酸纤维素的溶剂，有机合成中间体，金属络合剂，涂料干燥剂，润滑剂、杀虫剂。,None
480,丙酸酐,C6H10O3,130.16,123-62-6,丙酸酐,无色有刺激性恶臭的液体,无资料,-45,167,1.02(水=1),4.49(空气=1),0.13(20.6℃)(kPa),342.7,3.34,0.4,73.9(开杯); 63(闭杯),285,-3120.8,1.48,11.9,溶于乙醇、乙醚、氯仿、碱液,用作酯化剂、脱水剂及用于染料和药品、香水的制造,稳定
481,三聚乙醛,C6H12O3,132.18,123-63-7,三聚乙醛,无色油状液体，有芳香的气味,无资料,12.6,124.5,0.99(水=1),4.5(空气=1),3.36(20℃)(kPa),290,3.5,0.67,35.5(开杯),235,-3119.4,1.3,17,溶于水，可混溶于多数有机溶剂,用作溶剂，以及用于有机合成，橡胶促进剂和抗氧剂制造等,稳定
482,己酸乙酯,C8H16O2,144.24,123-66-0,己酸乙酯,无色至黄色液体，有愉快的气味,无资料,-67,161.9～168,0.869(水=1),5.0(空气=1),None,None,无资料,2.83,54.4(开杯),无资料,None,无资料,无资料,不溶于水、甘油，溶于乙醇、乙醚等多数有机溶剂,用于有机合成、配制人造香精,稳定
483,丁醛,C4H8O,72.1,123-72-8,丁醛,水白色液体，有刺激性气味,无资料,-99,75,0.80(水=1),2.5(空气=1),12.20(20℃)(kPa),263.95,4,0.88～1.18,-22(闭杯),218.3,-2479.34,1.9,12.5,微溶于水，溶于乙醇、乙醚等多数有机溶剂,用作树脂、塑料增塑剂、硫化促进剂、杀虫剂等的中间体,稳定
484,四氢化吡咯,None,None,123-75-1,None,无色液体，有似胺的气味。,None,-63,86~87,0.86(水=1),2.45(空气=1),17.06/39℃(kPa),None,None,None,3,None,None,None,None,溶于水、醇、醚等多数有机溶剂。,用于制造药品、杀虫剂、防霉剂，以及环氧树脂交联剂和阻聚剂等。,None
485,偶氮二甲酰胺,None,None,123-77-3,None,无臭的黄色粉末。,None,225(分解),None,1.65(20℃)(水=1),None,None,None,None,None,无意义,None,1090,600(g/m3),None,不溶于水、醇、苯、丙酮等。,广泛用作聚氯乙烯、聚乙烯、聚苯乙烯、聚丙烯，ABS树脂等的发孔剂。,None
486,乙酸丁酯,C6H12O2,116.18,123-86-4,乙酸丁酯,无色透明液体，有水果香味,无资料,-76.8,126.1,0.88(水=1),4.1(空气=1),1.2(20℃)(kPa),305.9,3.1,1.82,22(闭杯),421,-3463.5,1.2,7.6,微溶于水，溶于乙醇、乙醚、烃类等多数有机溶剂,用作喷漆、人造革、胶片、硝化棉、树胶等溶剂及用于调制香料和药物,稳定
487,氯化甲氧基乙基汞,C3H7ClHgO,295.14,123-88-6,氯化甲氧基乙基汞,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"用作杀菌剂,防霉剂,医药品,农药(种子消毒等)。使用与保管不当易引起中毒。",None
488,"1,4-二氧己环",C4H8O2,88.12,123-91-1,"1,4-二氧己环",无色，带有醚味的透明液体,无资料,11.8,101.3,1.04(水=1),3.03(空气=1),4.1(20℃)(kPa),312,5.14,-0.27,12(闭杯); 18.3(开杯),180,-2428.6,2,22.2,与水混溶，可混溶于多数有机溶剂,用作溶剂、乳化剂、去垢剂,稳定
489,乙酸异戊酯,C7H14O2,130.2,123-92-2,乙酸异戊酯,无色、有香蕉气味、易挥发的液体,无资料,-78.5,142～142.5,0.88(水=1),4.5(空气=1),0.53(20℃)(kPa),None,2.83,2.26,18～35(闭杯),360,None,1.1,7.5,微溶于水，可混溶于乙醇、乙醚、乙酸乙酯、戊醇等,是制造喷漆溶剂、稀释剂的主要成分之一,稳定
490,二烯丙(基)胺,None,None,124-02-7,None,无色液体。,None,-88.4,112,0.79(水=1),3.35(空气=1),2.40(20℃)(kPa),None,None,None,15,None,None,None,None,与水混溶，可混溶于乙醇、乙醚、苯。,用于制药、化工合成等。,None
491,"1,6-己二胺",C6H16N2,116.24,124-09-4,"1,6-己二胺",具有氨味的无色片状结晶,无意义,42～45,205,0.85(水=1),4.01(空气=1),2.00(90℃)(kPa),None,3.29,0.35,71(开杯),无资料,-4440,0.7,6.3,易溶于水，微溶于乙醇、苯、乙醚,用途用于有机合成，生产聚合物(如：尼龙66)，也作环氧树脂固化剂、化学试剂,稳定
492,1-壬烯,C9H18,126.22,124-11-8,1-壬烯,无色液体,无资料,-81.4,146.9,0.73(水=1),4.35(空气=1),1.46(37.7℃)(kPa),327.8,2.48,5.15,26(开杯),244,-5573,0.9,4,不溶于水，溶于乙醇、乙醚,用作溶剂、有机合成中间体,稳定
493,正辛腈,None,None,124-12-9,None,无色液体。,None,-45,189-200,0.81(水=1),None,None,None,None,None,73,None,None,None,None,不溶于水，微溶于乙醇，溶于乙醚。,None,None
494,癸烷,C10H22,142.29,124-18-5,癸烷,无色透明液体,无资料,-29.7,174.2,0.73(水=1),4.9(空气=1),0.17(25℃)(kPa),344.6,2.11,5.01,46(闭杯),210,-6778.29,0.8,5.4,不溶于水，可混溶于乙醇、乙醚,用作溶剂，及用于有机合成，也用于燃料研究,稳定
495,二氧化碳,CO2,44.01,124-38-9,二氧化碳,无色无味气体,无资料,-56.6(527kPa),-78.5(升华),1.56(-79℃)(水=1),1.53(空气=1),1013.25(-39℃)(kPa),31.3,7.39,0.83,不燃,无意义,None,无意义,无意义,溶于水，溶于烃类等多数有机溶剂,用于制糖工业、制碱工业、制铅白等，也用于冷饮、灭火及有机合成,稳定
496,二甲胺[无水],C2H7N,45.08,124-40-3,二甲胺[无水],无色气体，高浓度的带有氨味，低浓度的有烂鱼味,无意义,-92.2,7,0.68(水=1),1.6(空气=1),203(25℃)(kPa),164.5,5.31,-0.38,20(闭杯),400,-1743.5(液体); -1768.9(气体),2.8,14.4,易溶于水，溶于乙醇、乙醚,用于有机合成及沉淀氢氧化锌等,稳定
497,甲醇钠甲醇溶液,None,None,124-41-4,None,白色无定形易流动粉末，无臭。,None,None,>450,1.3(水=1),1.1(空气=1),None,None,None,None,None,None,None,None,None,溶于甲醇、乙醇。,主要用于医药工业，有机合成中用作缩合剂、化学试剂、食用油脂处理的催化剂等。,None
498,过氧化氢尿素,None,None,124-43-6,None,白色结晶。,None,75～85(分解),None,0.8(20℃)(水=1),None,None,None,None,None,无意义,>360,无意义,无意义,无意义,溶于水、乙醇、乙二醇。,用作漂白剂、杀菌剂，也用于制药、化妆品等。,None
499,硝酸脲,CH5N3O4,123.09,124-47-0,硝酸脲,无色或白色结晶,无意义,152(分解),无资料,1.69(水=1),无资料(空气=1),None,None,无资料,-3.51,无资料,无资料,None,无资料,无资料,微溶于水，溶于乙醇，不溶于硝酸、乙醚、苯、氯仿,用于制造炸药、有机合成中间体,稳定
500,甲基磺酰氯,CH3SO2Cl,114.55,124-63-0,甲基磺酰氯,无色或微黄色液体,无资料,-32,164,1.48(水=1),3.9(空气=1),1.60(53℃)(kPa),None,5.23,1.27,110,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚和大多数有机溶剂,用作分析试剂,稳定
501,二甲基胂酸钠,None,None,124-65-2,None,白色粉末，易潮解。,None,60,None,>1(20℃)(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水、乙醇。,用作除草剂，并用于生化研究。,None
502,木防己苦毒素,C30H34O13,602.58,124-87-8,木防己苦毒素,粉末,None,203 °C,None,None,None,None,None,None,-2.81,None,None,None,None,None,None,None,None
503,代森锰及其制品[含代森锰>60%],None,None,12427-38-2,None,"淡黄色晶体, 能潮解。",None,分解,None,1.92(水=1),None,None,None,None,None,None,None,None,None,None,溶于水，不溶于多数有机溶剂。,"用作农用杀菌剂, 可加工成粉剂和可湿性粉剂使用。",None
504,磷化锶,None,None,12504-13-1,None,棕色结晶。,None,None,None,2.68(水=1),None,None,无意义,无意义,None,无意义,None,None,None,None,None,None,None
505,三氯化三甲基(二)铝,None,None,12542-85-7,None,无色液体。,None,23,144,0.877(水=1),None,None,None,None,None,-18.3,None,None,None,None,None,用作催化剂等。,None
506,"磷酸-2,3-二溴-1-丙酯",C9H15Br6O4P,697.67,126-72-7,"磷酸-2,3-二溴-1-丙酯",淡黄色透明粘稠液体。,None,-3~-8,110~130(0.133kPa),2.25(水=1),None,None,None,None,None,>112,None,None,None,None,不溶于水、烃类，溶于醇、酮、芳烃、卤代烃。,用作合成纤维、塑料的阻燃添加剂。,None
507,甲基丙烯腈[抑制了的],None,None,126-98-7,None,无色液体，有轻微杏仁气味。,None,-35.8,90.3,0.80(水=1),None,5.33/12.8℃(kPa),None,None,None,12.8,None,None,None,None,不溶于水，溶于苯、乙醇、乙醚。,用于合成橡胶、弹性塑料和涂料等。,None
508,"2-氯-1,3-丁二烯[抑制了的]",C4H5Cl,88.54,126-99-8,"2-氯-1,3-丁二烯",无色液体，有醚的气味,无资料,-130,59.4,0.96(水=1),3.0(空气=1),23.2(20℃)(kPa),None,4.26,2.53,-20(开杯),320,None,4,20,微溶于水，溶于乙醇、乙醚、丙酮、苯等多数有机溶剂,重要有机化工原料，用作有机合成中间体、氯丁橡胶的单体等,稳定
509,1-氯-2-丙醇,None,None,127-00-4,None,无色液体，略有气味。,None,None,127,1.11(水=1),3.26(空气=1),0.65(20℃)(kPa),None,None,None,51.7,None,None,None,None,溶于水。,用于有机合成。,None
510,四氯乙烯,C2Cl4,165.82,127-18-4,四氯乙烯,无色液体，有氯仿样气味,无资料,-22.3,121.2,1.63(水=1),5.83(空气=1),2.11(20℃)(kPa),347.1,9.74,2.6～3.4,无资料,无资料,-679.3,无资料,无资料,不溶于水，可混溶于乙醇、乙醚、氯仿等多数有机溶剂,用作溶剂,稳定
511,对氨基苯胂酸钠,C6H7AsNO3·Na,239.04,127-85-5,对氨基苯胂酸钠,白色结晶粉末,无意义,无资料,无资料,无资料(水=1),无资料(空气=1),None,None,无资料,-3.84,无意义,无意义,None,无意义,无意义,溶于水，微溶于乙醇，不溶于氯仿、乙醚,用于药物制造和有机合成,稳定
512,β-蒎烯,C10H16,136.24,127-91-3,β-蒎烯,无色液体，有松节油的气味,无资料,-61,164～166,0.87(水=1),无资料(空气=1),1.33(42.3℃)(kPa),None,2.76,4.35,32.78,255,None,0.8,6.6,不溶于水，溶于乙醇、乙醚、苯、氯仿等多数有机溶剂,用作制造香精、香料的中间体,稳定
513,丁基磷酸,None,None,12788-93-1,None,水白色液体。,None,None,None,1.120~1.125(水=1),None,None,None,None,None,110(℃),None,None,None,None,不溶于水，溶于醇。,用于塑料工业。,None
514,"2,4,6-三硝基苯甲酸[干的或含水<30%]",None,None,129-66-8,None,黄色针状结晶。,None,228.7,None,None,None,None,None,None,None,无意义,None,None,None,None,微溶于水，溶于甲醇、乙醇、乙醚，微溶于苯。,用于制造炸药。,None
515,"2,4,7-三硝基芴酮",C13H5N3O7,315.21,129-79-3,"2,4,7-三硝基芴酮",淡黄色针状结晶,无意义,175～176,无资料,无资料(水=1),无资料(空气=1),None,None,无资料,2.42,无意义,无资料,None,无资料,无资料,微溶于水，易溶于丙酮、苯、氯仿，溶于乙醇、乙醚,用于制造炸药，用作化学试剂,稳定
516,碳化铝,Al4C3,143.96,1299-86-1,碳化铝,黄色或绿灰色结晶块或粉末，有吸湿性,无意义,2100,2200(分解),2.36(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无资料,None,无资料,无资料,不溶于丙酮,用作甲烷发生剂、催化剂、干燥剂等，也用于冶金,稳定
517,五氧化二砷,As2O5,229.84,1303-28-2,五氧化二砷,白色无定形固体，易潮解,无意义,315(分解),无资料,4.32(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水，溶于乙醇、酸、碱,用于制药物、杀虫剂、金属粘接剂、有色玻璃等,稳定
518,砷酸锌,None,None,1303-39-5,None,白色单斜晶系无臭粉末。,None,None,(分解),3.309(15℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于酸、碱、氨水。,用作杀虫剂。,None
519,氧化钡,None,None,1304-28-5,None,白色固体。,None,1923,2000,5.72(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,微溶于冷水，溶于热水、酸、乙醇。,用作气体的干燥剂，制造过氧化钡和钡盐等。,None
520,过氧化钡,BaO2,169.34,1304-29-6,过氧化钡,白色或灰白色粉末,无意义,450,800(分解),4.96(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,微溶于水，不溶于乙醇、乙醚、丙酮,用于钡盐或过氧化氢的制备，用作氧化剂、漂白剂、媒染剂、消毒剂等,稳定
521,氧化铍,None,None,1304-56-9,None,白色无定形粉末。,None,2350 ±30,大约3900,3.025(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于酸、碱。,用于原子反应堆、陶瓷制品，也用作催化剂等。,None
522,过氧化钙,CaO2,72.08,1305-79-9,过氧化钙,白色结晶，无臭无味，有潮解性,无意义,200(分解),无资料,3.34(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,不溶于水，溶于乙醇、乙醚、酸类,用作种子消毒剂、高温氧化剂，用于药物制造、油脂漂白等,稳定
523,氧化镉,CdO,128.4,1306-19-0,氧化镉,棕红色至棕黑色无定形粉末或立方晶体。,None,<1426(无定形),1559,6.95(无定形物)(水=1),None,0.133(1000℃)(kPa),无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水、碱，溶于稀酸、氨水。,用于制镉盐、催化剂、陶瓷颜料、镉电镀液等。,None
524,硫化镉,CdS,144.46,1306-23-6,硫化镉,桔红色晶体或无定形物。,None,〉999,None,4.82(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,微溶于水，微溶于乙醇，溶于酸，易溶于氨水。,用于制焰火、玻璃釉、瓷釉、发光材料，并用作油漆、纸、橡胶和玻璃等的颜料(镉黄和镉红)。,None
525,硒化镉,CdSe,191.36,1306-24-7,硒化镉,灰棕色或红色结晶体,无意义,1350,无资料,5.81(15℃)(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,不溶于水,用于电子发射器和光谱分析、光导体、半导体、光敏元件等,稳定
526,过氧化铅,None,None,1309-60-0,None,棕褐色结晶或粉末。,None,None,None,9.38(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水、醇，溶于乙酸、氢氧化钠水溶液。,用作氧化剂、电极、蓄电池、分析试剂、火柴等。,None
527,五氯酚钠,None,None,131-52-2,None,"工业品呈淡黄色鳞片状晶体, 有臭味。",None,190-191,None,None,None,None,None,None,None,None,None,None,None,None,易溶于水，易溶于醇、丙酮，不溶于苯。,"可用作落叶树休眠期喷射剂, 以防治褐腐病, 也用作除草或杀虫剂, 并用于有机合成。",None
528,"2,4,6,2',4',6'-六硝基二苯胺",C12H5N7O12,439.24,131-73-7,"2,4,6,2',4',6'-六硝基二苯胺",黄色针状或菱形结晶，对光敏感,无意义,244,爆炸,1.64(水=1),无资料(空气=1),None,None,无资料,3.35,无意义,无资料,None,无资料,无资料,不溶于水、乙醇、乙醚，微溶于丙酮，溶于碱、热乙酸,用于制造弹药及用于钾盐的分析,稳定
529,"2,4,6-三硝基苯酚铵[干的或含水<10％]",C6H3N3O7·NH3,246.16,131-74-8,"2,4,6-三硝基苯酚铵",黄色或淡红色结晶，有吸湿性,无意义,280(分解),423(爆炸),1.72(水=1),无资料(空气=1),None,None,无资料,1.4,无意义,无资料,None,无资料,无资料,溶于水，不溶于乙醇，易溶于丙酮,用作炸药和药品，用于烟花,稳定
530,氢氧化钾,KOH,56.11,1310-58-3,氢氧化钾,纯品为白色半透明晶体，工业品为灰白、蓝绿或淡紫色片状或块状固体。易潮解,13.5(0.1mol/L水溶液),360～406,1320～1324,2.04(水=1),无资料(空气=1),0.13(719℃)(kPa),None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、乙醇，微溶于乙醚,可用作生产聚醚、破乳剂、净洗剂、表面活性剂等的催化剂，也用于医药、染料、轻工等工业,稳定
531,氢氧化钠,NaOH,40,1310-73-2,氢氧化钠,纯品为无色透明晶体。吸湿性强,12.7(19/6溶液),318.4,1390,2.13(水=1),无资料(空气=1),0.13(739℃)(kPa),None,25,-3.88,无意义,无意义,None,无意义,无意义,易溶于水、乙醇、甘油，不溶于丙酮、乙醚,广泛用作中和剂，用于制造各种钠盐、肥皂、纸浆，整理棉织品、丝、粘胶纤维，橡胶制品的再生，金属清洗，电镀，漂白等,稳定
532,氢氧化铷,None,None,1310-82-3,None,灰白色易潮解的块状物。,None,300,None,3.203(11℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水、乙醇。,用作分析试剂、低温蓄电池电解质。,None
533,硫化钾,K2S,110.26,1312-73-8,硫化钾,红色结晶，易潮解,无意义,912,无资料,174(水=1),无资料(空气=1),None,None,无意义,-4.23,无意义,无资料,None,无资料,无资料,溶于水、乙醇、甘油，不溶于乙醚,用作分析试剂、脱毛剂和用于医药工业,稳定
534,"叔-丁基过氧-3,5,5-三甲基己酸酯",C13H26O3,230.35,13122-18-4,"tert-Butyl peroxy-3,5,5-trimethylhexanoate",None,None,90,258,None,None,None,None,None,19.4,None,None,None,None,None,Insoluble,None,No data.
535,氧化钠,Na2O,62,1313-59-3,None,白色无定形片状或粉末。在暗红炽热时熔融，到400℃以上时分解成过氧化钠及金属钠。相对密度(水=1):2．27。遇水起剧烈反应，放出热，形成氢氧化钠。与乙醇起反应，可与酸类发生剧烈反应。与铵盐类反应放出氨气。遇潮时，对铝、锌、锡有腐蚀性。对人有强烈刺激性。对眼、皮、黏膜造成严重灼伤。在100℃以上时能与一氧化氮反应。也能与水剧烈反应形成氢氧化钠。,None,None,None,(水=1):2．27(水=1),None,None,None,None,None,None,None,None,None,None,None,化学反应的聚合及缩合剂，脱氧剂。,None
536,过氧化钠,Na2O2,77.98,1313-60-6,过氧化钠,米黄色粉末或颗粒，加热则变为黄色，有吸湿性,无意义,460(分解),657(分解),2.80(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水，溶于酸，不溶于碱,用于医药、印染、漂白及用作分析试剂等,稳定
537,硫化钠,Na2S,78.04,1313-82-2,硫化钠,无色或米黄色颗粒结晶，工业品为红褐色或砖红色块状,>7(1%溶液),1180,无资料,1.86(水=1),无资料(空气=1),None,None,无意义,-4.23,无意义,无资料,None,无资料,无资料,易溶于水，不溶于乙醚，微溶于乙醇,用于制造硫化染料，皮革脱毛剂，金属冶炼，照相，人造丝脱硝等,稳定
538,硝酸镍,Ni(NO3)2·6H2O,290.85,13138-45-9,硝酸镍,青绿色单斜结晶，易潮解,4.0(水溶液),56.7,136.7,2.05(水=1),10.0(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，溶于乙醇、氨水,用于镀镍及制造镍催化剂,稳定
539,氧化亚铊,None,None,1314-12-1,None,"黑色粉末。 具有潮解性, 暴露在空气中易氧化。",None,300,1865,9.52(16℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水，溶于酸、醇。,"用作分析试剂, 用于制造光学玻璃及玻璃装饰品。",None
540,过氧化锶,SrO2,119.62,1314-18-7,过氧化锶,白色粉末，无臭、无味,无意义,215(分解),无资料,4.56(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,不溶于水，微溶于冷水，溶于乙醇、氰化钾,用作漂白剂、分析试剂等，并用于有机合成,稳定
541,过氧化锌,ZnO2,97.37,1314-22-3,过氧化锌,白色粉末，无臭,无意义,182.2(分解),无资料,1.57(理论)(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,不溶于水，溶于稀酸,用于制造化妆品、药品、硫化促进剂、防腐剂、收敛剂等,稳定
542,三氧化(二)磷,None,None,1314-24-5,None,透明单斜晶体或无色液体。易潮解。,None,23.8,173.1,2.135(水=1),None,1.33(53.0℃)(kPa),None,None,None,无意义,无意义,无意义,无意义,无意义,溶于苯、乙醚、二硫化碳。,用于制亚磷酸及其盐。,None
543,氧化铊,None,None,1314-32-5,None,棕色至黑色六面晶系结晶或无定形粉末。,None,717 ±5,875(-O2),10.19(22℃ ，结晶)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水、碱液，溶于酸。,用作分析试剂，也用于制火柴。,None
544,三氧化(二)钒[非熔融的],None,None,1314-34-7,None,灰黑色结晶或粉末。,None,1970,3000,4.87(18℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于硝酸、氢氟酸、热水。,用作催化剂。,None
545,四氧化(三)铅,Pb3O4,685.57,1314-41-6,四氧化(三)铅,鲜橘红色粉末或块状固体,无意义,500～830(分解),1472,8.32～9.16(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,不溶于水、乙醇，溶于热碱液、稀硝酸、乙酸、盐酸,用作防锈颜料、有机合成的氧化剂，用于制蓄电池、玻璃、陶瓷、搪瓷,稳定
546,五氧化(二)磷,P2O5,141.94,1314-56-3,五氧化(二)磷,白色粉末，不纯品为黄色粉末，易吸潮,无意义,340～360,360(升华),2.39(水=1),4.9(空气=1),0.13(384℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,不溶于丙酮、氨水，溶于硫酸,用作干燥剂、脱水剂，用于制造高纯度磷酸、磷酸盐及农药等,稳定
547,五氧化二锑,Sb2O5,323.5,1314-60-9,五氧化二锑,白色或黄色粉末,无意义,380(分解),无资料,3.78(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,不溶于水，溶于热盐酸,用于制造锑酸盐、锑化合物及制药工业,稳定
548,五氧化二钒[非熔融的],None,None,1314-62-1,None,橙黄色或红棕色结晶粉末。,None,690,分解,3.35(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,微溶于水，不溶于乙醇，溶于浓酸、碱。,广泛用于有机合成工业及硫酸工业中，也用作玻璃搪瓷着色剂，磁性材料。,None
549,五硫化二磷,P2S5,222.24,1314-80-3,五硫化二磷,灰色到黄绿色结晶，有吸湿性，有类似硫化氢的气味,无意义,286～290,513～515,2.09(水=1),无资料(空气=1),0.13(300℃)(kPa),None,23.2,-0.46,无意义,141.6,None,0.5,无资料,溶于二硫化碳，溶于碱水溶液,制造润滑油添加剂的中间体，也用于制造杀虫剂和浮选剂,稳定
550,磷化锌,Zn3P2,None,1314-84-7,磷化锌,深灰色粉末,None,420°C,1100°C,4.55 g/cm3(水=1),None,None,None,None,None,None,None,None,None,None,和水 接 触 时 释 放 可 燃 气 体,None,None
551,三硫化(四)磷,P4S3,220.09,1314-85-8,None,"一般是黑色脆而硬的可燃结晶。纯品是灰黄色至淡黄色结晶粉末，无臭无味，能溶于二硫化碳，不溶于冷水，在空气中放置时变黏，并分解放出硫化氢。在空气中猛烈加热时即行燃烧。属一级易燃固体，极易燃烧，并会因碰撞、摩擦等而起火。本品毒性不大，但燃烧时要生成有强刺激性与毒性的二氧化硫等气体。相对密度
(水=1)：2.03(17℃)；熔点：174.5℃；沸点：407.5℃；自燃点：100℃。",None,174.5℃,407.5℃,(水=1)：2.03(17℃)(水=1),None,None,None,None,None,None,None,None,None,None,None,用于有机合成、制火柴、烟火及脱色剂等。,None
552,硒化锌,None,None,1315-09-9,None,黄色立方晶系结晶，见光迅速变成红色。,None,>1100,None,5.42(15℃ )(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水。,用作荧光粉、电子工业掺杂材料和高纯试剂。,None
553,一氧化铅,PbO,223.19,1317-36-8,一氧化铅,黄色或略带红色的黄色粉末或细小片状结晶，遇光易变色,无意义,888～890,1472(分解),9.53(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,不溶于水，不溶于乙醇，溶于硝酸、乙酸、热碱液,用作颜料、冶金助熔剂、油漆催干剂、橡胶硫化促进剂、杀虫剂等,稳定
554,三氧化二砷,As2O3,197.84,1327-53-3,三氧化二砷,无臭无味的白色粉末,无意义,275～313,460～465,3.7～4.2(水=1),无资料(空气=1),13.33(332.5℃)(kPa),None,4,-0.13,无意义,无意义,None,无意义,无意义,微溶于水，溶于酸、碱，不溶于乙醇,用于玻璃、搪瓷、颜料工业和制备药物、杀虫剂、皮革保存剂等,稳定
555,"过氧化二-(2,4-二氯苯甲酰)[含量≤77%,含水]",None,None,133-14-2,None,白色至浅黄色结晶粉末或片状带滑感的粉末。,None,None,None,1.18(水=1),None,None,None,None,None,无意义,None,None,None,None,不溶于水，微溶于乙醇，溶于丙酮，易溶于苯、氯仿。,用作硅橡胶硫化剂。,None
556,二甲苯,C8H10,106.17,1330-20-7,Xylene,Colorless liquid with a characteristic odor.,None,> -34,140,1.096 g/cm3(水=1),None,8(kPa),None,None,3.12-3.20,25,None,None,None,None,Insoluble,"Aviation gasoline; protective coatings; solvent for alkylated resins, lacquers, enamels, rubber cements; synthesis of organic chemicals.",Stable under normal temperatures and pressures.
