,CAS,储存注意事项
2797,115-26-4,应严格执行极毒物品“五双”管理制度
2798,115-29-7,储存于阴凉、通风的库房
2799,115-29-7,远离火种、热源
2800,115-29-7,防止阳光直射
2801,115-29-7,包装必须密封，切勿受潮
2802,115-29-7,应与氧化剂、酸类、碱类、食用化学品等分开存放，切忌混储
2803,115-29-7,配备相应品种和数量的消防器材
2804,115-29-7,储区应备有合适的材料收容泄漏物
2805,115-31-1,储存于阴凉、通风的库房
2806,115-31-1,远离火种、热源
2807,115-31-1,防止阳光直射
2808,115-31-1,保持容器密封
2809,115-31-1,应与氧化剂、碱类分开存放，切忌混储
2810,115-31-1,配备相应品种和数量的消防器材
2811,115-31-1,储区应备有泄漏应急处理设备和合适的收容材料
2812,115-80-0,储存于阴凉、通风的库房
2813,115-80-0,远离火种、热源
2814,115-80-0,库温不宜超过30℃
2815,115-80-0,应与氧化剂、酸类、碱类分开存放，切忌混储
2816,115-80-0,采用防爆型照明、通风设施
2817,115-80-0,禁止使用易产生火花的机械设备和工具
2818,115-80-0,储区应备有泄漏应急处理设备和合适的收容材料
2819,115-90-2,储存于阴凉、通风的库房
2820,115-90-2,远离火种、热源
2821,115-90-2,防止阳光直射
2822,115-90-2,保持容器密封
2823,115-90-2,应与氧化剂、食用化学品分开存放，切忌混储
2824,115-90-2,配备相应品种和数量的消防器材
2825,115-90-2,储区应备有泄漏应急处理设备和合适的收容材料
2826,115-90-2,应严格执行极毒物品“五双”管理制度
2827,116-06-3,储存于阴凉、通风的库房
2828,116-06-3,远离火种、热源
2829,116-06-3,防止阳光直射
2830,116-06-3,包装密封
2831,116-06-3,应与氧化剂、碱类、食用化学品分开存放，切忌混储
2832,116-06-3,配备相应品种和数量的消防器材
2833,116-06-3,储区应备有合适的材料收容泄漏物
2834,116-06-3,应严格执行极毒物品“五双”管理制度
2835,116-14-3,储存于阴凉、通风的易燃气体专用库房
2836,116-14-3,远离火种、热源
2837,116-14-3,库温不宜超过30℃
2838,116-14-3,应与易(可)燃物、氧化剂分开存放，切忌混储
2839,116-14-3,采用防爆型照明、通风设施
2840,116-14-3,禁止使用易产生火花的机械设备和工具
2841,116-14-3,储区应备有泄漏应急处理设备
2842,116-15-4,储存于阴凉、通风的不燃气体专用库房
2843,116-15-4,远离火种、热源
2844,116-15-4,库温不宜超过30℃
2845,116-15-4,应与易(可)燃物、氧化剂分开存放，切忌混储
2846,116-15-4,储区应备有泄漏应急处理设备
2847,116-16-5,储存于阴凉、通风的库房
2848,116-16-5,远离火种、热源
2849,116-16-5,防止阳光直射
2850,116-16-5,保持容器密封
2851,116-16-5,应与氧化剂、碱类分开存放，切忌混储
2852,116-16-5,配备相应品种和数量的消防器材
2853,116-16-5,储区应备有泄漏应急处理设备和合适的收容材料
2854,116-54-1,储存于阴凉、干燥、通风良好的库房
2855,116-54-1,远离火种、热源
2856,116-54-1,包装要求密封，不可与空气接触
2857,116-54-1,应与氧化剂、酸类、碱类、食用化学品分开存放，切忌混储
2858,116-54-1,不宜大量储存或久存
2859,116-54-1,配备相应品种和数量的消防器材
2860,116-54-1,储区应备有泄漏应急处理设备和合适的收容材料
2861,1165-48-6,储存于阴凉、干燥、通风专用库房
2862,1165-48-6,实行“双人收发、双人保管”制度
2863,1165-48-6,远离火种、热源
2864,1165-48-6,库温不宜超过30℃
2865,1165-48-6,应与氧化剂、食用化学品分开存放，切忌混储
2866,1165-48-6,采用防爆型照明、通风设施
2867,1165-48-6,禁止使用易产生火花的机械设备和工具
2868,1165-48-6,储区应备有泄漏应急处理设备
2869,117-08-8,"Keep in a cool, dry, dark location in a tightly sealed container or cylinder. Keep away from incompatible materials, ignition sources and untrained individuals. Secure and label area. Protect containers/cylinders from physical damage."
2870,117-80-6,储存于阴凉、通风的库房
2871,117-80-6,远离火种、热源
2872,117-80-6,防止阳光直射
2873,117-80-6,包装密封
2874,117-80-6,应与氧化剂、碱类、食用化学品分开存放，切忌混储
2875,117-80-6,配备相应品种和数量的消防器材
2876,117-80-6,储区应备有合适的材料收容泄漏物
2877,118-02-5,与4，6-二硝基-2-氨基苯酚(41521)同
2878,118-02-5,"{应储存于阴凉、干燥、通风良好的库房内，门窗开关灵活，便于启闭通风，有避光和防辐射措施；库内温度保持在30℃以下，相对湿度80％以下，库内照明和排风设备应使用防爆和封闭式电器，严禁用明火照明，可与其他硝基、二硝基等易燃固体化合物同库储存，不得与氧化剂、酸类、金属粉末、金属盐类等不同性质的
物品混存"
2879,118-02-5,}
2880,118-44-5,储存于阴凉、通风的库房
2881,118-44-5,远离火种、热源
2882,118-44-5,防止阳光直射
2883,118-44-5,保持容器密封
2884,118-44-5,应与氧化剂分开存放，切忌混储
2885,118-44-5,配备相应品种和数量的消防器材
2886,118-44-5,储区应备有泄漏应急处理设备和合适的收容材料
2887,118-69-4,储存于阴凉、通风的库房
2888,118-69-4,远离火种、热源
2889,118-69-4,保持容器密封
2890,118-69-4,应与氧化剂、碱类、食用化学品分开存放，切忌混储
2891,118-69-4,配备相应品种和数量的消防器材
2892,118-69-4,储区应备有泄漏应急处理设备和合适的收容材料
2893,118-74-1,储存于阴凉、通风的库房
2894,118-74-1,远离火种、热源
2895,118-74-1,包装密封
2896,118-74-1,应与氧化剂、食用化学品分开存放，切忌混储
2897,118-74-1,配备相应品种和数量的消防器材
2898,118-74-1,储区应备有合适的材料收容泄漏物
2899,118-96-7,储存于阴凉、干燥、通风的爆炸品专用库房
2900,118-96-7,远离火种、热源
2901,118-96-7,库温不超过32℃，相对湿度不超过80%
2902,118-96-7,若含有水作稳定剂，库温不低于1℃，相对湿度小于80%
2903,118-96-7,应与氧化剂、还原剂、酸类、碱类、食用化学品分开存放，切忌混储
2904,118-96-7,采用防爆型照明、通风设施
2905,118-96-7,禁止使用易产生火花的机械设备和工具
2906,118-96-7,储区应备有合适的材料收容泄漏物
2907,118-96-7,禁止震动、撞击和摩擦
2908,119-26-6,为安全起见，储存时常以不少于25%的水润湿、钝化
2909,119-26-6,储存于阴凉、通风的库房
2910,119-26-6,远离火种、热源
2911,119-26-6,库温不宜超过35℃
2912,119-26-6,包装密封
2913,119-26-6,应与氧化剂分开存放，切忌混储
2914,119-26-6,采用防爆型照明、通风设施
2915,119-26-6,禁止使用易产生火花的机械设备和工具
2916,119-26-6,储区应备有合适的材料收容泄漏物
2917,119-27-7,储存于阴凉、通风的库房
2918,119-27-7,远离火种、热源
2919,119-27-7,库温不宜超过35℃
2920,119-27-7,包装密封
2921,119-27-7,应与氧化剂、碱类分开存放，切忌混储
2922,119-27-7,采用防爆型照明、通风设施
2923,119-27-7,禁止使用易产生火花的机械设备和工具
2924,119-27-7,储区应备有合适的材料收容泄漏物
2925,119-32-4,储存于阴凉、通风的库房
2926,119-32-4,远离火种、热源
2927,119-32-4,防止阳光直射
2928,119-32-4,包装密封
2929,119-32-4,应与氧化剂、酸类、酸酐、酰基氯分开存放，切忌混储
2930,119-32-4,配备相应品种和数量的消防器材
2931,119-32-4,储区应备有合适的材料收容泄漏物
2932,119-33-5,储存于阴凉、通风的库房
2933,119-33-5,远离火种、热源
2934,119-33-5,应与氧化剂、碱类等分开存放，切忌混储
2935,119-33-5,配备相应品种和数量的消防器材
2936,119-33-5,储区应备有合适的材料收容泄漏物
2937,119-90-4,储存于阴凉、通风的库房
2938,119-90-4,远离火种、热源
2939,119-90-4,包装密封
2940,119-90-4,应与氧化剂、酸类、食用化学品分开存放，切忌混储
2941,119-90-4,配备相应品种和数量的消防器材
2942,119-90-4,储区应备有合适的材料收容泄漏物
2943,119-93-7,储存于阴凉、通风的库房
2944,119-93-7,远离火种、热源
2945,119-93-7,包装密封
2946,119-93-7,应与氧化剂、酸类、食用化学品分开存放，切忌混储
2947,119-93-7,配备相应品种和数量的消防器材
2948,119-93-7,储区应备有合适的材料收容泄漏物
2949,120-12-7,储存于阴凉、通风的库房
2950,120-12-7,远离火种、热源
2951,120-12-7,库温不超过30℃，相对湿度不超过80%
2952,120-12-7,包装密封
2953,120-12-7,应与氧化剂分开存放，切忌混储
2954,120-12-7,配备相应品种和数量的消防器材
2955,120-12-7,储区应备有合适的材料收容泄漏物
2956,120-22-9,储存时用水作稳定剂
2957,120-22-9,储存于阴凉、通风的库房
2958,120-22-9,远离火种、热源
2959,120-22-9,防止阳光直射
2960,120-22-9,保持容器密封，严禁与空气接触
2961,120-22-9,应与氧化剂、乙酸、食用化学品分开存放，切忌混储
2962,120-22-9,采用防爆型照明、通风设施
2963,120-22-9,禁止使用易产生火花的机械设备和工具
2964,120-22-9,储区应备有合适的材料收容泄漏物
2965,120-36-5,储存于阴凉、通风的库房
2966,120-36-5,远离火种、热源
2967,120-36-5,防止阳光直射
2968,120-36-5,包装密封
2969,120-36-5,应与氧化剂分开存放，切忌混储
2970,120-36-5,配备相应品种和数量的消防器材
2971,120-36-5,储区应备有合适的材料收容泄漏物
2972,120-71-8,储存于阴凉、通风仓间内；远离火种、热源；专人保管；保持容器密封；防潮、防晒;应与氧化剂、食用化工原料分开存放；操作现场不得吸烟、饮水、进食；搬运时要轻装、轻卸，防止包装及容器损坏；分装和搬运作业要注意个人防护
2973,120-80-9,储存于阴凉、通风的库房
2974,120-80-9,远离火种、热源
2975,120-80-9,包装要求密封，不可与空气接触
2976,120-80-9,应与氧化剂、酸类、碱类、食用化学品分开存放，切忌混储
2977,120-80-9,配备相应品种和数量的消防器材
2978,120-80-9,储区应备有合适的材料收容泄漏物
2979,120-82-1,储存于阴凉、通风的库房
2980,120-82-1,远离火种、热源
2981,120-82-1,保持容器密封
2982,120-82-1,应与氧化剂、食用化学品分开存放，切忌混储
2983,120-82-1,配备相应品种和数量的消防器材
2984,120-82-1,储区应备有泄漏应急处理设备和合适的收容材料
2985,120-83-2,储存于阴凉、通风的库房
2986,120-83-2,远离火种、热源
2987,120-83-2,应与氧化剂等分开存放，切忌混储
2988,120-83-2,配备相应品种和数量的消防器材
2989,120-83-2,储区应备有合适的材料收容泄漏物
2990,120-92-3,储存于阴凉、通风的库房
2991,120-92-3,远离火种、热源
2992,120-92-3,库温不宜超过37℃
2993,120-92-3,保持容器密封
2994,120-92-3,应与氧化剂、还原剂等分开存放，切忌混储
2995,120-92-3,采用防爆型照明、通风设施
2996,120-92-3,禁止使用易产生火花的机械设备和工具
2997,120-92-3,储区应备有泄漏应急处理设备和合适的收容材料
2998,12001-85-3,储存于阴凉、通风的库房
2999,12001-85-3,远离火种、热源
3000,12001-85-3,防止阳光直射
3001,12001-85-3,保持容器密封
3002,12001-85-3,应与氧化剂分开存放，切忌混储
3003,12001-85-3,配备相应品种和数量的消防器材
3004,12001-85-3,配备相应品种和数量的消防器材
3005,12002-03-8,储存于阴凉、干燥、通风良好的库房
3006,12002-03-8,远离火种、热源
3007,12002-03-8,防止阳光直射
3008,12002-03-8,包装密封
3009,12002-03-8,应与酸类、二氧化碳、食用化学品等分开存放，切忌混储
3010,12002-03-8,配备相应品种和数量的消防器材
3011,12002-03-8,储区应备有合适的材料收容泄漏物
3012,12013-55-7,储存于阴凉、干燥、通风良好的库房
3013,12013-55-7,远离火种、热源
3014,12013-55-7,防止阳光直射
3015,12013-55-7,包装必须密封，切勿受潮
3016,12013-55-7,应与酸类、氟等分开存放，切忌混储
3017,12013-55-7,配备相应品种和数量的消防器材
3018,12013-55-7,储区应备有合适的材料收容泄漏物
3019,12031-80-0,储存于阴凉、干燥、通风良好的库房
3020,12031-80-0,远离火种、热源
3021,12031-80-0,防止阳光直射
3022,12031-80-0,相对湿度保持在75％以下
3023,12031-80-0,包装密封
3024,12031-80-0,应与还原剂、酸类、活性金属粉末、易（可）燃物、食用化学品等分开存放，切忌混储
3025,12031-80-0,储区应备有合适的材料收容泄漏物
3026,12037-82-0,储存于阴凉、干燥、通风良好的库房
3027,12037-82-0,远离火种、热源
3028,12037-82-0,保持容器密封
3029,12037-82-0,应与氧化剂分开存放，切忌混储
3030,12037-82-0,采用防爆型照明、通风设施
3031,12037-82-0,禁止使用易产生火花的机械设备和工具
3032,12037-82-0,储区应备有合适的材料收容泄漏物
3033,12057-74-8,储存于阴凉、干燥、通风良好的库房
3034,12057-74-8,远离火种、热源
3035,12057-74-8,防止阳光直射
3036,12057-74-8,包装必须密封，切勿受潮
3037,12057-74-8,应与氧化剂、酸类、食用化学品等分开存放，切忌混储
3038,12057-74-8,配备相应品种和数量的消防器材
3039,12057-74-8,储区应备有合适的材料收容泄漏物
3040,12057-74-8,应严格执行极毒物品“五双”管理制度
3041,12058-85-4,储存于阴凉、干燥、通风良好的库房
3042,12058-85-4,远离火种、热源
3043,12058-85-4,防止阳光直射
3044,12058-85-4,相对湿度保持在75％以下
3045,12058-85-4,包装必须密封，切勿受潮
3046,12058-85-4,应与氧化剂、食用化学品等分开存放，切忌混储
3047,12058-85-4,配备相应品种和数量的消防器材
3048,12058-85-4,储区应备有合适的材料收容泄漏物
3049,12058-85-4,应严格执行极毒物品“五双”管理制度
3050,121-14-2,储存于阴凉、通风的库房
3051,121-14-2,远离火种、热源
3052,121-14-2,库温不超过35℃，相对湿度不超过80%
3053,121-14-2,包装密封
3054,121-14-2,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
3055,121-14-2,采用防爆型照明、通风设施
3056,121-14-2,禁止使用易产生火花的机械设备和工具
3057,121-14-2,储区应备有合适的材料收容泄漏物
3058,121-19-7,"Store in a cool, dry place. Store in a tightly closed container."
3059,121-43-7,储存于阴凉、干燥、通风良好的库房
3060,121-43-7,远离火种、热源
3061,121-43-7,库温不宜超过30℃
3062,121-43-7,保持容器密封
3063,121-43-7,应与氧化剂、酸类等分开存放，切忌混储
3064,121-43-7,采用防爆型照明、通风设施
3065,121-43-7,禁止使用易产生火花的机械设备和工具
3066,121-43-7,储区应备有泄漏应急处理设备和合适的收容材料
3067,121-44-8,储存于阴凉、通风的库房
3068,121-44-8,远离火种、热源
3069,121-44-8,库温不宜超过37℃
3070,121-44-8,包装要求密封，不可与空气接触
3071,121-44-8,应与氧化剂、酸类分开存放，切忌混储
3072,121-44-8,采用防爆型照明、通风设施
3073,121-44-8,禁止使用易产生火花的机械设备和工具
3074,121-44-8,储区应备有泄漏应急处理设备和合适的收容材料
3075,121-45-9,储存于阴凉、干燥、通风良好的库房
3076,121-45-9,远离火种、热源
3077,121-45-9,库温不宜超过30℃
3078,121-45-9,保持容器密封
3079,121-45-9,应与氧化剂、碱类、食用化学品分开存放，切忌混储
3080,121-45-9,采用防爆型照明、通风设施
3081,121-45-9,禁止使用易产生火花的机械设备和工具
3082,121-45-9,储区应备有泄漏应急处理设备和合适的收容材料
3083,121-46-0,储存于阴凉、通风的库房
3084,121-46-0,远离火种、热源
3085,121-46-0,库温不宜超过30℃
3086,121-46-0,应与氧化剂、酸类、食用化学品分开存放，切忌混储
3087,121-46-0,采用防爆型照明、通风设施
3088,121-46-0,禁止使用易产生火花的机械设备和工具
3089,121-46-0,储区应备有泄漏应急处理设备和合适的收容材料
3090,121-51-7,储存于阴凉、通风的库房
3091,121-51-7,远离火种、热源
3092,121-51-7,防止阳光直射
3093,121-51-7,包装密封
3094,121-51-7,应与氧化剂、碱类、氰化物分开存放，切忌混储
3095,121-51-7,配备相应品种和数量的消防器材
3096,121-51-7,储区应备有合适的材料收容泄漏物
3097,121-57-3,储存于阴凉、通风的库房
3098,121-57-3,远离火种、热源
3099,121-57-3,应与氧化剂、酸类、碱类分开存放，切忌混储
3100,121-57-3,储区应备有合适的材料收容泄漏物
3101,121-69-7,储存于阴凉、通风的库房
3102,121-69-7,远离火种、热源
3103,121-69-7,保持容器密封
3104,121-69-7,应与酸类、卤素、食用化学品分开存放，切忌混储
3105,121-69-7,配备相应品种和数量的消防器材
3106,121-69-7,储区应备有泄漏应急处理设备和合适的收容材料
3107,121-73-3,储存于阴凉、通风的库房
3108,121-73-3,远离火种、热源
3109,121-73-3,包装密封
3110,121-73-3,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
3111,121-73-3,配备相应品种和数量的消防器材
3112,121-73-3,储区应备有合适的材料收容泄漏物
3113,121-75-5,储存于阴凉、通风良好的专用库房内，实行“双人收发、双人保管”制度
3114,121-75-5,远离火种、热源
3115,121-75-5,保持容器密封
3116,121-75-5,应与氧化剂、碱类分开存放，切忌混储
3117,121-75-5,配备相应品种和数量的消防器材
3118,121-75-5,储区应备有泄漏应急处理设备和合适的收容材料
3119,121-82-4,储存在专用的爆炸品库房，远离火源、热源，与各种起爆器材黑火药及各种危险化学品隔离存放
3120,121-87-9,储存于阴凉、通风的库房
3121,121-87-9,远离火种、热源
3122,121-87-9,保持容器密封
3123,121-87-9,应与氧化剂、碱类分开存放，切忌混储
3124,121-87-9,配备相应品种和数量的消防器材
3125,121-87-9,储区应备有合适的材料收容泄漏物
3126,121-88-0,储存于阴凉、通风的库房
3127,121-88-0,远离火种、热源
3128,121-88-0,防止阳光直射
3129,121-88-0,包装密封
3130,121-88-0,应与氧化剂、碱类分开存放，切忌混储
3131,121-88-0,配备相应品种和数量的消防器材
3132,121-88-0,储区应备有合适的材料收容泄漏物
3133,121-90-4,储存于阴凉、干燥、通风良好的库房
3134,121-90-4,远离火种、热源
3135,121-90-4,防止阳光直射
3136,121-90-4,保持容器密封
3137,121-90-4,应与氧化剂、碱类、醇类等分开存放，切忌混储
3138,121-90-4,配备相应品种和数量的消防器材
3139,121-90-4,储区应备有泄漏应急处理设备和合适的收容材料
3140,12125-01-8,储存于阴凉、通风的库房
3141,12125-01-8,远离火种、热源
3142,12125-01-8,防止阳光直射
3143,12125-01-8,包装密封
3144,12125-01-8,应与酸类、碱类、食用化学品分开存放，切忌混储
3145,12125-01-8,储区应备有合适的材料收容泄漏物
3146,12125-08-5,储存于阴凉、通风的库房
3147,12125-08-5,远离火种、热源
3148,12125-08-5,应与酸类、碱类、食用化学品分开存放，切忌混储
3149,12125-08-5,储区应备有合适的材料收容泄漏物
3150,12125-08-5,应严格执行极毒物品“五双”管理制度
3151,12136-45-7,储存于阴凉、干燥、通风良好的专用库房内，库温不超过32℃，相对湿度不超过75%
3152,12136-45-7,远离火种、热源
3153,12136-45-7,包装要求密封，不可与空气接触
3154,12136-45-7,应与氧化剂、酸类、醇类等分开存放，切忌混储
3155,12136-45-7,采用防爆型照明、通风设施
3156,12136-45-7,禁止使用易产生火花的机械设备和工具
3157,12136-45-7,储区应备有合适的材料收容泄漏物
3158,12165-69-4,储存于阴凉、干燥、通风良好的库房
3159,12165-69-4,远离火种、热源
3160,12165-69-4,保持容器密封
3161,12165-69-4,应与氧化剂分开存放，切忌混储
3162,12165-69-4,采用防爆型照明、通风设施
3163,12165-69-4,禁止使用易产生火花的机械设备和工具
3164,12165-69-4,储区应备有合适的材料收容泄漏物
3165,12185-10-3,应保存在水中，且必须浸没在水下，隔绝空气
3166,12185-10-3,储存于阴凉、通风良好的专用库房内，实行“双人收发、双人保管”制度
3167,12185-10-3,库温应保持在1℃以上
3168,12185-10-3,远离火种、热源
3169,12185-10-3,应与氧化剂、酸类、卤素、食用化学品分开存放，切忌混储
3170,12185-10-3,采用防爆型照明、通风设施
3171,12185-10-3,禁止使用易产生火花的机械设备和工具
3172,12185-10-3,储区应备有合适的材料收容泄漏物
3173,122-01-0,储存于阴凉、干燥、通风良好的库房
3174,122-01-0,远离火种、热源
3175,122-01-0,防止阳光直射
3176,122-01-0,包装必须密封，切勿受潮
3177,122-01-0,应与碱类、氧化剂、醇类、食用化学品等分开存放，切忌混储
3178,122-01-0,配备相应品种和数量的消防器材
3179,122-01-0,储区应备有泄漏应急处理设备和合适的收容材料
3180,122-04-3,储存于阴凉、干燥、通风良好的库房
3181,122-04-3,远离火种、热源
3182,122-04-3,保持容器密封
3183,122-04-3,应与氧化剂、碱类、醇类等分开存放，切忌混储
3184,122-04-3,配备相应品种和数量的消防器材
3185,122-04-3,储区应备有合适的材料收容泄漏物
3186,122-39-4,储存于阴凉、通风的库房
3187,122-39-4,远离火种、热源
3188,122-39-4,应与氧化剂、酸类分开存放，切忌混储
3189,122-39-4,配备相应品种和数量的消防器材
3190,122-39-4,储区应备有合适的材料收容泄漏物
3191,122-51-0,储存于阴凉、通风的库房
3192,122-51-0,远离火种、热源
3193,122-51-0,库温不宜超过37℃
3194,122-51-0,保持容器密封
3195,122-51-0,应与氧化剂、酸类等分开存放，切忌混储
3196,122-51-0,采用防爆型照明、通风设施
3197,122-51-0,禁止使用易产生火花的机械设备和工具
3198,122-51-0,储区应备有泄漏应急处理设备和合适的收容材料
3199,122-52-1,储存于阴凉、干燥、通风良好的库房
3200,122-52-1,远离火种、热源
3201,122-52-1,包装必须密封，切勿受潮
3202,122-52-1,应与氧化剂、碱类等分开存放，切忌混储
3203,122-52-1,采用防爆型照明、通风设施
3204,122-52-1,禁止使用易产生火花的机械设备和工具
3205,122-52-1,储区应备有泄漏应急处理设备和合适的收容材料
3206,122-56-5,应储存于阴凉、干燥、通风良好的库房，可与其他同类烃基金属化合物同库储存，库温在30℃(以下，相对湿度在75％以下，与酸、碱、氧化剂、易燃品、遇水燃烧品、爆炸品等不同性质的物品分库分类分别储存
3207,122-60-1,储存于阴凉、通风的库房
3208,122-60-1,远离火种、热源
3209,122-60-1,应与氧化剂、酸类分开存放，切忌混储
3210,122-60-1,配备相应品种和数量的消防器材
3211,122-60-1,储区应备有泄漏应急处理设备和合适的收容材料
3212,122-66-7,储存于阴凉、通风的库房
3213,122-66-7,远离火种、热源
3214,122-66-7,包装密封
3215,122-66-7,应与氧化剂、酸类、食用化学品分开存放，切忌混储
3216,122-66-7,配备相应品种和数量的消防器材
3217,122-66-7,储区应备有合适的材料收容泄漏物
3218,122-80-5,储存于阴凉、通风仓间内；远离火种、热源；专人保管；保持容器密封；防止阳光暴晒；应与氧化剂、食用化工原料分开存放；操作现场不得吸烟、饮水、进食；搬运时要轻装、轻卸，防止包装及容器损坏；分装和搬运作业要注意个人防护
3219,12263-85-3,储存于阴凉、干燥、通风良好的库房
3220,12263-85-3,远离火种、热源
3221,12263-85-3,防止阳光直射
3222,12263-85-3,保持容器密封，严禁与空气接触
3223,12263-85-3,应与氧化剂、酸类、胺类、卤代烃、食用化学品等分开存放，切忌混储
3224,12263-85-3,采用防爆型照明、通风设施
3225,12263-85-3,禁止使用易产生火花的机械设备和工具
3226,12263-85-3,储区应备有泄漏应急处理设备和合适的收容材料
3227,123-05-7,储存于阴凉、通风的库房
3228,123-05-7,远离火种、热源
3229,123-05-7,库温不宜超过30℃
3230,123-05-7,应与氧化剂、碱类分开存放，切忌混储
3231,123-05-7,采用防爆型照明、通风设施
3232,123-05-7,禁止使用易产生火花的机械设备和工具
3233,123-05-7,储区应备有泄漏应急处理设备和合适的收容材料
3234,123-15-9,储存于阴凉、通风的库房
3235,123-15-9,远离火种、热源
3236,123-15-9,防止阳光直射
3237,123-15-9,库温不宜超过25℃
3238,123-15-9,保持容器密封，严禁与空气接触
3239,123-15-9,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
3240,123-15-9,采用防爆型照明、通风设施
3241,123-15-9,禁止使用易产生火花的机械设备和工具
3242,123-15-9,储区应备有泄漏应急处理设备和合适的收容材料
3243,123-19-3,储存于阴凉、通风的库房
3244,123-19-3,远离火种、热源
3245,123-19-3,应与氧化剂、还原剂、碱类分开存放，切忌混储
3246,123-19-3,采用防爆型照明、通风设施
3247,123-19-3,禁止使用易产生火花的机械设备和工具
3248,123-19-3,储区应备有泄漏应急处理设备和合适的收容材料
3249,123-20-6,储存于阴凉、通风的库房
3250,123-20-6,远离火种、热源
3251,123-20-6,避光保存
3252,123-20-6,库温不宜超过30℃
3253,123-20-6,保持容器密封
3254,123-20-6,应与氧化剂、酸类、碱类、卤素等分开存放，切忌混储
3255,123-20-6,不宜大量储存或久存
3256,123-20-6,采用防爆型照明、通风设施
3257,123-20-6,禁止使用易产生火花的机械设备和工具
3258,123-20-6,储区应备有泄漏应急处理设备和合适的收容材料
3259,123-23-9,储存于阴凉、通风的库房
3260,123-23-9,远离火种、热源
3261,123-23-9,避免光照
3262,123-23-9,库温不宜超过10℃
3263,123-23-9,包装密封
3264,123-23-9,应与易(可)燃物、氧化剂、还原剂分开存放，切忌混储
3265,123-23-9,采用防爆型照明、通风设施
3266,123-23-9,禁止使用易产生火花的机械设备和工具
3267,123-23-9,储区应备有合适的材料收容泄漏物
3268,123-23-9,禁止震动、撞击和摩擦
3269,123-30-8,储存于阴凉、通风的库房
3270,123-30-8,远离火种、热源
3271,123-30-8,包装密封
3272,123-30-8,应与氧化剂、酸类、食用化学品分开存放，切忌混储
3273,123-30-8,配备相应品种和数量的消防器材
3274,123-30-8,储区应备有合适的材料收容泄漏物
3275,123-31-9,储存于阴凉、通风的库房
3276,123-31-9,远离火种、热源
3277,123-31-9,包装要求密封，不可与空气接触
3278,123-31-9,应与氧化剂、酸类、碱类、食用化学品分开存放，切忌混储
3279,123-31-9,配备相应品种和数量的消防器材
3280,123-31-9,储区应备有合适的材料收容泄漏物
3281,123-38-6,储存于阴凉、通风的库房
3282,123-38-6,远离火种、热源
3283,123-38-6,库温不宜超过37℃
3284,123-38-6,包装要求密封，不可与空气接触
3285,123-38-6,应与氧化剂、还原剂、碱类等分开存放，切忌混储
3286,123-38-6,采用防爆型照明、通风设施
3287,123-38-6,禁止使用易产生火花的机械设备和工具
3288,123-38-6,储区应备有泄漏应急处理设备和合适的收容材料
3289,123-42-2,储存于阴凉、通风的库房
3290,123-42-2,远离火种、热源
3291,123-42-2,库温不宜超过30℃
3292,123-42-2,应与氧化剂、还原剂、碱类分开存放，切忌混储
3293,123-42-2,采用防爆型照明、通风设施
3294,123-42-2,禁止使用易产生火花的机械设备和工具
3295,123-42-2,储区应备有泄漏应急处理设备和合适的收容材料
3296,123-51-3,储存于阴凉、通风的库房
3297,123-51-3,远离火种、热源
3298,123-51-3,库温不宜超过37℃
3299,123-51-3,保持容器密封
3300,123-51-3,应与氧化剂、酸类等分开存放，切忌混储
3301,123-51-3,采用防爆型照明、通风设施
3302,123-51-3,禁止使用易产生火花的机械设备和工具
3303,123-51-3,储区应备有泄漏应急处理设备和合适的收容材料
3304,123-54-6,储存于阴凉、通风的库房
3305,123-54-6,远离火种、热源
3306,123-54-6,应与氧化剂、还原剂、碱类、卤素、食用化学品分开存放，切忌混储
3307,123-54-6,采用防爆型照明、通风设施
3308,123-54-6,禁止使用易产生火花的机械设备和工具
3309,123-54-6,储区应备有泄漏应急处理设备和合适的收容材料
3310,123-62-6,储存于阴凉、干燥、通风良好的库房
3311,123-62-6,远离火种、热源
3312,123-62-6,库温不超过32℃，相对湿度不超过80%
3313,123-62-6,保持容器密封
3314,123-62-6,应与氧化剂、碱类等分开存放，切忌混储
3315,123-62-6,配备相应品种和数量的消防器材
3316,123-62-6,储区应备有泄漏应急处理设备和合适的收容材料
3317,123-63-7,储存于阴凉、通风的库房
3318,123-63-7,远离火种、热源
3319,123-63-7,库温不宜超过37℃，保持容器密封
3320,123-63-7,应与氧化剂、酸类、碱类等分开存放，切忌混储
3321,123-63-7,不宜大量储存或久存
3322,123-63-7,采用防爆型照明、通风设施
3323,123-63-7,禁止使用易产生火花的机械设备和工具
3324,123-63-7,储区应备有泄漏应急处理设备和合适的收容材料
3325,123-66-0,储存于阴凉、通风的库房
3326,123-66-0,库温不宜超过37℃
3327,123-66-0,远离火种、热源
3328,123-66-0,保持容器密封
3329,123-66-0,应与氧化剂、还原剂、酸类、碱类分开存放，切忌混储
3330,123-66-0,采用防爆型照明、通风设施
3331,123-66-0,禁止使用易产生火花的机械设备和工具
3332,123-66-0,储区应备有泄漏应急处理设备和合适的收容材料
3333,123-72-8,储存于阴凉、通风的库房
3334,123-72-8,远离火种、热源
3335,123-72-8,库温不宜超过37℃
