,CAS,眼睛接触
937,123-77-3,就医
938,123-86-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
939,123-86-4,如有不适感，就医
940,123-88-6,提起眼睑，用流动清水或生理盐水冲洗
941,123-88-6,就医
942,123-91-1,提起眼睑，用流动清水或生理盐水冲洗
943,123-91-1,如有不适感，就医
944,123-92-2,提起眼睑，用流动清水或生理盐水冲洗
945,123-92-2,如有不适感，就医
946,124-02-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
947,124-02-7,就医
948,124-09-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
949,124-09-4,如有不适感，就医
950,124-11-8,提起眼睑，用流动清水或生理盐水冲洗
951,124-11-8,如有不适感，就医
952,124-12-9,提起眼睑，用流动清水或生理盐水冲洗
953,124-12-9,就医
954,124-18-5,提起眼睑，用流动清水或生理盐水冲洗
955,124-18-5,如有不适感，就医
956,124-38-9,不会通过该途径接触
957,124-40-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
958,124-40-3,如有不适感，就医
959,124-41-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
960,124-41-4,就医
961,124-43-6,提起眼睑，用流动清水或生理盐水冲洗
962,124-43-6,就医
963,124-47-0,提起眼睑，用流动清水或生理盐水冲洗
964,124-47-0,如有不适感，就医
965,124-63-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
966,124-63-0,如有不适感，就医
967,124-65-2,提起眼睑，用流动清水或生理盐水冲洗
968,124-65-2,就医
969,124-87-8,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
970,124-87-8,就医
971,12427-38-2,提起眼睑，用流动清水或生理盐水冲洗
972,12427-38-2,就医
973,12504-13-1,提起眼睑，用流动清水或生理盐水冲洗
974,12504-13-1,就医
975,12542-85-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
976,12542-85-7,就医
977,126-72-7,提起眼睑，用流动清水或生理盐水冲洗
978,126-72-7,就医
979,126-98-7,提起眼睑，用流动清水或生理盐水冲洗
980,126-98-7,就医
981,126-99-8,提起眼睑，用流动清水或生理盐水冲洗
982,126-99-8,如有不适感，就医
983,127-00-4,提起眼睑，用流动清水或生理盐水冲洗
984,127-00-4,就医
985,127-18-4,提起眼睑，用流动清水或生理盐水冲洗
986,127-18-4,如有不适感，就医
987,127-85-5,提起眼睑，用流动清水或生理盐水冲洗
988,127-85-5,如有不适感，就医
989,127-91-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
990,127-91-3,如有不适感，就医
991,12788-93-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
992,12788-93-1,就医
993,129-66-8,提起眼睑，用流动清水或生理盐水冲洗
994,129-66-8,就医
995,129-79-3,提起眼睑，用流动清水或生理盐水冲洗
996,129-79-3,如有不适感，就医
997,1299-86-1,提起眼睑，用流动清水或生理盐水冲洗
998,1299-86-1,如有不适感，就医
999,1303-28-2,提起眼睑，用流动清水或生理盐水冲洗
1000,1303-28-2,如有不适感，就医
1001,1303-39-5,提起眼睑，用流动清水或生理盐水冲洗
1002,1303-39-5,就医
1003,1304-28-5,提起眼睑，用流动清水或生理盐水冲洗
1004,1304-28-5,就医
1005,1304-29-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1006,1304-29-6,如有不适感，就医
1007,1304-56-9,提起眼睑，用流动清水或生理盐水冲洗
1008,1304-56-9,就医
1009,1305-79-9,提起眼睑，用流动清水或生理盐水冲洗
1010,1305-79-9,如有不适感，就医
1011,1306-19-0,提起眼睑，用流动清水或生理盐水冲洗
1012,1306-19-0,就医
1013,1306-23-6,提起眼睑，用流动清水或生理盐水冲洗
1014,1306-23-6,就医
1015,1306-24-7,提起眼睑，用流动清水或生理盐水冲洗
1016,1306-24-7,如有不适感，就医
1017,1309-60-0,提起眼睑，用流动清水或生理盐水冲洗
1018,1309-60-0,就医
1019,131-52-2,提起眼睑，用流动清水或生理盐水冲洗
1020,131-52-2,就医
1021,131-73-7,提起眼睑，用流动清水或生理盐水冲洗
1022,131-73-7,如有不适感，就医
1023,131-74-8,提起眼睑，用流动清水或生理盐水冲洗
1024,131-74-8,如有不适感，就医
1025,1310-58-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1026,1310-58-3,如有不适感，就医
1027,1310-73-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1028,1310-73-2,如有不适感，就医
1029,1310-82-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1030,1310-82-3,就医
1031,1312-73-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1032,1312-73-8,如有不适感，就医
1033,13122-18-4,Immediately flush eyes with running water for at least 20 minutes.
1034,1313-60-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1035,1313-60-6,如有不适感，就医
1036,1313-82-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1037,1313-82-2,如有不适感，就医
1038,13138-45-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1039,13138-45-9,如有不适感，就医
1040,1314-12-1,提起眼睑，用流动清水或生理盐水冲洗
1041,1314-12-1,就医
1042,1314-18-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1043,1314-18-7,如有不适感，就医
1044,1314-22-3,提起眼睑，用流动清水或生理盐水冲洗
1045,1314-22-3,如有不适感，就医
1046,1314-24-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1047,1314-24-5,就医
1048,1314-32-5,提起眼睑，用流动清水或生理盐水冲洗
1049,1314-32-5,就医
1050,1314-34-7,提起眼睑，用流动清水或生理盐水冲洗
1051,1314-34-7,就医
1052,1314-41-6,提起眼睑，用流动清水或生理盐水冲洗
1053,1314-41-6,如有不适感，就医
1054,1314-56-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1055,1314-56-3,如有不适感，就医
1056,1314-60-9,提起眼睑，用流动清水或生理盐水冲洗
1057,1314-60-9,如有不适感，就医
1058,1314-62-1,提起眼睑，用流动清水或生理盐水冲洗
1059,1314-62-1,就医
1060,1314-80-3,提起眼睑，用流动清水或生理盐水冲洗
1061,1314-80-3,如有不适感，就医
1062,1314-84-7,张开 眼 睛 在 流 水 下 冲 洗 数 分 钟. 然后 谘 询 医 生.
1063,1315-09-9,提起眼睑，用流动清水或生理盐水冲洗
1064,1315-09-9,就医
1065,1317-36-8,提起眼睑，用流动清水或生理盐水冲洗
1066,1317-36-8,如有不适感，就医
1067,1327-53-3,提起眼睑，用流动清水或生理盐水冲洗
1068,1327-53-3,如有不适感，就医
1069,133-14-2,提起眼睑，用流动清水或生理盐水冲洗
1070,133-14-2,就医
1071,1330-20-7,"First check the victim for contact lenses and remove if present. Flush victim's eyes with water or normal saline solution for 20 to 30 minutes while simultaneously calling a hospital or poison control center. Do not put any ointments, oils, or medication in the victim's eyes without specific instructions from a physician. IMMEDIATELY transport the victim after flushing eyes to a hospital even if no symptoms (such as redness or irritation) develop."
1072,1330-78-5,提起眼睑，用流动清水或生理盐水冲洗
1073,1330-78-5,如有不适感，就医
1074,13327-32-7,提起眼睑，用流动清水或生理盐水冲洗
1075,13327-32-7,如有不适感，就医
1076,1333-82-0,提起眼睑，用流动清水或生理盐水冲洗
1077,1333-82-0,如有不适感，就医
1078,1333-83-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1079,1333-83-1,就医
1080,1335-31-5,提起眼睑，用流动清水或生理盐水冲洗
1081,1335-31-5,就医
1082,1335-88-2,提起眼睑，用流动清水或生理盐水冲洗
1083,1335-88-2,就医
1084,1336-21-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1085,1336-21-6,如有不适感，就医
1086,1338-23-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1087,1338-23-4,就医
1088,134-32-7,提起眼睑，用流动清水或生理盐水冲洗
1089,134-32-7,如有不适感，就医
1090,13400-13-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1091,13400-13-0,如有不适感，就医
1092,1341-49-7,提起眼睑，用流动清水或生理盐水冲洗
1093,1341-49-7,就医
1094,1344-40-7,提起眼睑，用流动清水或生理盐水冲洗
1095,1344-40-7,就医
1096,13446-09-8,提起眼睑，用流动清水或生理盐水冲洗
1097,13446-09-8,如有不适感，就医
1098,13446-11-2,提起眼睑，用流动清水或生理盐水冲洗
1099,13446-11-2,就医
1100,13446-48-5,提起眼睑，用流动清水或生理盐水冲洗
1101,13446-48-5,就医
1102,13446-74-7,提起眼睑，用流动清水或生理盐水冲洗
1103,13446-74-7,如有不适感，就医
1104,1345-04-6,提起眼睑，用流动清水或生理盐水冲洗
1105,1345-04-6,如有不适感，就医
1106,13451-08-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1107,13451-08-6,就医
1108,13453-30-0,提起眼睑，用流动清水或生理盐水冲洗
1109,13453-30-0,就医
1110,13455-24-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1111,13455-24-8,如有不适感，就医
1112,13463-39-3,提起眼睑，用流动清水或生理盐水冲洗
1113,13463-39-3,就医
1114,13463-40-6,提起眼睑，用流动清水或生理盐水冲洗
1115,13463-40-6,就医
1116,13465-95-7,提起眼睑，用流动清水或生理盐水冲洗
1117,13465-95-7,如有不适感，就医
1118,13470-01-4,提起眼睑，用流动清水或生理盐水冲洗
1119,13470-01-4,如有不适感，就医
1120,13477-00-4,提起眼睑，用流动清水或生理盐水冲洗
1121,13477-00-4,如有不适感，就医
1122,13477-09-3,提起眼睑，用流动清水或生理盐水冲洗
1123,13477-09-3,就医
1124,13477-36-6,提起眼睑，用流动清水或生理盐水冲洗
1125,13477-36-6,如有不适感，就医
1126,13494-98-9,提起眼睑，用流动清水或生理盐水冲洗
1127,13494-98-9,就医
1128,135-01-3,提起眼睑，用流动清水或生理盐水冲洗
1129,135-01-3,如有不适感，就医
1130,135-88-6,提起眼睑，用流动清水或生理盐水冲洗
1131,135-88-6,如有不适感，就医
1132,135-98-8,提起眼睑，用流动清水或生理盐水冲洗
1133,135-98-8,如有不适感，就医
1134,13548-38-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1135,13548-38-4,就医
1136,13597-99-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1137,13597-99-4,如有不适感，就医
1138,13598-36-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1139,13598-36-2,如有不适感，就医
1140,136-35-6,提起眼睑，用流动清水或生理盐水冲洗
1141,136-35-6,就医
1142,13637-63-3,提起眼睑，用流动清水或生理盐水冲洗
1143,13637-63-3,就医
1144,13637-76-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1145,13637-76-8,如有不适感，就医
1146,13682-73-0,提起眼睑，用流动清水或生理盐水冲洗
1147,13682-73-0,就医
1148,137-06-4,提起眼睑，用流动清水或生理盐水冲洗
1149,137-06-4,就医
1150,137-07-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1151,137-07-5,就医
1152,137-26-8,提起眼睑，用流动清水或生理盐水冲洗
1153,137-26-8,就医
1154,137-30-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1155,137-30-4,就医
1156,137-43-9,提起眼睑，用流动清水或生理盐水冲洗
1157,137-43-9,就医
1158,13718-59-7,提起眼睑，用流动清水或生理盐水冲洗
1159,13718-59-7,就医
1160,13746-89-9,提起眼睑，用流动清水或生理盐水冲洗
1161,13746-89-9,就医
1162,13762-51-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1163,13762-51-1,就医
1164,13765-03-2,提起眼睑，用流动清水或生理盐水冲洗
1165,13765-03-2,如有不适感，就医
1166,13770-61-1,提起眼睑，用流动清水或生理盐水冲洗
1167,13770-61-1,就医
1168,13779-41-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1169,13779-41-4,就医
1170,13780-03-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1171,13780-03-5,就医
1172,13780-06-8,提起眼睑，用流动清水或生理盐水冲洗
1173,13780-06-8,如有不适感，就医
1174,138-86-3,提起眼睑，用流动清水或生理盐水冲洗
1175,138-86-3,如有不适感，就医
1176,138-89-6,提起眼睑，用流动清水或生理盐水冲洗
1177,138-89-6,就医
1178,13814-96-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1179,13814-96-5,就医
1180,13863-41-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1181,13863-41-7,如有不适感，就医
1182,139-02-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1183,139-02-6,如有不适感，就医
1184,13952-84-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1185,13952-84-6,保持呼吸道通畅
1186,13952-84-6,如呼吸困难，给输氧
1187,13952-84-6,如呼吸停止，立即进行人工呼吸
1188,13952-84-6,就医
1189,13967-90-3,提起眼睑，用流动清水或生理盐水冲洗
1190,13967-90-3,如有不适感，就医
1191,1397-94-0,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
1192,1397-94-0,就医
1193,140-29-4,提起眼睑，用流动清水或生理盐水冲洗
1194,140-29-4,如有不适感，就医
1195,140-80-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1196,140-80-7,就医
1197,140-88-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1198,140-88-5,如有不适感，就医
1199,1402-38-6,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
1200,1402-38-6,就医
1201,141-32-2,提起眼睑，用流动清水或生理盐水冲洗
1202,141-32-2,如有不适感，就医
1203,141-43-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1204,141-43-5,就医
1205,141-57-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1206,141-57-1,就医
1207,141-66-2,提起眼睑，用流动清水或生理盐水冲洗
1208,141-66-2,就医
1209,141-75-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1210,141-75-3,就医
1211,141-78-6,提起眼睑，用流动清水或生理盐水冲洗
1212,141-78-6,如有不适感，就医
1213,141-79-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1214,141-79-7,就医
1215,141-91-3,提起眼睑，用流动清水或生理盐水冲洗
1216,141-91-3,就医
1217,141-93-5,提起眼睑，用流动清水或生理盐水冲洗
1218,141-93-5,如有不适感，就医
1219,142-04-1,提起眼睑，用流动清水或生理盐水冲洗
1220,142-04-1,就医
1221,142-28-9,提起眼睑，用流动清水或生理盐水冲洗
1222,142-28-9,如有不适感，就医
1223,142-29-0,提起眼睑，用流动清水或生理盐水冲洗
1224,142-29-0,如有不适感，就医
1225,142-59-6,提起眼睑，用流动清水或生理盐水冲洗
1226,142-59-6,如有不适感，就医
1227,142-61-0,提起眼睑，用流动清水或生理盐水冲洗
1228,142-61-0,就医
1229,142-62-1,提起眼睑，用流动清水或生理盐水冲洗
1230,142-62-1,就医
1231,142-68-7,提起眼睑，用流动清水或生理盐水冲洗
1232,142-68-7,就医
1233,142-82-5,提起眼睑，用流动清水或生理盐水冲洗
1234,142-82-5,如有不适感，就医
1235,142-84-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1236,142-84-7,就医
1237,142-92-7,提起眼睑，用流动清水或生理盐水冲洗
1238,142-92-7,就医
1239,142-96-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1240,142-96-1,如有不适感，就医
1241,1420-07-1,提起眼睑，用流动清水或生理盐水冲洗
1242,1420-07-1,就医
1243,1421-68-7,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
1244,1421-68-7,就医
1245,14235-86-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1246,14235-86-0,就医
1247,14264-31-4,提起眼睑，用流动清水或生理盐水冲洗
1248,14264-31-4,就医
1249,143-33-9,提起眼睑，用流动清水或生理盐水冲洗
1250,143-33-9,如有不适感，就医
1251,144-49-0,提起眼睑，用流动清水或生理盐水冲洗
1252,144-49-0,就医
1253,1445-45-0,提起眼睑，用流动清水或生理盐水冲洗
1254,1445-45-0,就医
1255,14486-19-2,提起眼睑，用流动清水或生理盐水冲洗
1256,14486-19-2,就医
1257,1450-14-2,提起眼睑，用流动清水或生理盐水冲洗
1258,1450-14-2,就医
1259,14518-94-6,提起眼睑，用流动清水或生理盐水冲洗
1260,14518-94-6,如有不适感，就医
1261,14519-07-4,提起眼睑，用流动清水或生理盐水冲洗
1262,14519-07-4,如有不适感，就医
1263,14519-18-7,提起眼睑，用流动清水或生理盐水冲洗
1264,14519-18-7,如有不适感，就医
1265,1461-22-9,"Flush eyes with plenty of water for at least 15 minutes, occasionally lifting the upper and lower eyelids. Get medical aid."
1266,1461-25-2,提起眼睑，用流动清水或生理盐水冲洗
1267,1461-25-2,就医
1268,14666-78-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1269,14666-78-5,就医
1270,147-82-0,提起眼睑，用流动清水或生理盐水冲洗
1271,147-82-0,就医
1272,14763-77-0,提起眼睑，用流动清水或生理盐水冲洗
1273,14763-77-0,就医
1274,148-82-3,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
1275,148-82-3,就医
1276,149-73-5,提起眼睑，用流动清水或生理盐水冲洗
1277,149-73-5,就医
1278,149-74-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1279,149-74-6,如有不适感，就医
1280,14977-61-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1281,14977-61-8,如有不适感，就医
1282,150-46-9,提起眼睑，用流动清水或生理盐水冲洗
1283,150-46-9,就医
1284,151-38-2,提起眼睑，用流动清水或生理盐水冲洗
1285,151-38-2,就医
1286,151-50-8,提起眼睑，用流动清水或生理盐水冲洗
1287,151-50-8,如有不适感，就医
1288,151-56-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1289,151-56-4,就医
1290,15120-17-9,提起眼睑，用流动清水或生理盐水冲洗
1291,15120-17-9,就医
1292,15120-21-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1293,15120-21-5,就医
1294,15168-20-4,提起眼睑，用流动清水或生理盐水冲洗
1295,15168-20-4,就医
1296,15180-03-7,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
1297,15180-03-7,就医
1298,152-16-9,提起眼睑，用流动清水或生理盐水冲洗
1299,152-16-9,就医
1300,15232-76-5,提起眼睑，用流动清水或生理盐水冲洗
1301,15232-76-5,如有不适感，就医
1302,15271-41-7,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
1303,15271-41-7,就医
1304,15520-11-3,Immediately flush with running water for at least 20 minutes.
1305,15593-61-0,拉开眼睑，用流动清水冲洗15min；就医
1306,156-43-4,提起眼睑，用流动清水或生理盐水冲洗
1307,156-43-4,就医
1308,1563-66-2,提起眼睑，用流动清水或生理盐水冲洗
1309,1563-66-2,就医
1310,15630-89-4,"Immediately flush eyes with plenty of water for at least 15 minutes, occasionally lifting the upper and lower eyelids. Get medical aid."
1311,1569-02-4,提起眼睑，用流动清水或生理盐水冲洗
1312,1569-02-4,就医
1313,1569-69-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1314,1569-69-3,如有不适感，就医
1315,15829-53-5,提起眼睑，用流动清水或生理盐水冲洗
1316,15829-53-5,就医
1317,15879-93-3,提起眼睑，用流动清水或生理盐水冲洗
1318,15879-93-3,就医
1319,15972-60-8,提起眼睑，用流动清水或生理盐水冲洗
1320,15972-60-8,就医
1321,1600-27-7,提起眼睑，用流动清水或生理盐水冲洗
1322,1600-27-7,就医
1323,16066-38-9,提起眼睑，用流动清水或生理盐水冲洗
1324,16066-38-9,就医
1325,1609-86-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1326,1609-86-5,就医
1327,16111-62-9,提起眼睑，用流动清水或生理盐水冲洗
1328,16111-62-9,就医
1329,1615-80-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1330,1615-80-1,就医
1331,1629-58-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1332,1629-58-9,就医
1333,1634-04-4,提起眼睑，用流动清水或生理盐水冲洗
1334,1640-89-7,提起眼睑，用流动清水或生理盐水冲洗
1335,1640-89-7,如有不适感，就医
1336,16454-60-7,提起眼睑，用流动清水或生理盐水冲洗
1337,16454-60-7,就医
1338,1656-44-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1339,1656-44-6,就医
1340,1656-48-0,提起眼睑，用流动清水或生理盐水冲洗
1341,1656-48-0,就医
1342,1663-67-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1343,1663-67-8,就医
1344,1666-13-3,立即翻开上下眼睑，用流动清水或生理盐水冲洗；就医
1345,16721-80-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1346,16721-80-5,就医
1347,16752-77-5,提起眼睑，用流动清水或生理盐水冲洗
1348,16752-77-5,就医
1349,16774-21-3,提起眼睑，用流动清水或生理盐水冲洗
1350,16774-21-3,就医
1351,1678-91-7,提起眼睑，用流动清水或生理盐水冲洗
1352,1678-91-7,如有不适感，就医
1353,1678-93-9,提起眼睑，用流动清水或生理盐水冲洗
1354,1678-93-9,如有不适感，就医
1355,1679-09-0,提起眼睑，用流动清水或生理盐水冲洗
1356,1679-09-0,就医
1357,16853-85-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1358,16853-85-3,如有不适感，就医
1359,16871-71-9,提起眼睑，用流动清水或生理盐水冲洗
1360,16871-71-9,就医
1361,16871-90-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1362,16871-90-2,就医
1363,16872-11-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1364,16872-11-0,如有不适感，就医
1365,1689-84-5,提起眼睑，用流动清水或生理盐水冲洗
1366,1689-84-5,就医
1367,16893-85-9,提起眼睑，用流动清水或生理盐水冲洗
1368,16893-85-9,就医
1369,16923-95-8,提起眼睑，用流动清水或生理盐水冲洗
1370,16923-95-8,就医
1371,16924-00-8,提起眼睑，用流动清水或生理盐水冲洗
1372,16924-00-8,就医
1373,1694-92-4,就医
1374,16940-66-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1375,16940-66-2,就医
1376,16940-81-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1377,16940-81-1,就医
1378,16941-12-1,提起眼睑，用流动清水或生理盐水冲洗
1379,16941-12-1,就医
1380,16949-15-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1381,16949-15-8,就医
1382,16949-65-8,提起眼睑，用流动清水或生理盐水冲洗
1383,16949-65-8,就医
1384,16961-83-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1385,16961-83-4,如有不适感，就医
1386,16962-07-5,提起眼睑，用流动清水或生理盐水冲洗
1387,16962-07-5,就医
1388,17014-71-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1389,17014-71-0,如有不适感，就医
1390,17109-49-8,提起眼睑，用流动清水或生理盐水冲洗
1391,17109-49-8,就医
1392,1712-64-7,提起眼睑，用流动清水或生理盐水冲洗
1393,1712-64-7,如有不适感，就医
1394,17125-80-3,提起眼睑，用流动清水或生理盐水冲洗
1395,17125-80-3,就医
1396,1719-53-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1397,1719-53-5,就医
1398,17194-00-2,提起眼睑，用流动清水或生理盐水冲洗
1399,17194-00-2,如有不适感，就医
1400,1721-93-3,拉开眼睑，用流动清水冲洗15min；就医
1401,1738-25-6,提起眼睑，用流动清水或生理盐水冲洗
1402,1738-25-6,就医
1403,1746-01-6,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
1404,1746-01-6,就医
1405,17639-93-9,提起眼睑，用流动清水或生理盐水冲洗
1406,17639-93-9,就医
1407,17702-41-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1408,17702-41-9,如有不适感，就医
1409,17804-35-2,提起眼睑，用流动清水或生理盐水冲洗
1410,17804-35-2,就医
1411,17861-62-0,提起眼睑，用流动清水或生理盐水冲洗
1412,17861-62-0,就医
1413,1789-58-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1414,1789-58-8,如有不适感，就医
1415,1795-48-8,提起眼睑，用流动清水或生理盐水冲洗
1416,1795-48-8,就医
1417,1809-19-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1418,1809-19-4,就医
1419,1825-62-3,提起眼睑，用流动清水或生理盐水冲洗
1420,1825-62-3,就医
1421,1838-59-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1422,1838-59-1,就医
1423,18810-58-7,提起眼睑，用流动清水或生理盐水冲洗
1424,18810-58-7,就医
1425,1885-14-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1426,1885-14-9,就医
1427,1907-13-7,提起眼睑，用流动清水或生理盐水冲洗
1428,1907-13-7,就医
1429,1918-16-7,提起眼睑，用流动清水或生理盐水冲洗
1430,1918-16-7,就医
1431,19287-45-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1432,19287-45-7,如有不适感，就医
1433,19398-61-9,提起眼睑，用流动清水或生理盐水冲洗
1434,19398-61-9,就医
1435,1942-45-6,提起眼睑，用流动清水或生理盐水冲洗
1436,1942-45-6,就医
1437,19624-22-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1438,19624-22-7,如有不适感，就医
1439,1983-10-4,拉开眼睑，用流动清水冲洗15min；就医
1440,1989-53-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1441,1989-53-3,就医
1442,19910-65-7,提起眼睑，用流动清水或生理盐水冲洗
1443,19910-65-7,就医
1444,20063-92-7,提起眼睑，用流动清水或生理盐水冲洗
1445,20063-92-7,就医
1446,2031-67-6,提起眼睑，用流动清水或生理盐水冲洗
1447,2031-67-6,就医
1448,20324-26-9,提起眼睑，用流动清水或生理盐水冲洗
1449,20324-26-9,如有不适感，就医
1450,20325-40-0,提起眼睑，用流动清水或生理盐水冲洗
1451,20325-40-0,就医
1452,2040-95-1,提起眼睑，用流动清水或生理盐水冲洗
1453,2040-95-1,如有不适感，就医
1454,2040-96-2,提起眼睑，用流动清水或生理盐水冲洗
1455,2040-96-2,就医
1456,2045-00-3,提起眼睑，用流动清水或生理盐水冲洗
1457,2045-00-3,就医
1458,2050-60-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1459,2050-60-4,如有不适感，就医
1460,2050-92-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
1461,2050-92-2,如有不适感，就医
1462,2051-78-7,提起眼睑，用流动清水或生理盐水冲洗
1463,2051-78-7,就医
1464,2052-49-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1465,2052-49-5,就医
1466,206-44-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
1467,206-44-0,就医
1468,20694-39-7,提起眼睑，用流动清水或生理盐水冲洗
1469,20694-39-7,如有不适感，就医
1470,20770-41-6,提起眼睑，用流动清水或生理盐水冲洗
