,CAS,皮肤接触
907,124-18-5,如有不适感，就医
908,124-38-9,不会通过该途径接触
909,124-40-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
910,124-40-3,如有不适感，就医
911,124-41-4,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
912,124-41-4,就医
913,124-43-6,脱去污染的衣着，用大量流动清水冲洗
914,124-47-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
915,124-47-0,如有不适感，就医
916,124-63-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
917,124-63-0,如有不适感，就医
918,124-65-2,脱去污染的衣着，用大量流动清水冲洗
919,124-87-8,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
920,12427-38-2,脱去污染的衣着，用流动清水冲洗
921,12504-13-1,脱去污染的衣着，用流动清水冲洗
922,12542-85-7,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
923,12542-85-7,就医
924,126-72-7,脱去污染的衣着，用大量流动清水冲洗
925,126-98-7,立即脱去污染的衣着，用大量流动清水冲洗
926,126-98-7,就医
927,126-99-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
928,126-99-8,如有不适感，就医
929,127-00-4,脱去污染的衣着，用大量流动清水冲洗
930,127-18-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
931,127-18-4,如有不适感，就医
932,127-85-5,脱去污染的衣着，用大量流动清水冲洗
933,127-85-5,如有不适感，就医
934,127-91-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
935,127-91-3,如有不适感，就医
936,12788-93-1,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
937,12788-93-1,就医
938,129-66-8,脱去污染的衣着，用流动清水冲洗
939,129-79-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
940,129-79-3,如有不适感，就医
941,1299-86-1,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
942,1299-86-1,如有不适感，就医
943,1303-28-2,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
944,1303-28-2,如有不适感，就医
945,1303-39-5,脱去污染的衣着，用大量流动清水冲洗
946,1304-28-5,脱去污染的衣着，用大量流动清水冲洗
947,1304-29-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
948,1304-29-6,如有不适感，就医
949,1304-56-9,脱去污染的衣着，用大量流动清水冲洗
950,1305-79-9,立即脱去污染的衣着，用大量流动清水冲洗20～30min
951,1305-79-9,如有不适感，就医
952,1306-19-0,脱去污染的衣着，用大量流动清水冲洗
953,1306-23-6,脱去污染的衣着，用流动清水冲洗
954,1306-24-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
955,1306-24-7,如有不适感，就医
956,1309-60-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
957,131-52-2,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
958,131-52-2,就医
959,131-73-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
960,131-73-7,如有不适感，就医
961,131-74-8,脱去污染的衣着，用大量流动清水冲洗
962,131-74-8,如有不适感，就医
963,1310-58-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
964,1310-58-3,如有不适感，就医
965,1310-73-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
966,1310-73-2,如有不适感，就医
967,1310-82-3,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
968,1310-82-3,就医
969,1312-73-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
970,1312-73-8,如有不适感，就医
971,13122-18-4,Remove and isolate contaminated clothing and shoes. Remove material from skin immediately. Immediately flush with running water for at least 20 minutes. Keep victim warm and quiet.
972,1313-60-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
973,1313-60-6,如有不适感，就医
974,1313-82-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
975,1313-82-2,如有不适感，就医
976,13138-45-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
977,13138-45-9,如有不适感，就医
978,1314-12-1,脱去污染的衣着，用大量流动清水冲洗
979,1314-18-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
980,1314-18-7,如有不适感，就医
981,1314-22-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
982,1314-22-3,如有不适感，就医
983,1314-24-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
984,1314-24-5,就医
985,1314-32-5,脱去污染的衣着，用大量流动清水冲洗
986,1314-34-7,脱去污染的衣着，用大量流动清水冲洗
987,1314-41-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
988,1314-41-6,如有不适感，就医
989,1314-56-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
990,1314-56-3,如有不适感，就医
991,1314-60-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
992,1314-60-9,如有不适感，就医
993,1314-62-1,立即脱去污染的衣着，用大量流动清水冲洗
994,1314-62-1,就医
995,1314-80-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
996,1314-80-3,如有不适感，就医
997,1314-84-7,马上 用 水 和 肥 皂 进 行 彻 底 的 冲 洗.
998,1315-09-9,脱去污染的衣着，用大量流动清水冲洗
999,1317-36-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1000,1317-36-8,如有不适感，就医
1001,1327-53-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1002,1327-53-3,如有不适感，就医
1003,133-14-2,脱去污染的衣着，用大量流动清水冲洗
1004,1330-20-7,Immediately flush skin with plenty of soap and water for at least 15 minutes while removing contaminated clothing and shoes. Get medical aid if irritation develops or persists. Discard contaminated clothing in a manner which limits further exposure.
1005,1330-78-5,立即脱去污染的衣着，用大量流动清水冲洗
1006,1330-78-5,如有不适感，就医
1007,13327-32-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1008,13327-32-7,如有不适感，就医
1009,1333-82-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1010,1333-82-0,如有不适感，就医
1011,1333-83-1,用大量流动清水冲洗
1012,1333-83-1,就医
1013,1335-31-5,立即脱去污染的衣着，用大量流动清水冲洗
1014,1335-31-5,就医
1015,1335-88-2,脱去污染的衣着，用流动清水冲洗
1016,1336-21-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1017,1336-21-6,如有不适感，就医
1018,1338-23-4,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1019,1338-23-4,就医
1020,134-32-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1021,134-32-7,如有不适感，就医
1022,13400-13-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1023,13400-13-0,如有不适感，就医
1024,1341-49-7,脱去污染的衣着，用大量流动清水冲洗
1025,1344-40-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1026,13446-09-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1027,13446-09-8,如有不适感，就医
1028,13446-11-2,脱去污染的衣着，用大量流动清水冲洗
1029,13446-48-5,脱去污染的衣着，用大量流动清水冲洗
1030,13446-74-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1031,13446-74-7,如有不适感，就医
1032,1345-04-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1033,1345-04-6,如有不适感，就医
1034,13451-08-6,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1035,13451-08-6,就医
1036,13453-30-0,立即脱去污染的衣着，用大量流动清水冲洗
1037,13453-30-0,就医
1038,13455-24-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1039,13455-24-8,如有不适感，就医
1040,13463-39-3,脱去污染的衣着，用流动清水冲洗
1041,13463-40-6,立即脱去污染的衣着，用大量流动清水冲洗
1042,13463-40-6,就医
1043,13465-95-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1044,13465-95-7,如有不适感，就医
1045,13470-01-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1046,13470-01-4,如有不适感，就医
1047,13477-00-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1048,13477-00-4,如有不适感，就医
1049,13477-09-3,脱去污染的衣着，用大量流动清水冲洗
1050,13477-36-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1051,13477-36-6,如有不适感，就医
1052,13494-98-9,脱去污染的衣着，用流动清水冲洗
1053,135-01-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1054,135-01-3,如有不适感，就医
1055,135-88-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1056,135-98-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1057,135-98-8,如有不适感，就医
1058,13548-38-4,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1059,13548-38-4,就医
1060,13597-99-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1061,13597-99-4,如有不适感，就医
1062,13598-36-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1063,13598-36-2,如有不适感，就医
1064,136-35-6,脱去污染的衣着，用大量流动清水冲洗
1065,13637-63-3,脱去污染的衣着，用大量流动清水冲洗
1066,13637-76-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1067,13637-76-8,如有不适感，就医
1068,13682-73-0,立即脱去污染的衣着，用大量流动清水冲洗
1069,13682-73-0,就医
1070,137-06-4,脱去污染的衣着，用大量流动清水冲洗
1071,137-07-5,立即脱去污染的衣着，用大量流动清水冲洗
1072,137-07-5,就医
1073,137-26-8,脱去污染的衣着，用大量流动清水冲洗
1074,137-30-4,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1075,137-30-4,就医
1076,137-43-9,脱去污染的衣着，用大量流动清水冲洗
1077,13718-59-7,脱去污染的衣着，用大量流动清水冲洗
1078,13746-89-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1079,13762-51-1,立即脱去污染的衣着，用大量流动清水冲洗
1080,13762-51-1,就医
1081,13765-03-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1082,13765-03-2,如有不适感，就医
1083,13770-61-1,脱去污染的衣着，用流动清水冲洗
1084,13779-41-4,立即脱去污染的衣着，用大量流动清水冲洗
1085,13779-41-4,就医
1086,13780-03-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1087,13780-03-5,就医
1088,13780-06-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1089,13780-06-8,如有不适感，就医
1090,138-86-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1091,138-86-3,如有不适感，就医
1092,138-89-6,脱去污染的衣着，用流动清水冲洗
1093,13814-96-5,立即脱去污染的衣着，用大量流动清水冲洗
1094,13814-96-5,就医
1095,13863-41-7,脱去污染的衣着，用大量流动清水冲洗
1096,13863-41-7,如有不适感，就医
1097,139-02-6,立即脱去污染的衣着，用大量流动清水彻底冲洗
1098,139-02-6,冲洗后即用浸过30%～50%酒精的棉花反复擦拭创面至无酚味为止(注意不能将患处浸泡于酒精溶液中)，再继用4%～5%碳酸氢钠溶液湿敷创面2～4h
1099,139-02-6,也可用浸过聚乙二醇-300或聚乙二醇和变性酒精混合液(2∶1)的棉花擦拭创面，然后用水彻底清洗
1100,139-02-6,就医
1101,13952-84-6,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1102,13952-84-6,就医
1103,13967-90-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1104,13967-90-3,如有不适感，就医
1105,1397-94-0,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1106,140-29-4,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
1107,140-29-4,就医
1108,140-80-7,立即脱去污染的衣着，用大量流动清水冲洗
1109,140-80-7,就医
1110,140-88-5,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1111,140-88-5,如有不适感，就医
1112,1402-38-6,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1113,141-32-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1114,141-32-2,如有不适感，就医
1115,141-43-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1116,141-43-5,就医
1117,141-57-1,立即脱去污染的衣着，用大量流动清水冲洗
1118,141-57-1,就医
1119,141-66-2,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1120,141-66-2,就医
1121,141-75-3,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1122,141-75-3,就医
1123,141-78-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1124,141-78-6,如有不适感，就医
1125,141-79-7,脱去污染的衣着，用大量流动清水冲洗
1126,141-91-3,脱去污染的衣着，用流动清水冲洗
1127,141-93-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1128,141-93-5,如有不适感，就医
1129,142-04-1,脱去污染的衣着，用大量流动清水冲洗
1130,142-28-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1131,142-28-9,如有不适感，就医
1132,142-29-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1133,142-29-0,如有不适感，就医
1134,142-59-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1135,142-59-6,如有不适感，就医
1136,142-61-0,立即脱去污染的衣着，用大量流动清水冲洗
1137,142-61-0,就医
1138,142-62-1,立即脱去污染的衣着，用大量流动清水冲洗
1139,142-62-1,就医
1140,142-68-7,脱去污染的衣着，用大量流动清水冲洗
1141,142-82-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1142,142-82-5,如有不适感，就医
1143,142-84-7,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1144,142-84-7,就医
1145,142-92-7,脱去污染的衣着，用流动清水冲洗
1146,142-96-1,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1147,142-96-1,如有不适感，就医
1148,1420-07-1,立即脱去污染的衣着，用大量流动清水冲洗
1149,1420-07-1,就医
1150,1421-68-7,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1151,14235-86-0,脱去污染的衣着，用大量流动清水冲洗
1152,14264-31-4,立即脱去污染的衣着，用大量流动清水冲洗
1153,14264-31-4,就医
1154,143-33-9,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
1155,143-33-9,就医
1156,144-49-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1157,144-49-0,就医
1158,1445-45-0,立即脱去污染的衣着，用大量流动清水冲洗
1159,1445-45-0,就医
1160,14486-19-2,脱去污染的衣着，用大量流动清水冲洗
1161,1450-14-2,立即脱去污染的衣着，用大量流动清水冲洗
1162,1450-14-2,就医
1163,14518-94-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1164,14518-94-6,如有不适感，就医
1165,14519-07-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1166,14519-07-4,如有不适感，就医
1167,14519-18-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1168,14519-18-7,如有不适感，就医
1169,1461-22-9,Get medical aid. Flush skin with plenty of soap and water for at least 15 minutes while removing contaminated clothing and shoes. Wash clothing before reuse.
1170,1461-25-2,脱去污染的衣着，用流动清水冲洗
1171,14666-78-5,立即脱去污染的衣着，用大量流动清水冲洗
1172,14666-78-5,就医
1173,147-82-0,脱去污染的衣着，用大量流动清水冲洗
1174,14763-77-0,立即脱去污染的衣着，用大量流动清水冲洗
1175,14763-77-0,就医
1176,148-82-3,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1177,149-73-5,立即脱去污染的衣着，用大量流动清水冲洗
1178,149-73-5,就医
1179,149-74-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1180,149-74-6,如有不适感，就医
1181,14977-61-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1182,14977-61-8,如有不适感，就医
1183,150-46-9,脱去污染的衣着，用大量流动清水冲洗
1184,151-38-2,脱去污染的衣着，用大量流动清水冲洗
1185,151-50-8,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
1186,151-50-8,就医
1187,151-56-4,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1188,151-56-4,就医
1189,15120-17-9,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1190,15120-17-9,就医
1191,15120-21-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1192,15120-21-5,就医
1193,15168-20-4,脱去污染的衣着，用大量流动清水冲洗
1194,15180-03-7,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1195,152-16-9,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1196,152-16-9,就医
1197,15232-76-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1198,15232-76-5,如有不适感，就医
1199,15271-41-7,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1200,15520-11-3,Remove and isolate contaminated clothing and shoes. Remove material from skin immediately. Immediately flush with running water for at least 20 minutes.
1201,15593-61-0,"马上 用 水 和 肥 皂 进 行 彻 底 的 冲 洗.
马上 寻 求 医 疗 的 建 议."
1202,156-43-4,脱去污染的衣着，用大量流动清水冲洗
1203,1563-66-2,脱去污染的衣着，用大量流动清水冲洗
1204,15630-89-4,Get medical aid. Flush skin with plenty of soap and water for at least 15 minutes while removing contaminated clothing and shoes. Wash clothing before reuse.
1205,1569-02-4,脱去污染的衣着，用流动清水冲洗
1206,1569-69-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1207,1569-69-3,如有不适感，就医
1208,15829-53-5,脱去污染的衣着，用大量流动清水冲洗
1209,15879-93-3,脱去污染的衣着，用大量流动清水冲洗
1210,15972-60-8,立即脱去污染的衣着，用大量流动清水冲洗
1211,15972-60-8,就医
1212,1600-27-7,脱去污染的衣着，用流动清水冲洗
1213,16066-38-9,立即脱去污染的衣着，用大量流动清水冲洗
1214,16066-38-9,就医
1215,1609-86-5,立即脱去污染的衣着，用大量流动清水冲洗
1216,1609-86-5,就医
1217,16111-62-9,脱去污染的衣着，用大量流动清水冲洗
1218,1615-80-1,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1219,1615-80-1,就医
1220,1629-58-9,立即脱去污染的衣着，用大量流动清水冲洗
1221,1629-58-9,就医
1222,1634-04-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1223,1640-89-7,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1224,1640-89-7,如有不适感，就医
1225,16454-60-7,脱去污染的衣着，用流动清水冲洗
1226,1656-44-6,立即脱去污染的衣着，用大量流动清水冲洗
1227,1656-44-6,就医
1228,1656-48-0,脱去污染的衣着，用大量流动清水冲洗
1229,1663-67-8,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1230,1663-67-8,就医
1231,1666-13-3,脱去污染的衣着，用大量流动清水彻底冲洗
1232,16721-80-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1233,16721-80-5,就医
1234,16752-77-5,脱去污染的衣着，用大量流动清水冲洗
1235,16774-21-3,脱去污染的衣着，用流动清水冲洗
1236,1678-91-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1237,1678-91-7,如有不适感，就医
1238,1678-93-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1239,1678-93-9,如有不适感，就医
1240,1679-09-0,脱去污染的衣着，用大量流动清水冲洗
1241,16853-85-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1242,16853-85-3,如有不适感，就医
1243,16871-71-9,脱去污染的衣着，用大量流动清水冲洗
1244,16871-90-2,脱去污染的衣着，用大量流动清水冲洗
1245,16872-11-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1246,16872-11-0,如有不适感，就医
1247,1689-84-5,脱去污染的衣着，用大量流动清水冲洗
1248,16893-85-9,脱去污染的衣着，用流动清水冲洗
1249,16923-95-8,立即脱去污染的衣着，用大量流动清水冲洗
1250,16923-95-8,就医
1251,16924-00-8,脱去污染的衣着，用流动清水冲洗
1252,1694-92-4,立即脱去污染的衣着，用大量流动清水冲洗
1253,1694-92-4,就医
1254,16940-66-2,立即脱去污染的衣着，用大量流动清水冲洗
1255,16940-66-2,就医
1256,16940-81-1,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1257,16940-81-1,就医
1258,16941-12-1,脱去污染的衣着，用大量流动清水冲洗
1259,16949-15-8,立即脱去污染的衣着，用大量流动清水冲洗
1260,16949-15-8,就医
1261,16949-65-8,脱去污染的衣着，用大量流动清水冲洗
1262,16961-83-4,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1263,16961-83-4,如有不适感，就医
1264,16962-07-5,脱去污染的衣着，用大量流动清水冲洗
1265,17014-71-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1266,17014-71-0,如有不适感，就医
1267,17109-49-8,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1268,17109-49-8,就医
1269,1712-64-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1270,1712-64-7,如有不适感，就医
1271,17125-80-3,脱去污染的衣着，用流动清水冲洗
1272,1719-53-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1273,1719-53-5,就医
1274,17194-00-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1275,17194-00-2,如有不适感，就医
1276,1721-93-3,脱去污染的衣着，用肥皂水及清水彻底冲洗；就医
1277,1738-25-6,脱去污染的衣着，用大量流动清水冲洗
1278,1746-01-6,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1279,17639-93-9,立即脱去污染的衣着，用大量流动清水冲洗
1280,17639-93-9,就医
1281,17702-41-9,立即脱去污染的衣着，立即用1%～3%三乙醇胺水溶液或3%氨水冲洗，至少5min，再用肥皂水及清水彻底冲洗
1282,17702-41-9,如有不适感，就医
1283,17804-35-2,立即脱去污染的衣着，用大量流动清水冲洗
1284,17804-35-2,就医
1285,17861-62-0,脱去污染的衣着，用大量流动清水冲洗
1286,1789-58-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1287,1789-58-8,如有不适感，就医
1288,1795-48-8,立即脱去污染的衣着，用大量流动清水冲洗
1289,1795-48-8,就医
1290,1809-19-4,立即脱去污染的衣着，用大量流动清水冲洗
1291,1809-19-4,就医
1292,1825-62-3,脱去污染的衣着，用流动清水冲洗
1293,1838-59-1,立即脱去污染的衣着，用大量流动清水冲洗
1294,1838-59-1,就医
1295,18810-58-7,脱去污染的衣着，用大量流动清水冲洗
1296,1885-14-9,立即脱去污染的衣着，用大量流动清水冲洗
1297,1885-14-9,就医
1298,1907-13-7,脱去污染的衣着，用大量流动清水冲洗
1299,1918-16-7,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1300,1918-16-7,就医
1301,19287-45-7,如果发生冻伤：将患部浸泡于保持在38～42℃的温水中复温
1302,19287-45-7,不要涂擦
1303,19287-45-7,不要使用热水或辐射热
1304,19287-45-7,使用清洁、干燥的敷料包扎
1305,19287-45-7,就医
1306,19398-61-9,立即脱去污染的衣着，用大量流动清水冲洗
1307,19398-61-9,就医
1308,1942-45-6,脱去污染的衣着，用流动清水冲洗
1309,19624-22-7,立即脱去污染的衣着，立即用1%～3%三乙醇胺水溶液或3%氨水冲洗，至少5min，再用肥皂水及清水彻底冲洗
1310,19624-22-7,如有不适感，就医
1311,1983-10-4,用肥皂水及清水彻底冲洗；就医
1312,1989-53-3,立即脱去污染的衣着，用大量流动清水冲洗
1313,1989-53-3,就医
1314,19910-65-7,脱去污染的衣着，用大量流动清水冲洗
1315,20063-92-7,脱去污染的衣着，用大量流动清水冲洗
1316,2031-67-6,脱去污染的衣着，用大量流动清水冲洗
1317,20324-26-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1318,20324-26-9,如有不适感，就医
1319,20325-40-0,脱去污染的衣着，用大量流动清水冲洗
1320,2040-95-1,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1321,2040-95-1,如有不适感，就医
1322,2040-96-2,脱去污染的衣着，用流动清水冲洗
1323,2045-00-3,脱去污染的衣着，用大量流动清水冲洗
1324,2050-60-4,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1325,2050-60-4,如有不适感，就医
1326,2050-92-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
1327,2050-92-2,如有不适感，就医
1328,2051-78-7,脱去污染的衣着，用流动清水冲洗
1329,2052-49-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1330,2052-49-5,就医
1331,206-44-0,立即脱去污染的衣着，用大量流动清水冲洗
1332,206-44-0,就医
1333,20694-39-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1334,20694-39-7,如有不适感，就医
1335,20770-41-6,脱去污染的衣着，用流动清水冲洗
1336,20816-12-0,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1337,20816-12-0,就医
1338,20830-75-5,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
1339,20859-73-8,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1340,20859-73-8,如有不适感，就医
1341,2104-64-5,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1342,2104-64-5,就医
1343,21109-95-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1344,21109-95-5,如有不适感，就医
1345,2116-65-6,脱去污染的衣着，用大量流动清水冲洗
1346,21351-79-1,Flush skin with plenty of soap and water for at least 15 minutes while removing contaminated clothing and shoes.
1347,21609-90-5,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1348,21609-90-5,就医
1349,21908-53-2,脱去污染的衣着，用大量流动清水冲洗
1350,21923-23-9,用肥皂水及清水彻底冲洗；就医
1351,2198-23-4,脱去污染的衣着，用大量流动清水冲洗
1352,22128-62-7,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1353,22128-62-7,就医
1354,2216-30-0,脱去污染的衣着，用流动清水冲洗
1355,22224-92-6,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1356,22224-92-6,就医
1357,2235-25-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
1358,2235-25-8,如有不适感，就医
1359,2237-30-1,脱去污染的衣着，用大量流动清水冲洗
1360,2238-07-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
1361,2238-07-5,就医
1362,2275-18-5,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
1363,2275-18-5,就医
1364,2279-76-7,立即脱去污染的衣着，用大量流动清水冲洗
