,CAS,健康危害
1460,124-38-9,人进入高浓度二氧化碳环境，在几秒钟内迅速昏迷倒下，反射消失、瞳孔扩大或缩小、大小便失禁、呕吐等，更严重者出现呼吸、心跳停止及休克，甚至死亡
1461,124-38-9,慢性影响：经常接触较高浓度的二氧化碳者，可有头晕、头痛、失眠、易兴奋、无力等神经功能紊乱等
1462,124-38-9,但在生产中是否存在慢性中毒国内外均未见病例报道
1463,124-40-3,本品对眼和呼吸道有强烈的刺激作用，吸入后引起咳嗽、呼吸困难
1464,124-40-3,重者发生肺水肿
1465,124-40-3,皮肤接触液态二甲胺可引起坏死，眼睛接触可引起角膜损伤、混浊
1466,124-43-6,对眼睛、皮肤、粘膜有中等刺激作用
1467,124-43-6,吸入可引起喉炎、化学性肺炎、肺水肿等
1468,124-43-6,受热分解释出有毒的氮氧化物烟雾
1469,124-47-0,具有刺激作用，热解能放出有毒的氮氧化物气体
1470,124-63-0,本品对黏膜、上呼吸道、眼睛和皮肤有强烈刺激性
1471,124-63-0,可致灼伤
1472,124-63-0,吸入后，可引起喉和支气管炎症，化学性肺炎或肺水肿
1473,124-65-2,对人有毒
1474,124-65-2,有刺激作用
1475,124-65-2,动物实验有致畸作用
1476,124-87-8,"对眼睛、皮肤有刺激作用；吸入、摄入或经皮肤吸收后可能致死,长期接触可能致癌，妇女接触可能对生育能力或胎儿造成伤害"
1477,12427-38-2,对皮肤和粘膜有刺激作用，接触后可发生皮炎、发痒、皮疹、红肿等
1478,12427-38-2, 误服出现胃肠刺激和中枢神经系统症状
1479,12504-13-1,吸入或误服在胃及肺中可与胃酸和水反应成剧毒的磷化氢
1480,12504-13-1,中毒表现为口渴、恶心、腹泻、呼吸困难、昏迷等
1481,12504-13-1,出现窒息和呼吸循环障碍之后7~60h死亡
1482,12542-85-7,吸入、摄入或经皮肤吸收后对身体有害
1483,12542-85-7,对眼睛、皮肤、粘膜和上呼吸道有强烈刺激作用，可引起灼伤
1484,12542-85-7,吸入，可引起喉炎、化学性肺炎、肺水肿等
1485,126-72-7,对眼睛、皮肤和粘膜有刺激性
1486,126-72-7,对人有致突变作用
1487,126-72-7,可引起睾丸萎缩和不育
1488,126-98-7,毒作用似丙烯腈
1489,126-98-7,动物急性中毒开始表现短时间兴奋，然后出现无力、气喘、紫绀、阵发性强直性抽搐、昏迷、死亡
1490,126-98-7,实验表明，本品易通过兔和豚鼠皮肤吸收，局部无明显刺激反应，只有轻度充血
1491,126-99-8,以中枢神经系统抑制和呼吸道刺激作用为主
1492,126-99-8,急性中毒：短期吸入高浓度蒸气出现流泪、咽干痛、胸闷、呼吸困难；结膜及咽部充血；肺部散在罗音；并有头昏、头痛、乏力、四肢麻木、步态不稳、恶心、呕吐、昏迷、抽搐等
1493,126-99-8,个别发生急性肺水肿而死亡
1494,126-99-8,急性期后可出现肝、肾损害及脱发
1495,126-99-8,慢性中毒：长期密切接触可引起神经衰弱综合征、中毒性肝病
1496,126-99-8,重者出现肝硬变
1497,126-99-8,多数患者有脱发，可伴有眉毛、腋毛、睫毛脱落，指甲变灰褐色
1498,127-00-4,蒸气或雾对眼、粘膜和上呼吸道有刺激性
1499,127-00-4,对皮肤有刺激性
1500,127-18-4,本品有刺激和麻醉作用
1501,127-18-4,吸入急性中毒者有上呼吸道刺激症状、流泪、流涎
1502,127-18-4,随之出现头晕、头痛、恶心、运动失调及酒醉样症状
1503,127-18-4,口服后出现头晕、头痛、倦睡、恶心、呕吐、腹痛、视力模糊、四肢麻木，甚至出现兴奋不安、抽搐乃至昏迷，可致死
1504,127-18-4,慢性影响：有乏力、眩晕、恶心、酩酊感等
1505,127-18-4,可有肝损害
1506,127-18-4,皮肤反复接触，可致皮炎和湿疹
1507,127-85-5,口服或吸入均能引起中毒
1508,127-85-5,引起视野缩小，进而引起视神经萎缩
1509,127-85-5,部分患者出现耳聋
1510,127-85-5,受热分解放出砷、氮氧化物烟雾
1511,127-91-3,本品对皮肤、眼、鼻和黏膜均有刺激性，有麻醉作用，可致肾损害
1512,12788-93-1,对皮肤、眼睛和粘膜有腐蚀性
1513,12788-93-1,可致眼、皮肤灼伤
1514,12788-93-1,吸入对呼吸道有强烈刺激作用引起咳嗽、气短
1515,12788-93-1,遇热分解释出高毒的烟雾
1516,129-66-8,本品有毒
1517,129-66-8,遇热分解放出氮氧化物烟雾
1518,129-79-3,本品对眼、呼吸道和胃肠道黏膜有刺激性
1519,1299-86-1,对眼睛、黏膜和上呼吸道有刺激性
1520,1303-28-2,砷及其化合物对体内酶蛋白的巯基有特殊亲和力急性中毒：口服致急性胃肠炎、休克、周围神经病、贫血及中毒性肝病，心肌炎等
1521,1303-28-2,可因呼吸中枢麻痹而死亡
1522,1303-28-2,短期内大量吸入可致咳嗽、胸痛、呼吸困难、头痛、头晕等
1523,1303-28-2,消化道症状较轻，其他症状似口服
1524,1303-28-2,重者可致死
1525,1303-28-2,慢性中毒：长期接触较高浓度粉尘引起慢性中毒，主要有神经衰弱综合征，多发性神经病，肝损害，鼻炎，鼻中隔穿孔，支气管炎等
1526,1303-28-2,砷和砷化合物为对人致癌物，可引起肺癌、皮肤癌
1527,1303-39-5,高毒
1528,1303-39-5,吸入、摄入会中毒，引起吞咽困难、腹痛、突发性呕吐、休克、麻痹等症状
1529,1303-39-5,砷化合物属致癌物
1530,1303-39-5,受热分解释出有毒的砷烟雾
1531,1304-28-5,急性中毒：经口中毒出现流涎、食道灼痛、胃痛、恶心、呕吐、腹泻、血压下降、肌束颤动、惊厥、出冷汗、步态不稳、视力障碍、言语模糊、呼吸困难、头晕、耳鸣等
1532,1304-28-5,重症者出现四肢瘫痪
1533,1304-28-5,血钾明显降低，且伴有呼吸麻痹及严重心律紊乱，可在1～2天内死亡
1534,1304-29-6,口服后急性中毒表现为恶心、呕吐、腹痛、腹泻、脉缓、进行性肌麻痹、心律紊乱、血钾明显降低等
1535,1304-29-6,可致死
1536,1304-29-6,本品粉尘对呼吸道有刺激性
1537,1304-29-6,眼及皮肤接触有强烈刺激性，甚至造成灼伤
1538,1304-29-6,慢性影响：长期接触钡化合物的工人，可有无力、气促、流涎、口腔黏膜肿胀糜烂、鼻炎、结膜炎、腹泻、心动过速、血压增高、脱发等
1539,1304-56-9,误服或吸尘会中毒
1540,1304-56-9,急性中毒可致支气管炎、支气管周围炎及支气管肺炎等
1541,1304-56-9,可引起皮炎、皮肤溃汤和皮肤肉芽肿
1542,1304-56-9,慢性接触可引起肺内弥漫性肉芽肿性病变
1543,1305-79-9,本品粉尘对眼、鼻、喉及呼吸道有刺激性
1544,1305-79-9,口服刺激胃肠道，发生恶心、呕吐等
1545,1305-79-9,长期反复接触引起皮肤及眼部损害
1546,1306-24-7,受热、遇酸可产生剧毒的硒化氢气体，能刺激眼和呼吸道，引起肺炎
1547,1306-24-7,接触可引起恶心、头痛和呕吐
1548,1306-24-7,误服损害消化道
1549,1306-24-7,皮肤接触引起皮炎
1550,1306-24-7,慢性影响：肾和肺脏损害
1551,1309-60-0,损害造血、神经、消化系统及肾脏
1552,1309-60-0,职业中毒主要为慢性
1553,1309-60-0,神经系统主要表现为神经衰弱综合征、周围神经病（以运动功能受累较明显），重者出现铅中毒性脑病
1554,1309-60-0,消化系统表现有齿龈铅线、食欲不振、恶心、腹胀、腹泻或便秘，腹绞痛见于中度及较重病例
1555,1309-60-0,造血系统损害出现卟啉代谢障碍、贫血等
1556,1309-60-0,短时接触大剂量可发生急性或亚急性铅中毒，表现类似重症慢性铅中毒
1557,131-52-2,本品对眼和呼吸道有刺激性
1558,131-52-2,急性中毒主要因皮肤接触或误饮污染的水引起
1559,131-52-2,症状有乏力、头昏、恶心、呕吐、腹泻等；严重者体温高达４０℃以上，大汗淋漓、口渴、呼吸增快、心动过速、烦躁不安、肌肉强直性痉挛、血压下降、昏迷，可致死
1560,131-52-2,皮肤接触可致接触性皮炎
1561,131-52-2,国外资料报道长期接触者可有周围神经病
1562,131-73-7,在生产、使用和处理本品过程中，可经皮肤吸收引起中毒
1563,131-73-7,本品属芳香基氨基化合物，该类物质可引起高铁血红蛋白血症
1564,131-74-8,可引起结膜炎、鼻炎、丘疹、红斑性皮炎
1565,1310-58-3,本品具有强腐蚀性
1566,1310-58-3,粉尘刺激眼和呼吸道，腐蚀鼻中隔；皮肤和眼直接接触可引起灼伤；误服可造成消化道灼伤，黏膜糜烂、出血，休克
1567,1310-73-2,本品有强烈刺激和腐蚀性
1568,1310-73-2,粉尘刺激眼和呼吸道，腐蚀鼻中隔；皮肤和眼直接接触可引起灼伤；误服可造成消化道灼伤，黏膜糜烂、出血和休克
1569,1310-82-3,本品具有强烈的腐蚀性，能造成严重灼伤
1570,1310-82-3,吸入粉尘、烟雾或液体能引起化学性上呼吸道炎、肺炎及肺水肿等
1571,1312-73-8,本品粉尘对眼、鼻、喉有刺激性，接触后引起喷嚏、咳嗽和喉炎等
1572,1312-73-8,高浓度吸入引起肺水肿
1573,1312-73-8,眼和皮肤接触可致灼伤
1574,1312-73-8,慢性影响：长期接触可发生鼻黏膜溃疡
1575,13122-18-4,Inhalation:May cause severe injury or burns.Skin:See Inhalation.Eyes:See Inhalation.
1576,1313-60-6,本品粉尘刺激眼和呼吸道，腐蚀鼻中隔；皮肤直接接触可引起灼伤；误服可造成消化道灼伤
1577,1313-82-2,本品在胃肠道中能分解出硫化氢，口服后能引起硫化氢中毒
1578,1313-82-2,对皮肤和眼睛有腐蚀作用
1579,13138-45-9,吸入本品粉尘对呼吸道有刺激性，个别敏感者可引起哮喘、支气管炎等
1580,13138-45-9,大量口服刺激胃肠道，引起呕吐、腹泻
1581,13138-45-9,粉尘对眼有刺激性，水溶液可引起灼伤
1582,13138-45-9,皮肤接触可引起皮炎
1583,13138-45-9,慢性影响：有皮炎、哮喘、慢性支气管炎、慢性鼻炎等
1584,1314-18-7,本品粉尘对眼睛、皮肤和呼吸系统有刺激作用
1585,1314-18-7,水溶液为碱性腐蚀液体，对皮肤黏膜有刺激性
1586,1314-22-3,吸入本品粉尘，对鼻、喉及呼吸道有刺激性，引起咳嗽和胸部不适
1587,1314-22-3,对眼有刺激性
1588,1314-22-3,口服引起恶心、呕吐
1589,1314-22-3,反复接触其粉尘对皮肤有刺激性
1590,1314-24-5,误服或吸入会中毒
1591,1314-24-5,对眼睛、皮肤、粘膜有强刺激性和腐蚀性
1592,1314-32-5,误服出现急性胃肠道刺激症状，腹痛、恶心、呕吐，几天后出现周围神经炎表现，同时出现心、肝及肾损害
1593,1314-32-5,毛发脱落是铊中毒的特征表现
1594,1314-32-5,还可引起皮炎
1595,1314-34-7,吸入后引起咳嗽、胸痛、咳血和口中金属味
1596,1314-34-7,对眼有刺激性，有催泪作用，对皮肤有刺激性
1597,1314-34-7,口服引起胃部不适、腹痛、呕吐、虚弱
1598,1314-34-7,中毒者舌苔呈墨绿色
1599,1314-41-6,铅及其化合物损害造血、神经、消化系统及肾脏
1600,1314-41-6,职业中毒主要为慢性
1601,1314-41-6,神经系统主要表现为神经衰弱综合征、周围神经病(以运动功能受累较明显)，重者出现铅中毒性脑病
1602,1314-41-6,消化系统表现有齿龈铅线、食欲不振、恶心、腹胀、腹泻或便秘；腹绞痛见于中度及重度中毒病例
1603,1314-41-6,造血系统损害出现卟啉代谢障碍、贫血等
1604,1314-41-6,短时大量接触可发生急性或亚急性中毒，表现类似重症慢性铅中毒
1605,1314-41-6,对肾脏损害多见于急性、亚急性或较重慢性病例
1606,1314-56-3,本品遇水生成磷酸；有时含游离磷而引起磷中毒急性中毒：短期大量吸入引起眼及上呼吸道刺激症状，出现咽喉炎、支气管炎
1607,1314-56-3,严重者发生喉头水肿致窒息，引起肺炎或肺水肿
1608,1314-56-3,口服发生恶心、呕吐、腹痛、腹泻；数日内出现黄疸及肝肿大，或出现急性肝坏死；严重病例，数小时内患者由兴奋转入抑制，发生昏迷、循环衰竭，以致死亡
1609,1314-56-3,可使组织脱水，对皮肤有刺激腐蚀作用
1610,1314-56-3,慢性中毒：有呼吸道刺激症状及磷毒性牙齿、牙龈和下颌骨损害
1611,1314-60-9,对黏膜有刺激作用，可引起内脏损害急性中毒：接触较高浓度可引起化学性结膜炎、鼻炎、咽炎、喉炎、气管炎、肺炎
1612,1314-60-9,口服引起胃肠炎
1613,1314-60-9,全身症状有疲乏无力、头晕、头痛、四肢肌肉酸痛
1614,1314-60-9,可引起心、肝、肾损害
1615,1314-60-9,慢性影响：常出现头痛、头晕、易兴奋、失眠、乏力、胃肠功能紊乱、黏膜刺激症状，可引起鼻中隔穿孔
1616,1314-60-9,对皮肤有明显的刺激作用和致敏作用
1617,1314-60-9,在锑冶炼过程中可引起锑尘肺
1618,1314-80-3,对眼、呼吸道及皮肤有刺激性
1619,1314-80-3,接触者出现头痛、头晕、胸闷、乏力、恶心、呕吐、流泪、咽干、咳嗽、咯痰等
1620,1315-09-9,皮肤经常接触可引起皮炎
1621,1315-09-9,如遇稀硝酸，易分解散发出剧毒的硒化氢气体
1622,1315-09-9,对眼睛、呼吸道粘膜有刺激作用
1623,1317-36-8,铅及其化合物损害造血、神经、消化系统及肾脏
1624,1317-36-8,职业中毒主要为慢性
1625,1317-36-8,神经系统主要表现为神经衰弱综合征，周围神经病(以运动功能受累较明显)，重者出现铅中毒性脑病
1626,1317-36-8,消化系统表现有齿龈铅线、食欲不振、恶心、腹胀、腹泻或便秘；腹绞痛见于中度及重度中毒病例
1627,1317-36-8,造血系统损害出现卟啉代谢障碍、贫血等
1628,1317-36-8,短时大量接触可发生急性或亚急性中毒，表现类似重症慢性铅中毒
1629,1317-36-8,对肾脏损害多见于急性、亚急性或较重慢性病例
1630,1327-53-3,主要影响神经系统和毛细血管通透性，对皮肤和黏膜有刺激作用
1631,1327-53-3,急性中毒：口服中毒出现恶心、呕吐、腹痛、“米泔”样大便(有时混有血液)、四肢痛性痉挛、少尿、无尿、昏迷、抽搐，因呼吸麻痹而死亡
1632,1327-53-3,可在急性中毒的1～3周内发生周围神经病
1633,1327-53-3,可发生中毒性心肌炎、肝炎
1634,1327-53-3,大量吸入亦可引起急性中毒，但消化道症状轻，指(趾)甲上出现米氏纹
1635,1327-53-3,慢性中毒：消化系统症状，肝肾损害，皮肤色素沉着、角化过度或疣状增生，以及多发性周围神经炎
1636,1327-53-3,可致肺癌、皮肤癌
1637,133-14-2,对眼睛、皮肤和粘膜有刺激作用
1638,133-14-2,受热分解释放出氯气
1639,1330-20-7,"Inhalation:Inhalation of high concentrations may cause central nervous system effects characterized by headache, dizziness, unconsciousness and coma. Inhalation of vapor may cause respiratory tract irritation. Prolonged exposure may result in dizziness and general weakness. Irritation may lead to chemical pneumonitis and pulmonary edema.Skin:Exposure may cause irritation characterized by redness, dryness, and inflammation. Prolonged and/or repeated contact may cause defatting of the skin and dermatitis.Eyes:Causes severe eye irritation.Ingestion:May cause central nervous system depression, kidney damage, and liver damage. Symptoms may include: headache, excitement, fatigue, nausea, vomiting, stupor, and coma. Causes gastrointestinal irritation with nausea, vomiting and diarrhea. Aspiration of material into the lungs may cause chemical pneumonitis, which may be fatal."
1640,1330-78-5,本品引起中毒性神经病，对体内假性胆碱酯酶有抑制作用，但不抑制真性胆碱酯酶
1641,1330-78-5,急性中毒：大量口服先出现恶心、呕吐、腹泻，后出现肌肉疼痛，继之迅即出现肢体发麻和肌无力，可引起足、腕下垂
1642,1330-78-5,损害以运动神经为主
1643,1330-78-5,重者可有咽喉肌肉、眼肌和呼吸肌麻痹
1644,1330-78-5,可因呼吸麻痹而致死
1645,1330-78-5,亦可经皮肤、呼吸道吸收
1646,1330-78-5,慢性中毒：长期小量接触邻位磷酸三甲苯酯，可出现与急性中毒相同的神经系统损害
1647,13327-32-7,短期大量接触可引起急性铍病，主要表现为急性化学性支气管炎或肺炎
1648,13327-32-7,肝脏往往肿大，有压痛，甚至出现黄疸
1649,13327-32-7,长期接触小量铍可发生慢性铍病
1650,13327-32-7,除无力、消瘦、食欲不振外，常有胸闷、胸痛、气短和咳嗽
1651,13327-32-7,X线肺部检查分为三型：颗粒型、网织型和结节型
1652,13327-32-7,晚期可发生右心衰竭
1653,13327-32-7,皮肤病变有皮炎、溃疡及皮肤肉芽肿
1654,1333-74-0,本品在生理学上是惰性气体，仅在高浓度时，由于空气中氧分压降低才引起窒息
1655,1333-74-0,在很高的分压下，氢气可呈现出麻醉作用
1656,1333-82-0,急性中毒：吸入后可引起急性呼吸道刺激症状、鼻出血、声音嘶哑、鼻黏膜萎缩，有时出现哮喘和紫绀
1657,1333-82-0,重者可发生化学性肺炎
1658,1333-82-0,口服可刺激和腐蚀消化道，引起恶心、呕吐、腹痛、血便等；重者出现呼吸困难、紫绀、休克、肝损害及急性肾功能衰竭等
1659,1333-82-0,慢性影响：有接触性皮炎、铬溃疡、鼻炎、鼻中隔穿孔及呼吸道炎症等
1660,1333-82-0,六价铬为对人的确认致癌物
1661,1333-83-1,粉尘对皮肤、眼、呼吸道有强烈刺激性，吸入后引起呼吸道粘膜组织破坏和严重肺炎，重者可致死
1662,1333-83-1,口服灼伤消化道，大量口服可致死
1663,1335-31-5,本品剧毒
1664,1335-31-5,与酸类发生反应，会散发出剧毒的氰化氢气体
1665,1335-31-5,误服，吸入或皮肤接触均会严重中毒，出现氰化物、汞的中毒表现
1666,1335-88-2,本品可引起中毒性肝炎，出现疲劳、尿色加深、黄疸等
1667,1335-88-2,长期接触可引起痤疮
1668,1336-21-6,吸入后对鼻、喉和肺有刺激性，引起咳嗽、气短和喘息等；重者发生喉头水肿、肺水肿及心、肝、肾损害
1669,1336-21-6,溅入眼内可造成灼伤
1670,1336-21-6,皮肤接触可致灼伤
1671,1336-21-6,口服灼伤消化道
1672,1336-21-6,慢性影响：反复低浓度接触其蒸气，可引起支气管炎；可致皮炎
1673,1338-23-4,刺激粘膜，使高铁血红蛋白形成
1674,1338-23-4,本品蒸气或雾对呼吸道有强烈刺激性
1675,1338-23-4,吸入后可引起头痛、嗜睡、恶心、呕吐等
1676,1338-23-4,蒸气对眼有刺激性；液体或雾可造成严重眼损害，甚至可导致失明
1677,1338-23-4,皮肤接触可引起灼伤
1678,1338-23-4,口服强烈刺激消化道，引起腹痛、恶心、呕吐、头晕、呼吸困难、流涎和抑郁
1679,1338-23-4,大剂量口服引起紫绀和死亡
1680,134-32-7,本品有轻微的高铁血红蛋白形成作用，吸入后有可能引起紫绀
1681,134-32-7,对眼有刺激性
1682,134-32-7,对皮肤有弱刺激作用
1683,134-32-7,长期接触含有已知致癌剂β-萘胺的本品，有可能引起膀胱癌
1684,13400-13-0,未见铯引起职业或非职业中毒的报道
1685,13400-13-0,长期接触氟化物可致氟骨症
1686,1341-49-7,对皮肤、粘膜有刺激性
1687,13446-09-8,对皮肤、黏膜有刺激性
1688,13446-09-8,热解能释放出有毒烟雾
1689,13446-11-2,本品粉尘有刺激性
1690,13446-11-2,受热易分解释出有毒气体：氨、氮氧化物和碘
1691,13446-48-5,具刺激作用
1692,13446-48-5,误服可引起高铁血红蛋白症
1693,13446-48-5,受热分解释出氮氧化物和氨烟雾
1694,13446-74-7,未见铷引起职业或非职业中毒的报道
1695,13446-74-7,长期接触氟化物可致氟骨症
1696,1345-04-6,接触锑及其化合物可致眼结膜和呼吸道刺激，发生支气管炎，较重者出现胸痛、呼吸困难、肺炎
1697,1345-04-6,口服中毒有急性胃肠炎，肝、肾及心肌损害
1698,1345-04-6,慢性影响：长期接触低浓度锑化合物粉尘可致鼻炎、鼻中隔穿孔、支气管、口腔炎、消化功能障碍
1699,1345-04-6,可致皮肤损害
1700,13451-08-6,有毒
1701,13451-08-6,对皮肤、眼睛和粘膜有强刺激性和腐蚀性
1702,13451-08-6,吸入会中毒
1703,13453-30-0,粉尘对眼睛、粘膜有刺激作用
1704,13453-30-0,吸入、摄入或经皮吸收后均可引起中毒
1705,13453-30-0,可引起心、肝、肾损害
1706,13453-30-0,全身毛发脱落是其中毒的特征，但眉毛内侧1/3常不受累
1707,13455-24-8,本品具有腐蚀性
1708,13463-40-6,剧毒
1709,13463-40-6,接触引起眩晕、头痛、呼吸困难和呕吐
1710,13463-40-6,脱离现场吸入新鲜空气后可缓解，但12～36小时后又可出现呼吸困难、急性肺水肿等
1711,13465-95-7,本品对呼吸道、眼及皮肤有刺激性
1712,13465-95-7,口服引起流涎、呕吐、腹部痉挛性疼痛、脉缓、血压升高、血钾降低，胃肠道可能发生出血，随之发生进行性肌麻痹和心肌损害
1713,13465-95-7,重者可死于心律紊乱和呼吸肌麻痹
1714,13470-01-4,对皮肤、黏膜有刺激作用
1715,13477-00-4,属可溶性钡盐，有较高毒性
1716,13477-00-4,吸入后刺激上呼吸道
1717,13477-00-4,眼和皮肤接触有刺激性
1718,13477-00-4,口服可引起腹痛、恶心、呕吐、腹泻、脉缓、面色苍白、紫绀、呼吸困难、流涎、惊厥、昏迷、胃肠出血、进行性肌麻痹、心律紊乱等
1719,13477-00-4,可致死
1720,13477-00-4,慢性影响：长期接触钡化合物的工人，可有无力、气促、流涎、口腔黏膜肿胀、糜烂、鼻炎、结膜炎、腹泻、心动过速、血压增高、脱发等
1721,13477-36-6,可能具有强刺激性
1722,13494-98-9,有毒
1723,13494-98-9,在高温下能放出氮氧化物
1724,13494-98-9,目前，工业上未见有钇中毒的病例报告
1725,135-01-3,蒸气或雾对眼、黏膜和上呼吸道有刺激性
1726,135-01-3,对皮肤有刺激性
1727,135-01-3,动物实验观察到急性中毒有麻醉作用和神经-肌肉兴奋性增强
1728,135-88-6,对眼睛、皮肤、黏膜和上呼吸道有刺激性
1729,135-88-6,对皮肤有致敏作用
1730,135-98-8,吸入、口服或经皮肤吸收对身体有害
1731,135-98-8,具有刺激性
1732,13548-38-4,吸入有害，刺激和灼伤呼吸道
1733,13548-38-4,对眼和皮肤有刺激性，可致灼伤
1734,13548-38-4,对皮肤有致敏性
1735,13548-38-4,口服灼伤消化道
1736,13548-38-4,受热分解放出氮氧化物和铬烟雾
1737,13597-99-4,短期大量接触，可发生急性铍痛
1738,13597-99-4,主要表现为急性化学性肺炎
1739,13597-99-4,肝脏往往肿大，有压痛，甚至出现黄疸
1740,13597-99-4,口服可溶性铍盐可引起胃黏膜出血、坏死
1741,13597-99-4,进入眼内可致结膜炎，重者可致灼伤
1742,13597-99-4,长期接触小量铍可发生慢性铍病
1743,13597-99-4,除有无力、消瘦、食欲不振外，常有胸闷、胸痛、气短和咳嗽
1744,13597-99-4,X线检查分为3型：颗粒型、网织型和结节型
1745,13597-99-4,晚期可发生右心衰竭
1746,13597-99-4,皮肤病变有皮炎、溃疡及皮肤肉芽肿
1747,13598-36-2,本品对呼吸道有刺激性
1748,13598-36-2,眼接触可致灼伤，造成永久性损害
1749,13598-36-2,皮肤接触可致灼伤
1750,13637-63-3,本品对眼睛、鼻和粘膜有强烈刺激和腐蚀作用
1751,13637-63-3,遇潮气或水释出刺激性腐蚀性的氟化氢烟雾
1752,13637-76-8,本品的毒性与其他铅化合物相似，可造成造血系统、神经系统及肾脏损害
1753,13637-76-8,对皮肤和黏膜有强刺激性
1754,13682-73-0,吸入、摄入或经皮吸收均有毒
1755,13682-73-0,口服剧毒
1756,13682-73-0,非骤死者先出现感觉无力、头痛、眩晕、恶心、呼吸困难等，随后面色苍白、抽搐、失去知觉，呼吸停止而死亡
1757,137-06-4,蒸气或雾对眼、粘膜、上呼吸道和皮肤有刺激性
1758,137-06-4,接触后引起头痛、恶心、呕吐
1759,137-07-5,有毒，并有腐蚀性
1760,137-07-5,对角质有溶解作用，能使蛋白质变性
1761,137-07-5,吸收进入体内，可形成高铁血红蛋白而致紫绀
1762,137-30-4,对眼及上呼吸道有强烈刺激性，接触或从事生产本品的工人可有鼻衄、咳嗽、咯血性痰、胸闷、气急、肺散在湿罗音等表现
1763,137-43-9,吸入、摄入或经皮肤吸收对身体有害
1764,137-43-9,对眼和皮肤有刺激性
1765,13718-59-7,本品属高毒类
1766,13718-59-7,急性中毒时可见：上呼吸道刺激症状、头痛、眩晕、全身虚弱、恶心、呕吐、呼出气和皮肤有大蒜味等
1767,13718-59-7,皮肤接触后可引起皮炎
1768,13746-89-9,对眼睛、皮肤、粘膜有刺激作用
1769,13746-89-9,工业上接触尚未见有中毒病例
1770,13746-89-9,在高温下可分解，释放出剧毒的氮氧化物气体，吸入后可引起中毒
1771,13765-03-2,对皮肤、黏膜有刺激作用
1772,13770-61-1,本品对眼睛、皮肤、粘膜和上呼吸道有刺激作用
1773,13770-61-1,目前尚未见铟及其化合物的职业中毒报道
1774,13779-41-4,本品为腐蚀性刺激物，误服或皮肤吸收会中毒
1775,13780-03-5,有毒
1776,13780-03-5,误服会中毒
1777,13780-03-5,蒸气刺激眼睛和粘膜
1778,13780-03-5,液体能腐蚀眼睛、皮肤和粘膜
1779,13780-03-5,受热分解放出氧化硫烟雾
1780,13780-06-8,亚硝酸盐可引起高铁血红蛋白血症
1781,138-86-3,液体对眼睛和皮肤有刺激性，对皮肤有致敏性
1782,138-86-3,食入刺激胃肠道，大量食入有可能引起蛋白尿和血尿
1783,138-89-6,吸入、摄入或经皮肤吸收后对身体有害，有刺激作用
1784,13814-96-5,对眼睛、粘膜和皮肤有刺激及腐蚀性，可致眼和皮肤灼伤
1785,13814-96-5,在体内影响多种酶的活性及糖代谢，引起钙磷代谢紊乱及氟骨症
1786,13814-96-5,长期接触可致铅中毒
1787,13863-41-7,本品在10℃时分解放出剧毒、腐蚀性的氯和溴烟雾
1788,13863-41-7,吸潮或遇水反应放出有毒烟雾
1789,13863-41-7,对皮肤、眼睛和黏膜有强烈的刺激性和腐蚀性
1790,139-02-6,本品具有强烈刺激性
1791,139-02-6,吸入后可引起肺水肿
1792,139-02-6,眼和皮肤接触造成灼伤
1793,139-02-6,口服腐蚀消化道，造成严重灼伤，出现腹痛、呕吐、血样便
1794,139-02-6,中毒后可继发肾损害
1795,13952-84-6,吸入、口服或经皮肤吸收对身体有害
1796,13952-84-6,对眼睛、皮肤、粘膜及呼吸道有强烈刺激性
1797,13952-84-6,吸入后可因喉、支气管的痉挛、水肿，化学性肺炎、肺水肿而致死
1798,13952-84-6,长时间接触可引起局部严重刺激或灼伤
1799,13967-90-3,吸入后刺激上呼吸道
1800,13967-90-3,眼和皮肤接触有刺激性
1801,13967-90-3,口服引起腹痛、恶心、呕吐、腹泻、脉缓、面色苍白、紫绀、呼吸困难、流涎、惊厥、昏迷、胃肠出血、进行性肌麻痹、心律紊乱等
1802,13967-90-3,可致死
1803,13967-90-3,溴酸盐可引起高铁血红蛋白血症和肝损害
1804,13967-90-3,慢性影响：长期接触钡化合物的工人，可有无力、气促、流涎、口腔黏膜肿胀糜烂、鼻炎、结膜炎、腹泻、心动过速、血压增高、脱发等
1805,1397-94-0,吞咽致命
1806,1397-94-0,  不会引起皮肤刺激感，但可能致命
1807,1397-94-0,  吸入致命
1808,140-29-4,毒作用与氢氰酸相似，并有局部刺激作用
1809,140-29-4,吸入后出现头痛、头晕、恶心、呕吐、倦睡、上呼吸道刺激、神志丧失等，可引起死亡
1810,140-29-4,对眼和皮肤有刺激性
1811,140-29-4,可经皮服迅速吸收
1812,140-29-4,口服可有消化道刺激症状
1813,140-80-7,摄入、吸入或经皮肤吸收后对身体有害
1814,140-80-7,具腐蚀性
1815,140-80-7,吸入可引起喉和支气管的痉挛、炎症和水肿，化学性肺炎、肺水肿
1816,140-88-5,对呼吸道有刺激性，高浓度吸入引起肺水肿
1817,140-88-5,有麻醉作用
1818,140-88-5,眼直接接触可致灼伤
1819,140-88-5,对皮肤有明显的刺激和致敏作用
1820,140-88-5,口服强烈刺激口腔及消化道，可出现头晕、呼吸困难、神经过敏
1821,1402-38-6,吞咽致命
1822,1402-38-6,  接触不会引起皮肤刺激感，但可能致命
1823,1402-38-6,  吸入致命
