,CAS,吸入
1787,111-71-7,迅速脱离现场至空气新鲜处
1788,111-71-7,保持呼吸道通畅
1789,111-71-7,如呼吸困难，给输氧
1790,111-71-7,呼吸、心跳停止，立即进行心肺复苏术
1791,111-71-7,就医
1792,111-76-2,脱离现场至空气新鲜处
1793,111-76-2,如呼吸困难，给输氧
1794,111-76-2,就医
1795,111-78-4,迅速脱离现场至空气新鲜处
1796,111-78-4,保持呼吸道通畅
1797,111-78-4,如呼吸困难，给输氧
1798,111-78-4,如呼吸停止，立即进行人工呼吸
1799,111-78-4,就医
1800,111-88-6,脱离现场至空气新鲜处
1801,111-88-6,如呼吸困难，给输氧
1802,111-88-6,就医
1803,111-92-2,迅速脱离现场至空气新鲜处
1804,111-92-2,保持呼吸道通畅
1805,111-92-2,如呼吸困难，给输氧
1806,111-92-2,呼吸、心跳停止，立即进行心肺复苏术
1807,111-92-2,就医
1808,111-94-4,迅速脱离现场至空气新鲜处
1809,111-94-4,保持呼吸道通畅
1810,111-94-4,如呼吸困难，给输氧
1811,111-94-4,如呼吸停止，立即进行人工呼吸
1812,111-94-4,就医
1813,1118-14-5,迅速脱离现场至空气新鲜处
1814,1118-14-5,保持呼吸道通畅
1815,1118-14-5,如呼吸困难，给输氧
1816,1118-14-5,如呼吸停止，立即进行人工呼吸
1817,1118-14-5,就医
1818,112-04-9,迅速脱离现场至空气新鲜处
1819,112-04-9,保持呼吸道通畅
1820,112-04-9,如呼吸困难，给输氧
1821,112-04-9,如呼吸停止，立即进行人工呼吸
1822,112-04-9,就医
1823,112-16-3,迅速脱离现场至空气新鲜处
1824,112-16-3,保持呼吸道通畅
1825,112-16-3,如呼吸困难，给输氧
1826,112-16-3,如呼吸停止，立即进行人工呼吸
1827,112-16-3,就医
1828,112-24-3,迅速脱离现场至空气新鲜处
1829,112-24-3,保持呼吸道通畅
1830,112-24-3,如呼吸困难，给输氧
1831,112-24-3,呼吸、心跳停止，立即进行心肺复苏术
1832,112-24-3,就医
1833,112-55-0,迅速脱离现场至空气新鲜处
1834,112-55-0,保持呼吸道通畅
1835,112-55-0,如呼吸困难，给输氧
1836,112-55-0,呼吸、心跳停止，立即进行心肺复苏术
1837,112-55-0,就医
1838,112-57-2,迅速脱离现场至空气新鲜处
1839,112-57-2,保持呼吸道通畅
1840,112-57-2,如呼吸困难，给输氧
1841,112-57-2,如呼吸停止，立即进行人工呼吸
1842,112-57-2,就医
1843,112-64-1,迅速脱离现场至空气新鲜处
1844,112-64-1,保持呼吸道通畅
1845,112-64-1,如呼吸困难，给输氧
1846,112-64-1,如呼吸停止，立即进行人工呼吸
1847,112-64-1,就医
1848,112-76-5,迅速脱离现场至空气新鲜处
1849,112-76-5,保持呼吸道通畅
1850,112-76-5,如呼吸困难，给输氧
1851,112-76-5,如呼吸停止，立即进行人工呼吸
1852,112-76-5,就医
1853,112-96-9,迅速脱离现场至空气新鲜处
1854,112-96-9,保持呼吸道通畅
1855,112-96-9,如呼吸困难，给输氧
1856,112-96-9,如呼吸停止，立即进行人工呼吸
1857,112-96-9,就医
1858,1126-78-9,迅速脱离现场至空气新鲜处
1859,1126-78-9,保持呼吸道通畅
1860,1126-78-9,如呼吸困难，给输氧
1861,1126-78-9,如呼吸停止，立即进行人工呼吸
1862,1126-78-9,就医
1863,115-07-1,迅速脱离现场至空气新鲜处
1864,115-07-1,保持呼吸道通畅
1865,115-07-1,如呼吸困难，给输氧
1866,115-07-1,呼吸、心跳停止，立即进行心肺复苏术
1867,115-07-1,就医
1868,115-09-3,迅速脱离现场至空气新鲜处
1869,115-09-3,保持呼吸道通畅
1870,115-09-3,如呼吸困难，给输氧
1871,115-09-3,如呼吸停止，立即进行人工呼吸
1872,115-09-3,就医
1873,115-10-6,迅速脱离现场至空气新鲜处
1874,115-10-6,保持呼吸道通畅
1875,115-10-6,如呼吸困难，给输氧
1876,115-10-6,呼吸、心跳停止，立即进行心肺复苏术
1877,115-10-6,就医
1878,115-11-7,迅速脱离现场至空气新鲜处
1879,115-11-7,保持呼吸道通畅
1880,115-11-7,如呼吸困难，给输氧
1881,115-11-7,呼吸、心跳停止，立即进行心肺复苏术
1882,115-11-7,就医
1883,115-17-3,迅速脱离现场至空气新鲜处
1884,115-17-3,保持呼吸道通畅
1885,115-17-3,如呼吸困难，给输氧
1886,115-17-3,如呼吸停止，立即进行人工呼吸
1887,115-17-3,就医
1888,115-19-5,脱离现场至空气新鲜处
1889,115-19-5,如呼吸困难，给输氧
1890,115-19-5,就医
1891,115-21-9,迅速脱离现场至空气新鲜处
1892,115-21-9,保持呼吸道通畅
1893,115-21-9,如呼吸困难，给输氧
1894,115-21-9,呼吸、心跳停止，立即进行心肺复苏术
1895,115-21-9,就医
1896,115-25-3,迅速脱离现场至空气新鲜处
1897,115-25-3,保持呼吸道通畅
1898,115-25-3,如呼吸困难，给输氧
1899,115-25-3,如呼吸停止，立即进行人工呼吸
1900,115-25-3,就医
1901,115-26-4,迅速脱离现场至空气新鲜处
1902,115-26-4,保持呼吸道通畅
1903,115-26-4,如呼吸困难，给输氧
1904,115-26-4,如呼吸停止，立即进行人工呼吸
1905,115-26-4,就医
1906,115-29-7,迅速脱离现场至空气新鲜处
1907,115-29-7,保持呼吸道通畅
1908,115-29-7,如呼吸困难，给输氧
1909,115-29-7,如呼吸停止，立即进行人工呼吸
1910,115-29-7,就医
1911,115-31-1,迅速脱离现场至空气新鲜处
1912,115-31-1,保持呼吸道通畅
1913,115-31-1,如呼吸困难，给输氧
1914,115-31-1,如呼吸停止，立即进行人工呼吸
1915,115-31-1,就医
1916,115-80-0,脱离现场至空气新鲜处
1917,115-80-0,如呼吸困难，给输氧
1918,115-80-0,就医
1919,115-90-2,迅速脱离现场至空气新鲜处
1920,115-90-2,保持呼吸道通畅
1921,115-90-2,如呼吸困难，给输氧
1922,115-90-2,如呼吸停止，立即进行人工呼吸
1923,115-90-2,就医
1924,116-06-3,迅速脱离现场至空气新鲜处
1925,116-06-3,保持呼吸道通畅
1926,116-06-3,如呼吸困难，给输氧
1927,116-06-3,如呼吸停止，立即进行人工呼吸
1928,116-06-3,就医
1929,116-14-3,迅速脱离现场至空气新鲜处
1930,116-14-3,保持呼吸道通畅
1931,116-14-3,如呼吸困难，给输氧
1932,116-14-3,呼吸、心跳停止，立即进行心肺复苏术
1933,116-14-3,就医
1934,116-15-4,迅速脱离现场至空气新鲜处
1935,116-15-4,保持呼吸道通畅
1936,116-15-4,如呼吸困难，给输氧
1937,116-15-4,呼吸、心跳停止，立即进行心肺复苏术
1938,116-15-4,就医
1939,116-16-5,迅速脱离现场至空气新鲜处
1940,116-16-5,保持呼吸道通畅
1941,116-16-5,如呼吸困难，给输氧
1942,116-16-5,如呼吸停止，立即进行人工呼吸
1943,116-16-5,就医
1944,116-54-1,迅速脱离现场至空气新鲜处
1945,116-54-1,保持呼吸道通畅
1946,116-54-1,如呼吸困难，给输氧
1947,116-54-1,呼吸、心跳停止，立即进行心肺复苏术
1948,116-54-1,就医
1949,1165-48-6,迅速脱离现场至空气新鲜处
1950,1165-48-6,保持呼吸道通畅
1951,1165-48-6,如呼吸困难，给输氧
1952,1165-48-6,如呼吸停止，立即进行人工呼吸
1953,1165-48-6,就医
1954,117-08-8,"IMMEDIATELY leave the contaminated area; take deep breaths of fresh air. If symptoms (such as wheezing, coughing, shortness of breath, or burning in the mouth, throat, or chest) develop, call a physician and be prepared to transport the victim to a hospital. Provide proper respiratory protection to rescuers entering an unknown atmosphere. Whenever possible, Self-Contained Breathing Apparatus (SCBA) should be used."
1955,117-80-6,迅速脱离现场至空气新鲜处
1956,117-80-6,保持呼吸道通畅
1957,117-80-6,如呼吸困难，给输氧
1958,117-80-6,如呼吸停止，立即进行人工呼吸
1959,117-80-6,就医
1960,118-02-5,脱离现场至空气新鲜处
1961,118-44-5,迅速脱离现场至空气新鲜处
1962,118-44-5,保持呼吸道通畅
1963,118-44-5,如呼吸困难，给输氧
1964,118-44-5,如呼吸停止，立即进行人工呼吸
1965,118-44-5,就医
1966,118-69-4,迅速脱离现场至空气新鲜处
1967,118-69-4,保持呼吸道通畅
1968,118-69-4,如呼吸困难，给输氧
1969,118-69-4,呼吸、心跳停止，立即进行心肺复苏术
1970,118-69-4,就医
1971,118-74-1,迅速脱离现场至空气新鲜处
1972,118-74-1,保持呼吸道通畅
1973,118-74-1,如呼吸困难，给输氧
1974,118-74-1,呼吸、心跳停止，立即进行心肺复苏术
1975,118-74-1,就医
1976,118-96-7,迅速脱离现场至空气新鲜处
1977,118-96-7,保持呼吸道通畅
1978,118-96-7,如呼吸困难，给输氧
1979,118-96-7,呼吸、心跳停止，立即进行心肺复苏术
1980,118-96-7,就医
1981,119-26-6,迅速脱离现场至空气新鲜处
1982,119-26-6,保持呼吸道通畅
1983,119-26-6,如呼吸困难，给输氧
1984,119-26-6,呼吸、心跳停止，立即进行心肺复苏术
1985,119-26-6,就医
1986,119-27-7,迅速脱离现场至空气新鲜处
1987,119-27-7,保持呼吸道通畅
1988,119-27-7,如呼吸困难，给输氧
1989,119-27-7,呼吸、心跳停止，立即进行心肺复苏术
1990,119-27-7,就医
1991,119-32-4,迅速脱离现场至空气新鲜处
1992,119-32-4,保持呼吸道通畅
1993,119-32-4,如呼吸困难，给输氧
1994,119-32-4,如呼吸停止，立即进行人工呼吸
1995,119-32-4,就医
1996,119-33-5,迅速脱离现场至空气新鲜处
1997,119-33-5,保持呼吸道通畅
1998,119-33-5,如呼吸困难，给输氧
1999,119-33-5,如呼吸停止，立即进行人工呼吸
2000,119-33-5,就医
2001,119-90-4,迅速脱离现场至空气新鲜处
2002,119-90-4,保持呼吸道通畅
2003,119-90-4,如呼吸困难，给输氧
2004,119-90-4,呼吸、心跳停止，立即进行心肺复苏术
2005,119-90-4,就医
2006,119-93-7,迅速脱离现场至空气新鲜处
2007,119-93-7,保持呼吸道通畅
2008,119-93-7,如呼吸困难，给输氧
2009,119-93-7,呼吸、心跳停止，立即进行心肺复苏术
2010,119-93-7,就医
2011,120-12-7,迅速脱离现场至空气新鲜处
2012,120-12-7,保持呼吸道通畅
2013,120-12-7,如呼吸困难，给输氧
2014,120-12-7,呼吸、心跳停止，立即进行心肺复苏术
2015,120-12-7,就医
2016,120-22-9,迅速脱离现场至空气新鲜处
2017,120-22-9,保持呼吸道通畅
2018,120-22-9,如呼吸困难，给输氧
2019,120-22-9,如呼吸停止，立即进行人工呼吸
2020,120-22-9,就医
2021,120-36-5,迅速脱离现场至空气新鲜处
2022,120-36-5,保持呼吸道通畅
2023,120-36-5,如呼吸困难，给输氧
2024,120-36-5,如呼吸停止，立即进行人工呼吸
2025,120-36-5,就医
2026,120-71-8,脱离现场至空气新鲜处；呼吸困难时给输氧；呼吸停止时，立即进行人工呼吸；就医；静脉注射美蓝
2027,120-80-9,迅速脱离现场至空气新鲜处
2028,120-80-9,保持呼吸道通畅
2029,120-80-9,如呼吸困难，给输氧
2030,120-80-9,呼吸、心跳停止，立即进行心肺复苏术
2031,120-80-9,就医
2032,120-82-1,迅速脱离现场至空气新鲜处
2033,120-82-1,保持呼吸道通畅
2034,120-82-1,如呼吸困难，给输氧
2035,120-82-1,呼吸、心跳停止，立即进行心肺复苏术
2036,120-82-1,就医
2037,120-83-2,迅速脱离现场至空气新鲜处
2038,120-83-2,保持呼吸道通畅
2039,120-83-2,如呼吸困难，给输氧
2040,120-83-2,如呼吸停止，立即进行人工呼吸
2041,120-83-2,就医
2042,120-92-3,迅速脱离现场至空气新鲜处
2043,120-92-3,保持呼吸道通畅
2044,120-92-3,如呼吸困难，给输氧
2045,120-92-3,呼吸、心跳停止，立即进行心肺复苏术
2046,120-92-3,就医
2047,12001-85-3,迅速脱离现场至空气新鲜处
2048,12001-85-3,保持呼吸道通畅
2049,12001-85-3,如呼吸困难，给输氧
2050,12001-85-3,如呼吸停止，立即进行人工呼吸
2051,12001-85-3,就医
2052,12002-03-8,迅速脱离现场至空气新鲜处
2053,12002-03-8,保持呼吸道通畅
2054,12002-03-8,如呼吸困难，给输氧
2055,12002-03-8,如呼吸停止，立即进行人工呼吸
2056,12002-03-8,就医
2057,12013-55-7,迅速脱离现场至空气新鲜处
2058,12013-55-7,保持呼吸道通畅
2059,12013-55-7,如呼吸困难，给输氧
2060,12013-55-7,如呼吸停止，立即进行人工呼吸
2061,12013-55-7,就医
2062,12031-80-0,迅速脱离现场至空气新鲜处
2063,12031-80-0,保持呼吸道通畅
2064,12031-80-0,如呼吸困难，给输氧
2065,12031-80-0,如呼吸停止，立即进行人工呼吸
2066,12031-80-0,就医
2067,12037-82-0,脱离现场至空气新鲜处
2068,12037-82-0,如呼吸困难，给输氧
2069,12037-82-0,就医
2070,12057-74-8,迅速脱离现场至空气新鲜处
2071,12057-74-8,保持呼吸道通畅
2072,12057-74-8,如呼吸困难，给输氧
2073,12057-74-8,如呼吸停止，立即进行人工呼吸
2074,12057-74-8,就医
2075,12058-85-4,迅速脱离现场至空气新鲜处
2076,12058-85-4,保持呼吸道通畅
2077,12058-85-4,如呼吸困难，给输氧
2078,12058-85-4,如呼吸停止，立即进行人工呼吸
2079,12058-85-4,就医
2080,121-14-2,迅速脱离现场至空气新鲜处
2081,121-14-2,保持呼吸道通畅
2082,121-14-2,如呼吸困难，给输氧
2083,121-14-2,呼吸、心跳停止，立即进行心肺复苏术
2084,121-14-2,就医
2085,121-19-7,"Get medical aid immediately. Remove from exposure to fresh air immediately. If not breathing, give artificial respiration. If breathing is difficult, give oxygen."
2086,121-43-7,脱离现场至空气新鲜处
2087,121-43-7,如呼吸困难，给输氧
2088,121-43-7,就医
2089,121-44-8,迅速脱离现场至空气新鲜处
2090,121-44-8,保持呼吸道通畅
2091,121-44-8,如呼吸困难，给输氧
2092,121-44-8,呼吸、心跳停止，立即进行心肺复苏术
2093,121-44-8,就医
2094,121-45-9,迅速脱离现场至空气新鲜处
2095,121-45-9,保持呼吸道通畅
2096,121-45-9,如呼吸困难，给输氧
2097,121-45-9,如呼吸停止，立即进行人工呼吸
2098,121-45-9,就医
2099,121-46-0,脱离现场至空气新鲜处
2100,121-46-0,如呼吸困难，给输氧
2101,121-46-0,就医
2102,121-51-7,迅速脱离现场至空气新鲜处
2103,121-51-7,保持呼吸道通畅
2104,121-51-7,如呼吸困难，给输氧
2105,121-51-7,如呼吸停止，立即进行人工呼吸
2106,121-51-7,就医
2107,121-57-3,脱离现场至空气新鲜处
2108,121-57-3,如呼吸困难，给输氧
2109,121-57-3,就医
2110,121-69-7,迅速脱离现场至空气新鲜处
2111,121-69-7,保持呼吸道通畅
2112,121-69-7,如呼吸困难，给输氧
2113,121-69-7,呼吸、心跳停止，立即进行心肺复苏术
2114,121-69-7,就医
2115,121-73-3,迅速脱离现场至空气新鲜处
2116,121-73-3,保持呼吸道通畅
2117,121-73-3,如呼吸困难，给输氧
2118,121-73-3,呼吸、心跳停止，立即进行心肺复苏术
2119,121-73-3,就医
2120,121-75-5,迅速脱离现场至空气新鲜处
2121,121-75-5,保持呼吸道通畅
2122,121-75-5,如呼吸困难，给输氧
2123,121-75-5,呼吸、心跳停止，立即进行心肺复苏术
2124,121-75-5,就医
2125,121-82-4,迅速脱离现场至空气新鲜处
2126,121-82-4,保持呼吸道通畅
2127,121-82-4,如呼吸困难，给输氧
2128,121-82-4,如呼吸停止，立即进行人工呼吸
2129,121-82-4,就医
2130,121-87-9,迅速脱离现场至空气新鲜处
2131,121-87-9,保持呼吸道通畅
2132,121-87-9,如呼吸困难，给输氧
2133,121-87-9,如呼吸停止，立即进行人工呼吸
2134,121-87-9,就医
2135,121-88-0,迅速脱离现场至空气新鲜处
2136,121-88-0,保持呼吸道通畅
2137,121-88-0,如呼吸困难，给输氧
2138,121-88-0,如呼吸停止，立即进行人工呼吸
2139,121-88-0,就医
2140,121-90-4,迅速脱离现场至空气新鲜处
2141,121-90-4,保持呼吸道通畅
2142,121-90-4,如呼吸困难，给输氧
2143,121-90-4,如呼吸停止，立即进行人工呼吸
2144,121-90-4,就医
2145,12125-01-8,迅速脱离现场至空气新鲜处
2146,12125-01-8,保持呼吸道通畅
2147,12125-01-8,如呼吸困难，给输氧
2148,12125-01-8,如呼吸停止，立即进行人工呼吸
2149,12125-01-8,就医
2150,12125-08-5,迅速脱离现场至空气新鲜处
2151,12125-08-5,保持呼吸道通畅
2152,12125-08-5,如呼吸困难，给输氧
2153,12125-08-5,如呼吸停止，立即进行人工呼吸
2154,12125-08-5,就医
2155,12136-45-7,迅速脱离现场至空气新鲜处
2156,12136-45-7,保持呼吸道通畅
2157,12136-45-7,如呼吸困难，给输氧
2158,12136-45-7,呼吸、心跳停止，立即进行心肺复苏术
2159,12136-45-7,就医
2160,12165-69-4,脱离现场至空气新鲜处
2161,12165-69-4,如呼吸困难，给输氧
2162,12165-69-4,就医
2163,12185-10-3,迅速脱离现场至空气新鲜处
2164,12185-10-3,保持呼吸道通畅
2165,12185-10-3,如呼吸困难，给输氧
2166,12185-10-3,呼吸、心跳停止，立即进行心肺复苏术
2167,12185-10-3,就医
2168,122-01-0,迅速脱离现场至空气新鲜处
2169,122-01-0,保持呼吸道通畅
2170,122-01-0,如呼吸困难，给输氧
2171,122-01-0,如呼吸停止，立即进行人工呼吸
2172,122-01-0,就医
2173,122-04-3,迅速脱离现场至空气新鲜处
2174,122-04-3,保持呼吸道通畅
2175,122-04-3,如呼吸困难，给输氧
2176,122-04-3,如呼吸停止，立即进行人工呼吸
2177,122-04-3,就医
2178,122-39-4,脱离现场至空气新鲜处
2179,122-39-4,就医
2180,122-51-0,迅速脱离现场至空气新鲜处
2181,122-51-0,保持呼吸道通畅
2182,122-51-0,如呼吸困难，给输氧
2183,122-51-0,呼吸、心跳停止，立即进行心肺复苏术
2184,122-51-0,就医
2185,122-52-1,脱离现场至空气新鲜处
2186,122-52-1,如呼吸困难，给输氧
2187,122-52-1,就医
2188,122-56-5,脱离现场至空气新鲜处
2189,122-56-5,如呼吸困难，给输氧
2190,122-56-5,就医
2191,122-60-1,脱离现场至空气新鲜处
2192,122-60-1,就医
2193,122-66-7,迅速脱离现场至空气新鲜处
2194,122-66-7,保持呼吸道通畅
2195,122-66-7,如呼吸困难，给输氧
2196,122-66-7,呼吸、心跳停止，立即进行心肺复苏术
2197,122-66-7,就医
2198,122-80-5,迅速脱离现场至空气新鲜处；保持呼吸道通畅；如呼吸困难，给输氧；如呼吸停止，立即进行人工呼吸；就医
2199,12263-85-3,迅速脱离现场至空气新鲜处
2200,12263-85-3,保持呼吸道通畅
2201,12263-85-3,如呼吸困难，给输氧
2202,12263-85-3,如呼吸停止，立即进行人工呼吸
2203,12263-85-3,就医
2204,123-05-7,脱离现场至空气新鲜处
2205,123-05-7,如呼吸困难，给输氧
2206,123-05-7,就医
2207,123-15-9,迅速脱离现场至空气新鲜处
2208,123-15-9,保持呼吸道通畅
2209,123-15-9,如呼吸困难，给输氧
2210,123-15-9,如呼吸停止，立即进行人工呼吸
2211,123-15-9,就医
2212,123-19-3,脱离现场至空气新鲜处
2213,123-20-6,脱离现场至空气新鲜处
2214,123-20-6,如呼吸困难，给输氧
2215,123-20-6,就医
2216,123-23-9,迅速脱离现场至空气新鲜处
2217,123-23-9,保持呼吸道通畅
2218,123-23-9,如呼吸困难，给输氧
2219,123-23-9,呼吸、心跳停止，立即进行心肺复苏术
2220,123-23-9,就医
2221,123-30-8,迅速脱离现场至空气新鲜处
2222,123-30-8,保持呼吸道通畅
2223,123-30-8,如呼吸困难，给输氧
2224,123-30-8,呼吸、心跳停止，立即进行心肺复苏术
2225,123-30-8,就医
2226,123-31-9,迅速脱离现场至空气新鲜处
2227,123-31-9,保持呼吸道通畅
2228,123-31-9,如呼吸困难，给输氧
2229,123-31-9,呼吸、心跳停止，立即进行心肺复苏术
2230,123-31-9,就医
2231,123-38-6,迅速脱离现场至空气新鲜处
2232,123-38-6,保持呼吸道通畅
2233,123-38-6,如呼吸困难，给输氧
2234,123-38-6,呼吸、心跳停止，立即进行心肺复苏术
2235,123-38-6,就医
2236,123-42-2,迅速脱离现场至空气新鲜处
2237,123-42-2,保持呼吸道通畅
2238,123-42-2,如呼吸困难，给输氧
2239,123-42-2,如呼吸停止，立即进行人工呼吸
2240,123-42-2,就医
2241,123-51-3,迅速脱离现场至空气新鲜处
2242,123-51-3,保持呼吸道通畅
2243,123-51-3,如呼吸困难，给输氧
2244,123-51-3,呼吸、心跳停止，立即进行心肺复苏术
2245,123-51-3,就医
2246,123-54-6,脱离现场至空气新鲜处
2247,123-54-6,如呼吸困难，给输氧
2248,123-54-6,就医
2249,123-62-6,迅速脱离现场至空气新鲜处
2250,123-62-6,保持呼吸道通畅
2251,123-62-6,如呼吸困难，给输氧
2252,123-62-6,呼吸、心跳停止，立即进行心肺复苏术
2253,123-62-6,就医
2254,123-63-7,迅速脱离现场至空气新鲜处
2255,123-63-7,保持呼吸道通畅
2256,123-63-7,如呼吸困难，给输氧
2257,123-63-7,呼吸、心跳停止，立即进行心肺复苏术
2258,123-63-7,就医
2259,123-66-0,迅速脱离现场至空气新鲜处
2260,123-66-0,保持呼吸道通畅
2261,123-66-0,如呼吸困难，给输氧
2262,123-66-0,呼吸、心跳停止，立即进行心肺复苏术
2263,123-66-0,就医
2264,123-72-8,迅速脱离现场至空气新鲜处
2265,123-72-8,保持呼吸道通畅
2266,123-72-8,如呼吸困难，给输氧
2267,123-72-8,呼吸、心跳停止，立即进行心肺复苏术
2268,123-72-8,就医
2269,123-75-1,迅速脱离现场至空气新鲜处
2270,123-75-1,保持呼吸道通畅
2271,123-75-1,如呼吸困难，给输氧
2272,123-75-1,如呼吸停止，立即进行人工呼吸
2273,123-75-1,就医
2274,123-77-3,迅速脱离现场至空气新鲜处
2275,123-77-3,保持呼吸道通畅
2276,123-77-3,如呼吸困难，给输氧
2277,123-77-3,如呼吸停止，立即进行人工呼吸
2278,123-77-3,就医
2279,123-86-4,迅速脱离现场至空气新鲜处
2280,123-86-4,保持呼吸道通畅
2281,123-86-4,如呼吸困难，给输氧
2282,123-86-4,呼吸、心跳停止，立即进行心肺复苏术
2283,123-86-4,就医
2284,123-88-6,迅速脱离现场至空气新鲜处
2285,123-88-6,保持呼吸道通畅
2286,123-88-6,如呼吸困难，给输氧
2287,123-88-6,如呼吸停止，立即进行人工呼吸
2288,123-88-6,就医
2289,123-91-1,迅速脱离现场至空气新鲜处
2290,123-91-1,保持呼吸道通畅
2291,123-91-1,如呼吸困难，给输氧
2292,123-91-1,呼吸、心跳停止，立即进行心肺复苏术
2293,123-91-1,就医
2294,123-92-2,迅速脱离现场至空气新鲜处
2295,123-92-2,保持呼吸道通畅
2296,123-92-2,如呼吸困难，给输氧
2297,123-92-2,呼吸、心跳停止，立即进行心肺复苏术
2298,123-92-2,就医
2299,124-02-7,迅速脱离现场至空气新鲜处
2300,124-02-7,保持呼吸道通畅
2301,124-02-7,如呼吸困难，给输氧
2302,124-02-7,如呼吸停止，立即进行人工呼吸
2303,124-02-7,就医
2304,124-09-4,迅速脱离现场至空气新鲜处
2305,124-09-4,保持呼吸道通畅
2306,124-09-4,如呼吸困难，给输氧
2307,124-09-4,呼吸、心跳停止，立即进行心肺复苏术
2308,124-09-4,就医
2309,124-11-8,迅速脱离现场至空气新鲜处
2310,124-11-8,保持呼吸道通畅
2311,124-11-8,如呼吸困难，给输氧
2312,124-11-8,呼吸、心跳停止，立即进行心肺复苏术
2313,124-11-8,就医
2314,124-12-9,迅速脱离现场至空气新鲜处
2315,124-12-9,保持呼吸道通畅
2316,124-12-9,如呼吸困难，给输氧
2317,124-12-9,呼吸心跳停止时，立即进行人工呼吸（勿用口对口）和胸外心脏按压术
2318,124-12-9,给吸入亚硝酸异戊酯，就医
2319,124-18-5,迅速脱离现场至空气新鲜处
2320,124-18-5,保持呼吸道通畅
2321,124-18-5,如呼吸困难，给输氧
2322,124-18-5,呼吸、心跳停止，立即进行心肺复苏术
2323,124-18-5,就医
2324,124-38-9,迅速脱离现场至空气新鲜处
2325,124-38-9,保持呼吸道通畅
2326,124-38-9,如呼吸困难，给输氧
2327,124-38-9,呼吸、心跳停止，立即进行心肺复苏术
2328,124-38-9,就医
2329,124-40-3,迅速脱离现场至空气新鲜处
2330,124-40-3,保持呼吸道通畅
2331,124-40-3,如呼吸困难，给输氧
2332,124-40-3,呼吸、心跳停止，立即进行心肺复苏术
2333,124-40-3,就医
2334,124-41-4,迅速脱离现场至空气新鲜处
2335,124-41-4,保持呼吸道通畅
2336,124-41-4,如呼吸困难，给输氧
2337,124-41-4,如呼吸停止，立即进行人工呼吸
2338,124-41-4,就医
2339,124-43-6,迅速脱离现场至空气新鲜处
2340,124-43-6,保持呼吸道通畅
2341,124-43-6,如呼吸困难，给输氧
2342,124-43-6,如呼吸停止，立即进行人工呼吸
2343,124-43-6,就医
2344,124-47-0,脱离现场至空气新鲜处
2345,124-47-0,保持呼吸道通畅
2346,124-47-0,如呼吸困难，给输氧
2347,124-47-0,呼吸、心跳停止，立即进行心肺复苏术
2348,124-47-0,就医
2349,124-63-0,迅速脱离现场至空气新鲜处
2350,124-63-0,保持呼吸道通畅
2351,124-63-0,如呼吸困难，给输氧
2352,124-63-0,呼吸、心跳停止，立即进行心肺复苏术
2353,124-63-0,就医
2354,124-65-2,迅速脱离现场至空气新鲜处
2355,124-65-2,保持呼吸道通畅
2356,124-65-2,如呼吸困难，给输氧
2357,124-65-2,如呼吸停止，立即进行人工呼吸
2358,124-65-2,就医
2359,124-87-8,迅速脱离现场至空气新鲜处
2360,124-87-8,保持呼吸道通畅
2361,124-87-8,如呼吸困难，给输氧
2362,124-87-8,如呼吸停止，立即进行人工呼吸
2363,124-87-8,就医
2364,12427-38-2,脱离现场至空气新鲜处
2365,12427-38-2,如呼吸困难，给输氧
2366,12427-38-2,就医
2367,12504-13-1,迅速脱离现场至空气新鲜处
2368,12504-13-1,保持呼吸道通畅
2369,12504-13-1,如呼吸困难，给输氧
2370,12504-13-1,如呼吸停止，立即进行人工呼吸
2371,12504-13-1,就医
2372,12542-85-7,迅速脱离现场至空气新鲜处
2373,12542-85-7,保持呼吸道通畅
2374,12542-85-7,如呼吸困难，给输氧
2375,12542-85-7,如呼吸停止，立即进行人工呼吸
2376,12542-85-7,就医
2377,126-72-7,迅速脱离现场至空气新鲜处
2378,126-72-7,保持呼吸道通畅
2379,126-72-7,如呼吸困难，给输氧
2380,126-72-7,如呼吸停止，立即进行人工呼吸
2381,126-72-7,就医
2382,126-98-7,迅速脱离现场至空气新鲜处
2383,126-98-7,保持呼吸道通畅
2384,126-98-7,如呼吸困难，给输氧
2385,126-98-7,如呼吸停止，立即进行人工呼吸
2386,126-98-7,就医
2387,126-99-8,迅速脱离现场至空气新鲜处
2388,126-99-8,保持呼吸道通畅
2389,126-99-8,如呼吸困难，给输氧
2390,126-99-8,呼吸、心跳停止，立即进行心肺复苏术
2391,126-99-8,就医
2392,127-00-4,脱离现场至空气新鲜处
2393,127-00-4,如呼吸困难，给输氧
2394,127-00-4,就医
2395,127-18-4,迅速脱离现场至空气新鲜处
2396,127-18-4,保持呼吸道通畅
2397,127-18-4,如呼吸困难，给输氧
2398,127-18-4,呼吸、心跳停止，立即进行心肺复苏术
2399,127-18-4,就医
2400,127-85-5,迅速脱离现场至空气新鲜处
2401,127-85-5,保持呼吸道通畅
2402,127-85-5,如呼吸困难，给输氧
2403,127-85-5,呼吸、心跳停止，立即进行心肺复苏术
2404,127-85-5,就医
2405,127-91-3,迅速脱离现场至空气新鲜处
2406,127-91-3,保持呼吸道通畅
2407,127-91-3,如呼吸困难，给输氧
2408,127-91-3,呼吸、心跳停止，立即进行心肺复苏术
2409,127-91-3,就医
2410,12788-93-1,迅速脱离现场至空气新鲜处
2411,12788-93-1,保持呼吸道通畅
