,CAS,应急行动
3311,110-83-8,用泡沫覆盖，减少蒸发
3312,110-83-8,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3313,110-83-8,用防爆泵转移至槽车或专用收集器内
3314,110-85-0,隔离泄漏污染区，限制出入
3315,110-85-0,切断火源
3316,110-85-0,建议应急处理人员戴防尘面具（全面罩），穿防酸碱工作服
3317,110-85-0,用洁净的铲子收集于干燥、洁净、有盖的容器中，转移至安全场所
3318,110-85-0,也可以用大量水冲洗，洗水稀释后放入废水系统
3319,110-85-0,若大量泄漏，收集回收或运至废物处理场所处置
3320,110-86-1,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3321,110-86-1,切断火源
3322,110-86-1,建议应急处理人员戴自给正压式呼吸器，穿防毒服
3323,110-86-1,尽可能切断泄漏源
3324,110-86-1,防止流入下水道、排洪沟等限制性空间
3325,110-86-1,小量泄漏：用砂土、干燥石灰或苏打灰混合
3326,110-86-1,也可以用大量水冲洗，洗水稀释后放入废水系统
3327,110-86-1,大量泄漏：构筑围堤或挖坑收容
3328,110-86-1,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3329,110-88-3,隔离泄漏污染区，限制出入
3330,110-88-3,切断火源
3331,110-88-3,建议应急处理人员戴防尘面具（全面罩），穿防毒服
3332,110-88-3,用砂土、干燥石灰或苏打灰混合
3333,110-88-3,收集于干燥、洁净、有盖的容器中，转移至安全场所
3334,110-88-3,若大量泄漏，收集回收或运至废物处理场所处置
3335,110-89-4,消除所有点火源
3336,110-89-4,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3337,110-89-4,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶耐油手套
3338,110-89-4,作业时使用的所有设备应接地
3339,110-89-4,禁止接触或跨越泄漏物
3340,110-89-4,尽可能切断泄漏源
3341,110-89-4,防止泄漏物进入水体、下水道、地下室或限制性空间
3342,110-89-4,小量泄漏：用砂土或其他不燃材料吸收
3343,110-89-4,使用洁净的无火花工具收集吸收材料
3344,110-89-4,大量泄漏：构筑围堤或挖坑收容
3345,110-89-4,用泡沫覆盖，减少蒸发
3346,110-89-4,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3347,110-89-4,用防爆、耐腐蚀泵转移至槽车或专用收集器内
3348,110-91-8,消除所有点火源
3349,110-91-8,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3350,110-91-8,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶耐油手套
3351,110-91-8,作业时使用的所有设备应接地
3352,110-91-8,禁止接触或跨越泄漏物
3353,110-91-8,尽可能切断泄漏源
3354,110-91-8,防止泄漏物进入水体、下水道、地下室或限制性空间
3355,110-91-8,小量泄漏：用砂土或其他不燃材料吸收
3356,110-91-8,使用洁净的无火花工具收集吸收材料
3357,110-91-8,大量泄漏：构筑围堤或挖坑收容
3358,110-91-8,用砂土、惰性物质或蛭石吸收大量液体
3359,110-91-8,用抗溶性泡沫覆盖，减少蒸发
3360,110-91-8,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3361,110-91-8,用防爆、耐腐蚀泵转移至槽车或专用收集器内
3362,110-91-8,喷雾状水驱散蒸气、稀释液体泄漏物
3363,110-96-3,消除所有点火源
3364,110-96-3,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3365,110-96-3,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶耐油手套
3366,110-96-3,作业时使用的所有设备应接地
3367,110-96-3,禁止接触或跨越泄漏物
3368,110-96-3,尽可能切断泄漏源
3369,110-96-3,防止泄漏物进入水体、下水道、地下室或限制性空间
3370,110-96-3,小量泄漏：用砂土或其他不燃材料吸收
3371,110-96-3,使用洁净的无火花工具收集吸收材料
3372,110-96-3,大量泄漏：构筑围堤或挖坑收容
3373,110-96-3,用泡沫覆盖，减少蒸发
3374,110-96-3,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3375,110-96-3,用防爆、耐腐蚀泵转移至槽车或专用收集器内
3376,110-97-4,隔离泄漏污染区，限制出入
3377,110-97-4,消除所有点火源
3378,110-97-4,建议应急处理人员戴防尘口罩，穿防酸碱服，戴防化学品手套
3379,110-97-4,穿上适当的防护服前严禁接触破裂的容器和泄漏物
3380,110-97-4,尽可能切断泄漏源
3381,110-97-4,用塑料布覆盖泄漏物，减少飞散
3382,110-97-4,勿使水进入包装容器内
3383,110-97-4,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
3384,111-14-8,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3385,111-14-8,切断火源
3386,111-14-8,建议应急处理人员戴自给式呼吸器，穿防酸碱工作服
3387,111-14-8,不要直接接触泄漏物
3388,111-14-8,尽可能切断泄漏源
3389,111-14-8,防止流入下水道、排洪沟等限制性空间
3390,111-14-8,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3391,111-14-8,大量泄漏：构筑围堤或挖坑收容
3392,111-14-8,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3393,111-15-9,消除所有点火源
3394,111-15-9,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3395,111-15-9,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
3396,111-15-9,作业时使用的所有设备应接地
3397,111-15-9,禁止接触或跨越泄漏物
3398,111-15-9,尽可能切断泄漏源
3399,111-15-9,防止泄漏物进入水体、下水道、地下室或限制性空间
3400,111-15-9,小量泄漏：用砂土或其他不燃材料吸收
3401,111-15-9,使用洁净的无火花工具收集吸收材料
3402,111-15-9,大量泄漏：构筑围堤或挖坑收容
3403,111-15-9,用抗溶性泡沫覆盖，减少蒸发
3404,111-15-9,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3405,111-15-9,用防爆泵转移至槽车或专用收集器内
3406,111-19-3,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3407,111-19-3,切断火源
3408,111-19-3,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
3409,111-19-3,尽可能切断泄漏源
3410,111-19-3,防止流入下水道、排洪沟等限制性空间
3411,111-19-3,小量泄漏：用砂土、干燥石灰或苏打灰混合
3412,111-19-3,也可以用不燃性分散剂制成的乳液刷洗，洗液稀释后放入废水系统
3413,111-19-3,大量泄漏：构筑围堤或挖坑收容
3414,111-19-3,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3415,111-25-1,消除所有点火源
3416,111-25-1,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3417,111-25-1,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
3418,111-25-1,作业时使用的所有设备应接地
3419,111-25-1,禁止接触或跨越泄漏物
3420,111-25-1,尽可能切断泄漏源
3421,111-25-1,防止泄漏物进入水体、下水道、地下室或限制性空间
3422,111-25-1,小量泄漏：用砂土或其他不燃材料吸收
3423,111-25-1,使用洁净的无火花工具收集吸收材料
3424,111-25-1,大量泄漏：构筑围堤或挖坑收容
3425,111-25-1,用泡沫覆盖，减少蒸发
3426,111-25-1,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3427,111-25-1,用防爆泵转移至槽车或专用收集器内
3428,111-26-2,消除所有点火源
3429,111-26-2,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3430,111-26-2,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶耐油手套
3431,111-26-2,作业时使用的所有设备应接地
3432,111-26-2,禁止接触或跨越泄漏物
3433,111-26-2,尽可能切断泄漏源
3434,111-26-2,防止泄漏物进入水体、下水道、地下室或限制性空间
3435,111-26-2,小量泄漏：用砂土或其他不燃材料吸收
3436,111-26-2,使用洁净的无火花工具收集吸收材料
3437,111-26-2,大量泄漏：构筑围堤或挖坑收容
3438,111-26-2,用泡沫覆盖，减少蒸发
3439,111-26-2,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3440,111-26-2,用防爆、耐腐蚀泵转移至槽车或专用收集器内
3441,111-30-8,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3442,111-30-8,切断火源
3443,111-30-8,建议应急处理人员戴自给式呼吸器，穿一般作业工作服
3444,111-30-8,不要直接接触泄漏物
3445,111-30-8,尽可能切断泄漏源
3446,111-30-8,防止流入下水道、排洪沟等限制性空间
3447,111-30-8,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3448,111-30-8,大量泄漏：构筑围堤或挖坑收容
3449,111-30-8,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3450,111-31-9,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3451,111-31-9,切断火源
3452,111-31-9,建议应急处理人员戴自给式呼吸器，穿全棉防腐服
3453,111-31-9,不要直接接触泄漏物
3454,111-31-9,尽可能切断泄漏源
3455,111-31-9,防止流入下水道、排洪沟等限制性空间
3456,111-31-9,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3457,111-31-9,大量泄漏：构筑围堤或挖坑收容
3458,111-31-9,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3459,111-34-2,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3460,111-34-2,切断火源
3461,111-34-2,建议应急处理人员戴自给正压式呼吸器，穿防静电工作服
3462,111-34-2,尽可能切断泄漏源
3463,111-34-2,防止流入下水道、排洪沟等限制性空间
3464,111-34-2,小量泄漏：用活性炭或其它惰性材料吸收
3465,111-34-2,也可以用不燃性分散剂制成的乳液刷洗，洗液稀释后放入废水系统
3466,111-34-2,大量泄漏：构筑围堤或挖坑收容
3467,111-34-2,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3468,111-36-4,迅速撤离泄漏污染区人员至安全区，并立即隔离300m，严格限制出入
3469,111-36-4,切断火源
3470,111-36-4,建议应急处理人员戴自给正压式呼吸器，穿防毒服
3471,111-36-4,尽可能切断泄漏源
3472,111-36-4,防止流入下水道、排洪沟等限制性空间
3473,111-36-4,小量泄漏：用活性炭或其它惰性材料吸收
3474,111-36-4,大量泄漏：构筑围堤或挖坑收容
3475,111-36-4,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3476,111-40-0,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3477,111-40-0,切断火源
3478,111-40-0,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
3479,111-40-0,尽可能切断泄漏源
3480,111-40-0,防止流入下水道、排洪沟等限制性空间
3481,111-40-0,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3482,111-40-0,也可以用大量水冲洗，洗水稀释后放入废水系统
3483,111-40-0,大量泄漏：构筑围堤或挖坑收容
3484,111-40-0,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3485,111-42-2,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3486,111-42-2,消除所有点火源
3487,111-42-2,建议应急处理人员戴正压自给式呼吸器，穿防酸碱服，戴防化学品手套
3488,111-42-2,穿上适当的防护服前严禁接触破裂的容器和泄漏物
3489,111-42-2,尽可能切断泄漏源
3490,111-42-2,防止泄漏物进人水体、下水道、地下室或限制性空间
3491,111-42-2,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
3492,111-42-2,也可以用大量水冲洗，洗水稀释后放入废水系统
3493,111-42-2,大量泄漏：构筑围堤或挖坑收容
3494,111-42-2,用耐腐蚀泵转移至槽车或专用收集器内
3495,111-43-3,消除所有点火源
3496,111-43-3,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3497,111-43-3,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
3498,111-43-3,作业时使用的所有设备应接地
3499,111-43-3,禁止接触或跨越泄漏物
3500,111-43-3,尽可能切断泄漏源
3501,111-43-3,防止泄漏物进入水体、下水道、地下室或限制性空间
3502,111-43-3,小量泄漏：用砂土或其他不燃材料吸收
3503,111-43-3,使用洁净的无火花工具收集吸收材料
3504,111-43-3,大量泄漏：构筑围堤或挖坑收容
3505,111-43-3,用泡沫覆盖，减少蒸发
3506,111-43-3,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3507,111-43-3,用防爆泵转移至槽车或专用收集器内
3508,111-44-4,消除所有点火源
3509,111-44-4,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3510,111-44-4,建议应急处理人员戴正压自给式呼吸器，穿防毒、防静电服，戴防化学品手套
3511,111-44-4,穿上适当的防护服前严禁接触破裂的容器和泄漏物
3512,111-44-4,尽可能切断泄漏源
3513,111-44-4,防止泄漏物进入水体、下水道、地下室或限制性空间
3514,111-44-4,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
3515,111-44-4,大量泄漏：构筑围堤或挖坑收容
3516,111-44-4,用砂土、惰性物质或蛭石吸收大量液体
3517,111-44-4,用泵转移至槽车或专用收集器内
3518,111-47-7,消除所有点火源
3519,111-47-7,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3520,111-47-7,建议应急处理人员戴正压自给式呼吸器，穿防毒、防静电服
3521,111-47-7,作业时使用的所有设备应接地
3522,111-47-7,禁止接触或跨越泄漏物
3523,111-47-7,尽可能切断泄漏源
3524,111-47-7,防止泄漏物进入水体、下水道、地下室或限制性空间
3525,111-47-7,小量泄漏：用砂土或其他不燃材料吸收
3526,111-47-7,使用洁净的无火花工具收集吸收材料
3527,111-47-7,大量泄漏：构筑围堤或挖坑收容
3528,111-47-7,用泡沫覆盖，减少蒸发
3529,111-47-7,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3530,111-47-7,用防爆泵转移至槽车或专用收集器内
3531,111-49-9,消除所有点火源
3532,111-49-9,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3533,111-49-9,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶耐油手套
3534,111-49-9,作业时使用的所有设备应接地
3535,111-49-9,禁止接触或跨越泄漏物
3536,111-49-9,尽可能切断泄漏源
3537,111-49-9,防止泄漏物进入水体、下水道、地下室或限制性空间
3538,111-49-9,小量泄漏：用砂土或其他不燃材料吸收
3539,111-49-9,使用洁净的无火花工具收集吸收材料
3540,111-49-9,大量泄漏：构筑围堤或挖坑收容
3541,111-49-9,用抗溶性泡沫覆盖，减少蒸发
3542,111-49-9,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3543,111-49-9,用防爆、耐腐蚀泵转移至槽车或专用收集器内
3544,111-50-2,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3545,111-50-2,切断火源
3546,111-50-2,建议应急处理人员戴自给式呼吸器，穿防酸服
3547,111-50-2,不要直接接触泄漏物
3548,111-50-2,尽可能切断泄漏源
3549,111-50-2,防止流入下水道、排洪沟等限制性空间
3550,111-50-2,小量泄漏：用砂土吸收
3551,111-50-2,大量泄漏：构筑围堤或挖坑收容
3552,111-50-2,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3553,111-64-8,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3554,111-64-8,切断火源
3555,111-64-8,建议应急处理人员戴自给式呼吸器，穿防腐防毒服
3556,111-64-8,不要直接接触泄漏物
3557,111-64-8,尽可能切断泄漏源
3558,111-64-8,防止流入下水道、排洪沟等限制性空间
3559,111-64-8,小量泄漏：用砂土、干燥石灰或苏打灰混合
3560,111-64-8,大量泄漏：构筑围堤或挖坑收容
3561,111-64-8,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3562,111-65-9,消除所有点火源
3563,111-65-9,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3564,111-65-9,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
3565,111-65-9,作业时使用的所有设备应接地
3566,111-65-9,禁止接触或跨越泄漏物
3567,111-65-9,尽可能切断泄漏源
3568,111-65-9,防止泄漏物进入水体、下水道、地下室或限制性空间
3569,111-65-9,小量泄漏：用砂土或其他不燃材料吸收
3570,111-65-9,使用洁净的无火花工具收集吸收材料
3571,111-65-9,大量泄漏：构筑围堤或挖坑收容
3572,111-65-9,用泡沫覆盖，减少蒸发
3573,111-65-9,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3574,111-65-9,用防爆泵转移至槽车或专用收集器内
3575,111-66-0,消除所有点火源
3576,111-66-0,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3577,111-66-0,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
3578,111-66-0,作业时使用的所有设备应接地
3579,111-66-0,禁止接触或跨越泄漏物
3580,111-66-0,尽可能切断泄漏源
3581,111-66-0,防止泄漏物进入水体、下水道、地下室或限制性空间
3582,111-66-0,小量泄漏：用砂土或其他不燃材料吸收
3583,111-66-0,使用洁净的无火花工具收集吸收材料
3584,111-66-0,大量泄漏：构筑围堤或挖坑收容
3585,111-66-0,用砂土、惰性物质或蛭石吸收大量液体
3586,111-66-0,用泡沫覆盖，减少蒸发
3587,111-66-0,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3588,111-66-0,用防爆泵转移至槽车或专用收集器内
3589,111-67-1,消除所有点火源
3590,111-67-1,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3591,111-67-1,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
3592,111-67-1,作业时使用的所有设备应接地
3593,111-67-1,禁止接触或跨越泄漏物
3594,111-67-1,尽可能切断泄漏源
3595,111-67-1,防止泄漏物进入水体、下水道、地下室或限制性空间
3596,111-67-1,小量泄漏：用砂土或其他不燃材料吸收
3597,111-67-1,使用洁净的无火花工具收集吸收材料
3598,111-67-1,大量泄漏：构筑围堤或挖坑收容
3599,111-67-1,用泡沫覆盖，减少蒸发
3600,111-67-1,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3601,111-67-1,用防爆泵转移至槽车或专用收集器内
3602,111-68-2,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3603,111-68-2,消除所有点火源
3604,111-68-2,建议应急处理人员戴正压自给式呼吸器，穿防毒、防静电服，戴橡胶耐油手套
3605,111-68-2,穿上适当的防护服前严禁接触破裂的容器和泄漏物
3606,111-68-2,尽可能切断泄漏源
3607,111-68-2,防止泄漏物进入水体、下水道、地下室或限制性空间
3608,111-68-2,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
3609,111-68-2,大量泄漏：构筑围堤或挖坑收容
3610,111-68-2,用防爆泵转移至槽车或专用收集器内
3611,111-69-3,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3612,111-69-3,消除所有点火源
3613,111-69-3,建议应急处理人员戴正压自给式呼吸器，穿防毒服，戴橡胶耐油手套
3614,111-69-3,穿上适当的防护服前严禁接触破裂的容器和泄漏物
3615,111-69-3,尽可能切断泄漏源
3616,111-69-3,防止泄漏物进入水体、下水道、地下室或限制性空间
3617,111-69-3,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
3618,111-69-3,大量泄漏：构筑围堤或挖坑收容
3619,111-69-3,用泵转移至槽车或专用收集器内
3620,111-71-7,消除所有点火源
3621,111-71-7,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3622,111-71-7,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
3623,111-71-7,作业时使用的所有设备应接地
3624,111-71-7,禁止接触或跨越泄漏物
3625,111-71-7,尽可能切断泄漏源
3626,111-71-7,防止泄漏物进入水体、下水道、地下室或限制性空间
3627,111-71-7,小量泄漏：用砂土或其他不燃材料吸收
3628,111-71-7,使用洁净的无火花工具收集吸收材料
3629,111-71-7,大量泄漏：构筑围堤或挖坑收容
3630,111-71-7,用抗溶性泡沫覆盖，减少蒸发
3631,111-71-7,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3632,111-71-7,用防爆泵转移至槽车或专用收集器内
3633,111-76-2,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3634,111-76-2,切断火源
3635,111-76-2,建议应急处理人员戴自给正压式呼吸器，穿防毒服
3636,111-76-2,尽可能切断泄漏源
3637,111-76-2,防止流入下水道、排洪沟等限制性空间
3638,111-76-2,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3639,111-76-2,也可以用大量水冲洗，洗水稀释后放入废水系统
3640,111-76-2,大量泄漏：构筑围堤或挖坑收容
3641,111-76-2,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3642,111-78-4,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3643,111-78-4,切断火源
3644,111-78-4,建议应急处理人员戴自给正压式呼吸器，穿防毒服
3645,111-78-4,尽可能切断泄漏源
3646,111-78-4,防止流入下水道、排洪沟等限制性空间
3647,111-78-4,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3648,111-78-4,大量泄漏：构筑围堤或挖坑收容
3649,111-78-4,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3650,111-88-6,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3651,111-88-6,切断火源
3652,111-88-6,建议应急处理人员戴自给正压式呼吸器，穿防毒服
3653,111-88-6,尽可能切断泄漏源
3654,111-88-6,防止流入下水道、排洪沟等限制性空间
3655,111-88-6,小量泄漏：用活性炭或其它惰性材料吸收
3656,111-88-6,大量泄漏：构筑围堤或挖坑收容
3657,111-88-6,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3658,111-92-2,消除所有点火源
3659,111-92-2,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3660,111-92-2,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶耐油手套
3661,111-92-2,作业时使用的所有设备应接地
3662,111-92-2,禁止接触或跨越泄漏物
3663,111-92-2,尽可能切断泄漏源
3664,111-92-2,防止泄漏物进入水体、下水道、地下室或限制性空间
3665,111-92-2,小量泄漏：用砂土或其他不燃材料吸收
3666,111-92-2,使用洁净的无火花工具收集吸收材料
3667,111-92-2,大量泄漏：构筑围堤或挖坑收容
3668,111-92-2,用抗溶性泡沫覆盖，减少蒸发
3669,111-92-2,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3670,111-92-2,用防爆、耐腐蚀泵转移至槽车或专用收集器内
3671,111-94-4,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3672,111-94-4,切断火源
3673,111-94-4,建议应急处理人员戴自给式呼吸器，穿一般作业工作服
3674,111-94-4,不要直接接触泄漏物
3675,111-94-4,尽可能切断泄漏源
3676,111-94-4,防止流入下水道、排洪沟等限制性空间
3677,111-94-4,小量泄漏：用砂土或其它不燃材料吸附或吸收
3678,111-94-4,大量泄漏：构筑围堤或挖坑收容
3679,111-94-4,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3680,112-04-9,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3681,112-04-9,切断火源
3682,112-04-9,建议应急处理人员戴自给式呼吸器，穿防腐防毒服
3683,112-04-9,不要直接接触泄漏物
3684,112-04-9,尽可能切断泄漏源
3685,112-04-9,防止流入下水道、排洪沟等限制性空间
3686,112-04-9,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3687,112-04-9,大量泄漏：构筑围堤或挖坑收容
3688,112-04-9,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3689,112-16-3,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3690,112-16-3,切断火源
3691,112-16-3,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
3692,112-16-3,尽可能切断泄漏源
3693,112-16-3,防止流入下水道、排洪沟等限制性空间
3694,112-16-3,小量泄漏：用砂土、蛭石或其它惰性材料吸收
3695,112-16-3,大量泄漏：构筑围堤或挖坑收容
3696,112-16-3,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3697,112-24-3,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3698,112-24-3,消除所有点火源
3699,112-24-3,建议应急处理人员戴正压自给式呼吸器，穿防腐蚀、防毒服，戴橡胶耐油手套
3700,112-24-3,穿上适当的防护服前严禁接触破裂的容器和泄漏物
3701,112-24-3,尽可能切断泄漏源
3702,112-24-3,防止泄漏物进入水体、下水道、地下室或限制性空间
3703,112-24-3,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
3704,112-24-3,$$大量泄漏：构筑围堤或挖坑收容
3705,112-24-3,用砂土、惰性物质或蛭石吸收大量液体
3706,112-24-3,用耐腐蚀泵转移至槽车或专用收集器内
3707,112-24-3,喷雾状水驱散蒸气、稀释液体泄漏物
3708,112-55-0,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
3709,112-55-0,消除所有点火源
3710,112-55-0,建议应急处理人员戴正压自给式呼吸器，穿防毒、防静电服，戴防化学品手套
3711,112-55-0,作业时使用的所有设备应接地
3712,112-55-0,禁止接触或跨越泄漏物
3713,112-55-0,尽可能切断泄漏源
3714,112-55-0,防止泄漏物进入水体、下水道、地下室或限制性空间
3715,112-55-0,小量泄漏：用砂土或其他不燃材料吸收
3716,112-55-0,使用洁净的无火花工具收集吸收材料
3717,112-55-0,大量泄漏：构筑围堤或挖坑收容
3718,112-55-0,用泡沫覆盖，减少蒸发
3719,112-55-0,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
3720,112-55-0,用防爆泵转移至槽车或专用收集器内
3721,112-57-2,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3722,112-57-2,切断火源
3723,112-57-2,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
3724,112-57-2,尽可能切断泄漏源
3725,112-57-2,防止流入下水道、排洪沟等限制性空间
3726,112-57-2,小量泄漏：用砂土、干燥石灰或苏打灰混合
3727,112-57-2,大量泄漏：构筑围堤或挖坑收容
3728,112-57-2,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3729,112-64-1,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3730,112-64-1,切断火源
3731,112-64-1,建议应急处理人员戴自给式呼吸器，穿防腐防毒服
3732,112-64-1,不要直接接触泄漏物
3733,112-64-1,尽可能切断泄漏源
3734,112-64-1,防止流入下水道、排洪沟等限制性空间
3735,112-64-1,小量泄漏：用砂土、干燥石灰或苏打灰混合
3736,112-64-1,大量泄漏：构筑围堤或挖坑收容
3737,112-64-1,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
3738,112-76-5,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
3739,112-76-5,切断火源
3740,112-76-5,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
3741,112-76-5,尽可能切断泄漏源
3742,112-76-5,若是液体，防止流入下水道、排洪沟等限制性空间
3743,112-76-5,小量泄漏：用砂土、干燥石灰或苏打灰混合
